entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,FaxNumberOfReportingEntity,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,CurrentAssets,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,PaidContributedCapital,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermTaxPayables,ShorttermTradePayables
10281830,2015-10-01,2016-09-30,c2,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,88752.0,Regnskabsklasse B,2018-03-12,2018-03-12,0.0,36458203.0,-4973.0,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,0.0,4.0,KÃ¸benhavn,2015-10-01,2016-09-30,-4969.0,-4969.0,-4973.0,2017-09-30,2016-10-01,0.0,83779.0,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,0.0,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,,,,,,,,,,,,,
10281830,2015-10-01,2016-09-30,c4,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,-4969.0,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,,,,,,,,,,,,,
10281830,2016-09-30,2016-09-30,c6,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,651748.0,649392.0,649392.0,33600.0,537306.0,2356.0,651748.0,114442.0,2356.0,200000.0,2356.0,0.0,337306.0,114442.0,21127.0,14715.0,45000.0
10281830,2016-10-01,2016-10-01,c10,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,537306.0,,,,,,,,,,,,
10281830,2016-10-01,2016-10-01,c7,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,200000.0,,,,,,,,,,,,
10281830,2016-10-01,2016-10-01,c8,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,337306.0,,,,,,,,,,,,
10281830,2016-10-01,2016-10-01,c9,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,0.0,,,,,,,,,,,,
10281830,2016-10-01,2017-09-30,c0,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,75319.0,Regnskabsklasse B,2018-03-12,2018-03-12,0.0,36458203.0,52824.0,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,0.0,0.0,KÃ¸benhavn,2015-10-01,2016-09-30,52824.0,52824.0,52824.0,2017-09-30,2016-10-01,0.0,128143.0,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,0.0,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,,,,,,,,,,,,,
10281830,2016-10-01,2017-09-30,c1,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,,,,,,,,,,,,,
10281830,2016-10-01,2017-09-30,c11,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzL2VjLzBhL2RiL2QwLzU3YTQtNGZhOC1iODhhLTUwOGE4NTMyZGQ4ZQ.xhtml,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzNkLzk4L2NkL2ZmZGItNGI1YS05NTc5LWYwNzNkY2Q0NGQ1Zg.pdf,http://regnskaber.virk.dk/03818201/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2MyLzY2LzY4L2M2MjEtNDdiYS04MjZmLWU5ZjQ2ZjQxNjkxYg.xml,true,Frederiksberg,2000.0,"5, 1 th",Pile Alle,2.0,Valby Langgade 39A stuen,,Regnskabsklasse B,2018-03-12,2018-03-12,,36458203.0,,10281830.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Israel Holcchakier,Israel Holcchakier,E.I.M. ApS,Gerner Jacobsen,,,KÃ¸benhavn,2015-10-01,2016-09-30,0.0,,,2017-09-30,2016-10-01,,,true,false,Der fremlÃ¦gges forslag pÃ¥ selskabets generalforsamling om fravalg af revision for det kommende Ã¥r. Betingelserne for fravalg af revision er opfyldt.,,35551518.0,false,false,DirektÃ¸r,Ingen bistand,urn:ofk:oid:25187322,indberetninger-20180424,2.5927862999999998,10281830.0,,2018-04-04T07:27:14.269Z,2018-03-15T12:48:05.394Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AF-67-SV,2018-03-15T12:48:05.735Z,,,,,,,,,,,,,,,,,
