entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfReportingEntityPostCodeIdentifier,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,ImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AdjustmentsForCurrentTaxOfPriorPeriod,AdjustmentsForDeferredTax,AverageNumberOfEmployees,CurrentTaxExpense,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherAdjustmentsOfFinanceExpenses,OtherAdjustmentsOfFinanceIncome,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfTaxExpenses,DescriptionOfSignificantEventsOccurringAfterEndOfReportingPeriod,ExplanationOfOtherMethodsOfRecognitionAndMeasurementBasisForAssetsInPreviousPeriod,HomepageOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,SignatureOfAuditorsPlace,AddressOfAuditorDistrictName,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,DividendPaid,NameAndSurnameOfMemberOfExecutiveBoard
10510732,2017-02-01,2018-01-31,c173,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,3000000.0,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2017-02-01,2018-01-31,c195,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,1566899.0,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2017-02-01,2018-01-31,c4,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,4566899.0,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,0.0,-16080.0,12.0,1397450.0,64211.0,7279652.0,13316312.0,40083.0,15903.0,627055.0,40083.0,15903.0,1637.0,5948269.0,5972449.0,138981.0,1381370.0,1381370.0,6511979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2018-01-31,2018-01-31,c5,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,10772707.0,4763181.0,3000000.0,10646358.0,80834.0,119816.0,7571969.0,126349.0,10772707.0,3200738.0,126349.0,1706444.0,217393.0,126349.0,3000000.0,1571969.0,3200738.0,334391.0,5883177.0,5465134.0,1069928.0,89975.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2018-02-01,2018-02-01,c235,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3362263.0,3488612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2018-02-01,2018-02-01,c312,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2018-02-01,2018-02-01,c351,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,1571969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2018-02-01,2018-02-01,c357,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510732,2018-02-01,2019-01-31,c1,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,7717792.0,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,-632477.0,5888.0,12.0,2107476.0,65682.0,6359688.0,15518539.0,37678.0,143188.0,435962.0,37678.0,143188.0,6216.0,9198679.0,9093169.0,138233.0,1480887.0,1480887.0,5779277.0,,,,,,,,,,,,,,,,,,,,,,,,,,Glostrup,"26, 1. tv.",Stationsparken,"Postboks 330, 8100 Aarhus C",VÃ¦rkmestergade 25,Til kapitalejerne i Future CAD in Denmark A/S,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. januar 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. februar 2018 - 31. januar 2019.","ForeslÃ¥et udbytte indregnes som en forpligtelse pÃ¥ tidspunktet for vedtagelse pÃ¥ den ordinÃ¦re generalforsamling (deklareringstidspunktet). Udbytte, som forventes udbetalt for Ã¥ret, vises som en sÃ¦rskilt post under egenkapitalen.","PeriodeafgrÃ¦nsningsposter, indregnet under aktiver, omfatter forudbetalte omkostninger vedrÃ¸rende efterfÃ¸lgende regnskabsÃ¥r.","Personaleomkostninger omfatter lÃ¸n og gager, inklusive feriepenge og pensioner samt andre omkostninger til social sikring m.v. til selskabets medarbejdere.","Finansielle indtÃ¦gter og omkostninger indregnes i resultatopgÃ¸relsen med de belÃ¸b, der vedrÃ¸rer regnskabsÃ¥ret. Posterne omfatter renteindtÃ¦gter og -omkostninger, herunder fra tilknyttede og associerede virksomheder, deklarerede udbytter fra andre vÃ¦rdipapirer og kapitalandele, finansielle omkostninger ved finansiel leasing, realiserede og urealiserede kursgevinster og -tab vedrÃ¸rende andre vÃ¦rdipapirer og kapitalandele, transaktioner i fremmed valuta, amortisering af finansielle aktiver og forpligtelser.","Skat af Ã¥rets resultat omfatter aktuel skat af Ã¥rets forventede skattepligtige indkomst og Ã¥rets regulering af udskudt skat. Ãrets skat indregnes i resultatopgÃ¸relsen med den del, der kan henfÃ¸res til Ã¥rets resultat, og i egenkapitalen med den del, som kan henfÃ¸res til transaktioner indregnet i egenkapitalen.","Der er ikke indtruffet betydningsfulde hÃ¦ndelser efter statusdagen, der pÃ¥virker regnskabsaflÃ¦ggelsen.",Ãrsregnskabet er aflagt efter samme regnskabspraksis som sidste Ã¥r.,www.futuregroup.fi,Bestyrelse og direktion har dags dato behandlet og godkendt Ã¥rsrapporten for Future CAD in Denmark A/S for regnskabsÃ¥ret 1. februar 2018 - 31. januar 2019.,Ãrsrapporten for Future CAD in Denmark A/S for 2018/19 er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for klasse B-virksomheder med tilvalg af visse bestemmelser for klasse C.,Ãrsrapport,"Det er endvidere vores opfattelse, at ledelsesberetningen indeholder en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Antero Erkki Asunmaa,Future CAD in Denmark A/S,Ernst & Young Godkendt Revisionspartnerselskab,Glostrup,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Glostrup,Aarhus,,,,,,,,,,
10510732,2018-02-01,2019-01-31,c106,,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzLzgyL2I4L2U5L2ZhLzJmMDMtNGQzMS05ZGJmLTkxY2E2YTRjNTVjNA.pdf,http://regnskaber.virk.dk/23701501/ZG9rdW1lbnRsYWdlcjovLzAzL2M4LzY4Lzk1L2NhL2I5OWItNDIzOC05ZDkxLWU3NjBmNDEwZDA5MQ.xml,true,21500.0,8100.0,25.0,2600.0,2019-04-29,2019-04-29,1986-11-01,2019-04-29,65682.0,2614189.0,30700228.0,10510732.0,30700228.0,-2614189.0,2017-02-01,2018-01-31,,2019-01-31,2018-02-01,true,2019-04-29,43487470.0,RevisionspÃ¥tegning,urn:ofk:oid:27064536,indberetninger-20180424,2.5118406,10510732.0,AWp3ydbvRYGX6_YTHUUg,2019-05-02T09:05:42.582Z,2019-05-02T09:04:36.914Z,regnskab,0.0,,2019-01-31,2018-02-01,X19-BA-31-PH,2019-05-02T09:04:37.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aarhus C,VÃ¦rkmestergade,statsaut. revisor,mne24825,Henrik Pungvig Jensen,Ernst & Young Godkendt Revisionspartnerselskab,,,,
