entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToIntangibleAssets,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForDeferredTax,AverageNumberOfEmployees,ClassOfReportingEntity,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfReceivables,DisposalsOfInvestments,Dividend,EmployeeBenefitsExpense,EquityRatio,ExchangeRateAdjustmentsOtherFinanceExpenses,FaxNumberOfReportingEntity,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,IntangibleAssetsGross,InterestIncomeFromGroupEnterprises,InvestmentInPropertyPlantAndEquipment,InvestmentsGross,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,OtherInterestIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ResultsFromNetFinancials,ReturnOnCapitalEmployed,ReturnOnEquity,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpense,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLeaseCommitments,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PaidContributedCapital,PrepaymentsForIntangibleAssets,PrepaymentsForPropertyPlantAndEquipment,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToOtherCreditInstitutions,ShorttermLeaseCommitments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,LongtermLiabilitiesOtherThanProvisionsDueBetweenOneAndFiveYears,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DescriptionOfMethodsOfCurrentTaxReceivablesAndLiabilities,DescriptionOfMethodsOfDividends,DescriptionOfMethodsOfImpairmentLossesAndDepreciation,DescriptionOfMethodsOfInvestments,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfCostOfSales,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfDeferredIncomeAssets,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEmployeeBenefitExpense,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfFinanceIncomeAndExpenses,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfGrossProfitLoss,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfLiabilitiesOtherThanProvisions,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfOtherOperatingIncomeAndExpenses,DescriptionOfQualificationsOfAuditedFinancialStatements,DisclosureOfEmployeeBenefitsExpense,DisclosureOfPropertyPlantAndEquipment,ExplanationOfNotDisclosingCashFlowsStatements,ExplanationOfPrepayments,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnSpecificPrerequisitesRegardingTaxAssets,ManagementsStatementAboutManagementsReview,OpinionOnAuditedFinancialStatements,RecommendationForApprovalOfAnnualReportByGeneralMeeting,SignatureOfAuditorsDate,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment,DisposalsOfPropertyPlantAndEquipment,ReversalsOfImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,DividendPaid,GrossResult,DescriptionOfAuditor,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm
10820871,2017-07-01,2018-06-30,c376,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,-42952.0,58.0,"Regnskabsklasse C, mellemstor virksomhed",4919288.0,2019-10-22,2019-10-22,2376549.0,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,28242605.0,42.0,118619.0,58504502.0,52931759.0,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,37241.0,-1660000.0,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,336594.0,100297.0,217975.0,63056.0,Slagelse,1069840.0,2017-07-01,2018-06-30,17199972.0,22076308.0,22312605.0,Slagelse,2019-06-30,2018-07-01,-236000.0,34.5,65.2,Ringsted,368949.0,4876336.0,4876336.0,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,26803816.0,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2017-07-01,2018-06-30,c96,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,17199972.0,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-06-30,2018-06-30,c111,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,64753449.0,4446866.0,222222.0,55592734.0,22677.0,12278.0,27199971.0,9159665.0,0.0,22251766.0,64753449.0,37553478.0,1050.0,3410310.0,8329598.0,4919288.0,22251766.0,9160715.0,1050.0,4410646.0,516171.0,222222.0,0.0,0.0,9159665.0,17199972.0,9777777.0,154677.0,828949.0,29223880.0,477681.0,28894102.0,7830.0,4390109.0,18961818.0,28335146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-06-30,2018-06-30,c575,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,,,,,,,,,9309397.0,,,,,,,,,,,,,,,,,,,,,,4919288.0,4390109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-07-01,2018-07-01,c175,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14917427.0,24077092.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-07-01,2018-07-01,c187,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-07-01,2018-07-01,c196,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-07-01,2018-07-01,c2,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,222222.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-07-01,2018-07-01,c22,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,9777777.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10820871,2018-07-01,2018-07-01,c25,,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzL2MwLzRhLzZiLzVkLzc3YjItNDI3OS1iNTg5LTJiZDE5NmJhNzEyZA.pdf,http://regnskaber.virk.dk/17802801/ZG9rdW1lbnRsYWdlcjovLzAzLzg3Lzc2LzFjL2JlLzk5OGQtNDBlYy04NTc0LTZiODk5MWM2NWMyNQ.xml,120000.0,Danmark,Ringsted,4100.0,16.0,Eventyrvej,Slagelse,4200.0,8.0,Elmedalsvej,2900 Hellerup,Strandvejen 44,,,"Regnskabsklasse C, mellemstor virksomhed",,2019-10-22,2019-10-22,,"Receivables are recognised in the balance sheet at amortised cost, which substantially corresponds to nominal value. Provisions for estimated bad debts are made.",-1050.0,20993979.0,,,,58504502.0,,www.jnmeat.dk,33771231.0,10820871.0,33771231.0,Ãrsrapport,120000.0,,,1050.0,Ulrik MÃ¸llergaard,John Sashi Nielsen,J. N. Meat ApS,PricewaterhouseCoopers Statsautoriseret Revisionspartnerselskab,,,,,Slagelse,,2017-07-01,2018-06-30,,,,Slagelse,2019-06-30,2018-07-01,,,,Ringsted,,,,58580200.0,direktÃ¸r,RevisionspÃ¥tegning,,urn:ofk:oid:27947760,indberetninger-20180424,2.5122635,10820871.0,AW35GK8MIXJRhhXBO1p3,2019-10-23T14:50:16.953Z,2019-10-23T14:50:06.835Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DD-53-YJ,2019-10-23T14:50:07.065Z,,,,,,,17199972.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
