entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,DisclosureOfRevenue,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables
12299974,2015-07-01,2016-06-30,c1,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,95900.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",-28526.0,12299974.0,-10526.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,308754.0,80757.0,2015-07-01,2016-06-30,-362949.0,-362949.0,-124426.0,2017-06-30,2016-07-01,false,false,0.0,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2015-07-01,2016-06-30,c3,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,-362949.0,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2016-06-30,2016-06-30,c9,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,6633644.0,1280063.0,200000.0,1880063.0,5115288.0,95900.0,6633644.0,1518356.0,4657681.0,494387.0,4753581.0,4163294.0,15000.0,0.0,95900.0,4915288.0,1518356.0,1503356.0,600000.0,600000.0,0.0
12299974,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,95900.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",-65432.0,12299974.0,45087.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,250.0,1090739.0,2015-07-01,2016-06-30,974244.0,974244.0,-161332.0,2017-06-30,2016-07-01,false,false,0.0,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,100000.0,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,0.0,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2016-07-01,2017-06-30,c6,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,874244.0,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,,,,,,,,,,,,,,,,,,,,,
12299974,2017-06-30,2017-06-30,c8,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzg5LzJlLzczLzk2L2IyZTItNGIwMC04YmRmLWRlMTRkZTIyNTFiNA.xhtml,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzNlL2U4LzJmL2I5ZmItNDlkZi05N2Q5LWU4MzZjYzcyNTNlYw.pdf,http://regnskaber.virk.dk/47999221/ZG9rdW1lbnRsYWdlcjovLzAzLzZkL2E5Lzg0LzU1L2Q4NGItNDNjZi04NjI4LTE4MzZmZDJkOWMxOQ.xml,true,KÃ¸benhavn V,1576.0,"5, 1 tv",Stoltenbergsgade,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-11-19,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive handel med vÃ¦rdipapirer og udlejnings virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn, jfr. regnskabslovens Â§ 32, er Ã¥rets omsÃ¦tning m.m. ikke oplyst. Bruttofortjeneste bestÃ¥r af posterne nettoomsÃ¦tning, igangvÃ¦rende arbejder og andre eksterne udgifter.</p>",,12299974.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,BjÃ¸rn Nielsen,BJÃRN NIELSEN ApS,Lokalrevisorerne ApS,,,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,33111223.0,false,true,Ingen bistand,urn:ofk:oid:24710982,indberetninger-20180424,2.594664,12299974.0,,2018-03-27T18:12:03.039Z,2017-11-19T15:44:43.258Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-AS-99-QE,2017-11-19T15:44:43.412Z,6000587.0,1193800.0,200000.0,1716453.0,5989532.0,0.0,6000587.0,11055.0,4284134.0,550000.0,4284134.0,3734134.0,0.0,22653.0,0.0,5789532.0,11055.0,11055.0,522653.0,500000.0,0.0
