entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
13367043,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,2500.0,-2500.0,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,0.0,30616.0,Virum,2017-01-01,2017-12-31,21934.0,28116.0,-2500.0,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,6182.0,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,,,,,,,,,,,,,,
13367043,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,21934.0,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,,,,,,,,,,,,,,
13367043,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,110616.0,51090.0,80000.0,110616.0,101934.0,110616.0,8682.0,47820.0,47820.0,47820.0,2500.0,11706.0,21934.0,8682.0,59526.0,6182.0,,
13367043,2018-01-01,2018-01-01,c10,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,21934.0,,,,,,,,,,,,,
13367043,2018-01-01,2018-01-01,c11,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,101934.0,,,,,,,,,,,,,
13367043,2018-01-01,2018-01-01,c9,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,80000.0,,,,,,,,,,,,,
13367043,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,2500.0,-2500.0,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,191.0,28430.0,Virum,2017-01-01,2017-12-31,19997.0,25739.0,-2500.0,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,5742.0,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,,,,,,,,,,,,,,
13367043,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,,,,,,,,,,,,,52886252.0,IGM REVISION V/IBEN GREEN MADSEN
13367043,2018-01-01,2018-12-31,c12,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,19997.0,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,,,,,,,,,,,,,,
13367043,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzk2L2M5L2RkLzk5LzEzZjYtNGMxZi04ODQyLTE3NGYyZDExMjgxNg.xhtml,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzkyLzAwLzZjL2E2NjYtNDA0YS04M2E5LWJmYjE0MTdkYWFjMg.pdf,http://regnskaber.virk.dk/34076331/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzgzLzBlLzM1L2Y5ZTctNDc0NS05ZTUyLTlkODdmNTRhN2U2MQ.xml,true,Danmark,DK,Roskilde,4000.0,4.0,Hovedvejen,Virum,2830.0,6.0,Geels Plads,4000 Roskilde,Hovedvejen 4,Til den daglige ledelse i GIMA Gardiner ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-13,2019-05-13,Registreret revisor,,,13367043.0,mne6154,1008543298.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Iben Green Madsen,Kim Jacob Skaarup,Kim Jacob Skaarup,GIMA Gardiner ApS,Iben Green Madsen,,,Virum,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,true,2019-05-13,Roskilde,,70276376.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27162127,indberetninger-20180424,2.5948067000000004,13367043.0,AWrEqh4HRYGX6_YTHw7W,2019-05-17T07:21:15.090Z,2019-05-17T07:20:43.551Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BD-10-BK,2019-05-17T07:20:43.738Z,,,,,,,,,,,,,,,,,,
