entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
14242309,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,2.0,Regnskabsklasse B,2017-02-20,2017-05-19,52000.0,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",697218.0,1537553.0,14242309.0,1015968423.0,316340.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,0.0,985.0,Frederikshavn,2015-01-01,2015-12-31,859932.0,1105660.0,788335.0,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,245728.0,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,
14242309,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,101600.0,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,
14242309,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,758332.0,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,,,,,,,,,,,,,,,,,,,,,,
14242309,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,9378646.0,502521.0,200000.0,686834.0,9025072.0,257857.0,9378646.0,353574.0,8433955.0,8691812.0,8433955.0,145445.0,257857.0,101600.0,0.0,0.0,8723472.0,353574.0,146084.0,184313.0,33423.0,28622.0,184313.0,,,
14242309,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,
14242309,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,8723472.0,,,,,,,,,,,,,,,,,,,,,
14242309,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,101600.0,,,,,,,,,,,,,,,,,,,,,
14242309,2016-01-01,2016-01-01,c13,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,9025072.0,,,,,,,,,,,,,,,,,,,,,
14242309,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,2.0,Regnskabsklasse B,2017-02-20,2017-05-19,49857.0,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",709010.0,1804271.0,14242309.0,1015968423.0,457142.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,47.0,0.0,Frederikshavn,2015-01-01,2015-12-31,1173519.0,1502499.0,1045404.0,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,328980.0,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,,,,,,,,,,,,,,,,,,,,101600.0,,
14242309,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2IyL2Y2LzRiLzI3LzkwYTctNDFhZC1iODUzLWMzZTc1NDVjNzNmMA.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1LzVkL2M3LzdjL2VjODgtNGQ2NS04MTdhLTExNDNjOWQyZTZkYw.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzL2QwLzg5LzQ2L2NhL2Q3YjgtNDRlMi1hNjQxLWQ2MTBjMmY3YzMwOA.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peder Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-02-20,2017-05-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars Peter Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst Registreret Revisionsanpartsselskab,,,Frederikshavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-02-20,Frederikshavn,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldt,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24030026,indberetninger-20180424,2.5949414,14242309.0,,2018-03-28T16:50:28.871Z,2017-05-31T21:07:43.344Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-14-XK,2017-05-31T21:07:43.693Z,,,,,,,,,,,,,,,,,,,,,,,,,21164577.0,ReviÃst
