entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
14242309,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,2.0,Regnskabsklasse B,2018-02-16,2018-05-04,49857.0,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",709010.0,1804271.0,14242309.0,mne11349,1015968423.0,457142.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,47.0,Frederikshavn,2016-01-01,2016-12-31,1173519.0,1502499.0,1045404.0,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,328980.0,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,
14242309,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,100000.0,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,
14242309,2016-01-01,2016-12-31,c8,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,1073519.0,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,
14242309,2016-12-31,2016-12-31,c10,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,10483050.0,358957.0,200000.0,525364.0,10096991.0,208000.0,10483050.0,386059.0,9749686.0,9957686.0,9749686.0,159789.0,208000.0,100000.0,0.0,0.0,9796991.0,386059.0,119076.0,166407.0,78933.0,28261.0,166407.0,,,
14242309,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,
14242309,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,9796991.0,,,,,,,,,,,,,,,,,,,,,
14242309,2017-01-01,2017-01-01,c13,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,100000.0,,,,,,,,,,,,,,,,,,,,,
14242309,2017-01-01,2017-01-01,c14,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,10096991.0,,,,,,,,,,,,,,,,,,,,,
14242309,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,2.0,Regnskabsklasse B,2018-02-16,2018-05-04,37000.0,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",520494.0,1890905.0,14242309.0,mne11349,1015968423.0,379349.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,1751.0,Frederikshavn,2016-01-01,2016-12-31,1335250.0,1711009.0,1333411.0,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,375759.0,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,
14242309,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM4L2I0LzNmL2RkL2ZhMzQtNDU1Yi04NjhkLTVhNjU0MDEwZTA1MQ.xhtml,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzM0L2I0L2M3L2IxLzU4OWQtNDk3Ni1iNTAwLTliNjM1Yzk0YmQ1Yg.pdf,http://regnskaber.virk.dk/90324241/ZG9rdW1lbnRsYWdlcjovLzAzLzYwLzZmLzdlL2U2L2Y3Y2EtNGVjNS1iZWNmLTAwMjNkOTc4MzZlYQ.xml,true,Danmark,DK,Frederikshavn,9900.0,"7, 1 th",Tordenskjoldsgade,Frederikshavn,9900.0,Frederikshavn,9900.0,69.0,Danmarksgade,9900 Frederikshavn,Tordenskjoldsgade 7B,Til den daglige ledelse i SpeciallÃ¦ge Lars Peter Hansen ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2018-02-16,2018-05-04,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen kautions-, leasing-, garanti- eller andre eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen.</p>",,,14242309.0,mne11349,1015968423.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Lars P. Hansen,Lars Peter Hansen,Jyske Bank A/S,SPECIALLÃGE LARS PETER HANSEN ApS,ReviÃst,,Frederikshavn,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,true,false,2018-02-16,Frederikshavn,,98432444.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25545658,indberetninger-20180424,2.5949414,14242309.0,AWOXln0ox8uVRSOdg1T3,2018-05-25T13:57:30.988Z,2018-05-25T13:56:49.214Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AG-20-BC,2018-05-25T13:56:49.575Z,,,,,,,,,,,,,,,,,,,,,,,,,21164577.0,ReviÃst
