entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DisposalsOfPropertyPlantAndEquipment,Equity,FaxNumberOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReversalsOfImpairmentLossesAndDepreciationOfDisposedPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,EquityRatio,GrossMargin,GrossResult,OperatingMargin,OtherEmployeeExpense,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,PropertyCost,RawMaterialsAndConsumablesUsed,ReturnOnEquity,Revenue,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsOfWorkInProgress,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfSupervisoryBoard
15132981,2013-05-01,2013-05-01,c470,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,500000.0,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2013-05-01,2013-05-01,c494,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,216000.0,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2013-05-01,2014-04-30,c111,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,1800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2013-05-01,2014-04-30,c123,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,-148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2013-05-01,2014-04-30,c3,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,1652000.0,7.0,36000.0,4896000.0,2.0,8.5,7886000.0,3.2,245000.0,2640000.0,1233000.0,504000.0,1233000.0,54000.0,2225000.0,2954000.0,7045000.0,75376000.0,257.3,92947000.0,573000.0,4597000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2013-05-01,2014-04-30,c495,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,-148000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2014-04-30,2014-04-30,c4,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,568000.0,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,,,,,,,,,,,,,,,,,,,,,,,28330000.0,67000.0,3788000.0,500000.0,28111000.0,1000.0,219000.0,28330000.0,27762000.0,219000.0,1399000.0,95000.0,219000.0,1800000.0,68000.0,20687000.0,27762000.0,189000.0,0.0,28044000.0,5088000.0,610000.0,3077000.0,19072000.0,,,
15132981,2014-04-30,2014-04-30,c472,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,500000.0,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2014-04-30,2014-04-30,c496,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,68000.0,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15132981,2014-05-01,2014-05-01,c160,,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzgxL2M0Lzc0LzgzNjgtNDJmMS1iYmNjLTI4MzlmNjY2ODEwYg.pdf,http://regnskaber.virk.dk/18923151/ZG9rdW1lbnRsYWdlcjovLzAzLzdjLzA5LzdmL2UwLzFiNjItNDU0Ny1hZGRlLWVjNThiZWRjMmRlMA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade,KÃ¸benhavn Ã,2100.0,10.0,Bergensgade,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",kapitalejerne,Regnskabsklasse B,2015-08-12,2015-08-12,1991-01-01,2015-08-12,126057.0,statsautoriseret revisor,700000.0,,+45 39 29 60 50,34209936.0,15132981.0,34209936.0,Ãrsrapport,SÃ¸ren Poulsen,Mette Borring,Niels Holstein-LÃ¸venÃ¸rn,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Spar Nord Bank A/S,Johs. Gram-Hanssen A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn Ã,KÃ¸benhavn,2015-04-30,2014-05-01,606666.0,2015-08-12,KÃ¸benhavn,+45 39 29 80 88,Formand,RevisionspÃ¥tegning,urn:ofk:oid:5729940,indberetninger-20180424,2.5095456,15132981,,2018-03-30T11:58:28.917Z,2015-08-12T15:20:42.179Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AF-89-VF,2015-08-12T15:20:42.246Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943760.0,1163151.0,
