entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfUncertaintiesRelatingToGoingConcern,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
16323616,2014-10-01,2015-09-30,c3,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",-6200.0,16323616.0,1000765485.0,68782.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,44246.0,HÃ¸rsholm,2014-10-01,2015-09-30,-520.0,18336.0,-6200.0,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,18856.0,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,,,,,,,,,,,,,,,
16323616,2014-10-01,2015-09-30,c5,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,-520.0,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,,,,,,,,,,,,,,,
16323616,2015-09-30,2015-09-30,c7,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,82346.0,200000.0,8196.0,7896.0,-141847.0,82346.0,224193.0,74150.0,74150.0,74150.0,300.0,-341847.0,224193.0,219193.0,8196.0,5000.0,,,
16323616,2015-10-01,2015-10-01,c10,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,-141847.0,,,,,,,,,,,,,,
16323616,2015-10-01,2015-10-01,c8,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,200000.0,,,,,,,,,,,,,,
16323616,2015-10-01,2015-10-01,c9,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,-341847.0,,,,,,,,,,,,,,
16323616,2015-10-01,2016-09-30,c0,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",-3750.0,16323616.0,1000765485.0,19602.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,7750.0,HÃ¸rsholm,2014-10-01,2015-09-30,29577.0,8102.0,-3750.0,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,-21475.0,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,,,,,,,,,,,,,0.0,,
16323616,2015-10-01,2016-09-30,c1,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,,,,,,,,,,,,,,14569391.0,REGISTRERET REVISIONSANPARTSSELSKAB DM REVISION
16323616,2015-10-01,2016-09-30,c11,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,0.0,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,,,,,,,,,,,,,0.0,,
16323616,2015-10-01,2016-09-30,c12,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzL2Q3L2NkLzA1L2Q1LzExODUtNDk5Ny1iMzNlLWI4MDgwMjdlNGM3Yw.xhtml,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzY2L2VmLzgzL2QyL2RkOTUtNGEzYy05NTFhLWRkNTY4NzQxNTJjMw.pdf,http://regnskaber.virk.dk/61632361/ZG9rdW1lbnRsYWdlcjovLzAzLzdhL2E5L2EwL2NjLzdkZjQtNDMyOS04MjEyLTQ0NDJjYzFjYWUzYg.xml,true,Danmark,DK,Tureby,4682.0,10.0,Ulstrupvej,HÃ¸rsholm,2970.0,63.0,HÃ¸rsholm Midtpunkt,4682 Tureby,Ulstrupvej 10,Til den daglige ledelse i J.T. Holding ApS:,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-08,2017-02-08,Rgistreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Usikkerhed i forbindelse med going concern er fyldestgÃ¸rende beskrevet i ledelsesberetningen i Ã¥rsrapporten, hvortil der henvises.</p>",,16323616.0,1000765485.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Merete Leth,Joachim Tick,Joachim Tick,J.T. HOLDING ApS,DM Revision ApS,,HÃ¸rsholm,2014-10-01,2015-09-30,29577.0,,,2016-09-30,2015-10-01,true,false,2017-02-08,Tureby,,20988282.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23464057,indberetninger-20180424,2.5948124,16323616.0,,2018-03-27T14:36:58.572Z,2017-02-08T12:23:48.242Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-93-EA,2017-02-08T12:23:48.460Z,,,,,,,,,,,,,,,,,0.0,,
