entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,AddressOfAuditorCountry,EmailOfAuditor,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor
17883887,2017-07-01,2017-07-01,c704,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,1650000.0,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2017-07-01,c725,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,21761589.0,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2017-07-01,c728,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,2947014.0,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2018-06-30,c106,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,105800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2018-06-30,c120,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,-90983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2018-06-30,c3,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,14817.0,-253450.0,253450.0,248590.0,620268.0,118228.0,-253450.0,103411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2018-06-30,c726,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,-90983.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2017-07-01,2018-06-30,c729,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,,,,,,,,,105800.0,2947014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17883887,2018-06-30,2018-06-30,c4,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,23426406.0,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,,,,,,,,,,,24933190.0,211672.0,1650000.0,24933190.0,24933190.0,1506784.0,24357158.0,1357409.0,155338.0,105800.0,21670606.0,24357158.0,1506784.0,364360.0,0.0,209022.0,149375.0,,,,,,,,,,,,
17883887,2018-06-30,2018-06-30,c706,,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzhlL2UyL2Q2LzU0L2E2NzctNGE3ZC1iNzg4LWUzMjE0YWFlNDE0NQ.pdf,http://regnskaber.virk.dk/78838871/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzM0L2ViLzAxL2Y1MzEtNDkyMy1iNWJhLTlkZTFiNzEzNTc5ZA.xml,Frederiksberg,2000.0,76.0,Dirch Passers AllÃ©,"2000, Frederiksberg","Dirch Passers AllÃ©, 76",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2019 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018/19 for opfyldt.,2019-11-05,2019-11-05,1994-06-22,2019-11-05,Egenkapital,1650000.0,17883887.0,29442789.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2018 - 30. juni 2019 for Thornam Invest ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Birthe Thornam,Birthe Thornam,Thornam Invest ApS,"Redmark, Statsautoriseret Revisionspartnerselskab",KÃ¸benhavn,2017-07-01,2018-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2019-06-30,2018-07-01,2019-11-05,KÃ¸benhavn,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:28000795,indberetninger-20180424,2.5124211,17883887.0,AW5LKuGTIXJRhhXBPUIh,2019-11-08T13:19:09.870Z,2019-11-08T13:18:51.377Z,regnskab,0.0,,2019-06-30,2018-07-01,X19-DJ-70-VA,2019-11-08T13:18:51.563Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
