entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,ExtraordinaryExpenses,ExtraordinaryIncome,ExtraordinaryProfitLossBeforeTax,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermDebtToBanks,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermReceivables,ShorttermTaxPayables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
20052147,2014-10-01,2015-09-30,c3,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,17500.0,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",0.0,32042.0,38400.0,114159.0,143829.0,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,18528.0,Vodskov,2014-10-01,2015-09-30,85027.0,107801.0,126329.0,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",29132.0,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20052147,2014-10-01,2015-09-30,c5,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,49900.0,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20052147,2014-10-01,2015-09-30,c7,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,35127.0,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20052147,2015-09-30,2015-09-30,c9,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,834873.0,38917.0,125000.0,162186.0,431880.0,35000.0,36122.0,637687.0,834873.0,402993.0,173834.0,311791.0,137957.0,36122.0,672687.0,8000.0,87147.0,672687.0,49900.0,256980.0,13200.0,91202.0,13117.0,87147.0,56885.0,,,
20052147,2015-10-01,2015-10-01,c10,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
20052147,2015-10-01,2015-10-01,c11,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,256980.0,,,,,,,,,,,,,,,,,,,,,,,
20052147,2015-10-01,2015-10-01,c12,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,49900.0,,,,,,,,,,,,,,,,,,,,,,,
20052147,2015-10-01,2015-10-01,c13,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,431880.0,,,,,,,,,,,,,,,,,,,,,,,
20052147,2015-10-01,2016-09-30,c0,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,17500.0,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",0.0,10498.0,48000.0,94020.0,94333.0,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,20315.0,Vodskov,2014-10-01,2015-09-30,71652.0,56518.0,76833.0,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",22368.0,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,,,,,,,,,,,,,,,,,,,,,,49900.0,,
20052147,2015-10-01,2016-09-30,c1,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2E2LzNmL2U2L2I4LzExYmQtNGU0NC04OTVhLTM1YzQwMzJlMTI2YQ.xhtml,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzLzNiL2Q1LzU0LzRkL2Y0YjAtNGY5OS1iZTc2LTYzMjI4ZDcxYTViYQ.pdf,http://regnskaber.virk.dk/74125002/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzQ4LzEwL2UzL2EyMTItNDI4OC04NWYyLTI5ZmVlMTVlNjQ3Yw.xml,true,Danmark,DK,Vodskov,9310.0,84.0,Kornelparken,Jerslev J,9740.0,10.0,SÃ¸hedenvej,9310 Vodskov,Kornelparken 84,Til anpartshaverne i Grindsted Antik ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-01-25,2017-01-25,,Registreret revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Tilsikkerhed for gÃ¦ld til realkreditinstitut kr. 138.196, er der givet pant i grund og bygning med bogfÃ¸rt vÃ¦rdi pÃ¥ kr. 645.937. Ejerpantebrev kr. 150.000 i ejendommen er stillet til sikkerhed for gÃ¦ld til pengeinstitut.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen</p>",,,,,,20052147.0,1000218242.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Ole Dahl,Ernst Jacobsen,Ernst Jacobsen,Sparekassen Vendsyssel,GRINDSTED ANTIK ApS,Revisionsfirmaet Ole Dahl,,Vodskov,2014-10-01,2015-09-30,,,,2016-09-30,2015-10-01,false,false,2017-01-25,Vodskov,"Jeg erklÃ¦rer, at selskabet opfylder betingelserne for fravalg af revision",,98954422.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23429744,indberetninger-20180424,2.5953927000000006,20052147.0,,2018-03-27T12:53:55.314Z,2017-01-27T12:45:02.770Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AB-36-LX,2017-01-27T12:45:02.977Z,,,,,,,,,,,,,,,,,,,,,,,,,,,11328881.0,REVISIONSFIRMAET OLE DAHL
