entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,NameAndSurnameOfMemberOfExecutiveBoard
20172908,2016-10-01,2017-09-30,ID_11,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,-1203884.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20172908,2016-10-01,2017-09-30,ID_7,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,1203884.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,14311.0,-24649.0,511750.0,2098432.0,1547722.0,-38960.0,343838.0,,,,,,,,,,,,,,,,,,,,,,,
20172908,2016-10-01,2017-09-30,ID_9,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20172908,2017-09-30,2017-09-30,ID_5,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,32359737.0,2444418.0,599000.0,2498515.0,54097.0,13700.0,30996087.0,1185288.0,32359737.0,1363650.0,28675934.0,13700.0,29861222.0,28675934.0,1096736.0,0.0,1185288.0,0.0,30397087.0,1349950.0,54097.0,253214.0,
20172908,2017-10-01,2018-09-30,ID_0,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,-935645.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,14311.0,-18048.0,2235068.0,1331782.0,-935645.0,-32359.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
20172908,2017-10-01,2018-09-30,ID_1,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20172908,2017-10-01,2018-09-30,ID_10,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,2935645.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20172908,2017-10-01,2018-09-30,ID_2,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20172908,2017-10-01,2018-09-30,ID_3,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karin Merete Cullura Byskov
20172908,2017-10-01,2018-09-30,ID_4,,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzhjLzcxLzJkLzE1YWMtNDRmNy1iNmM1LWYwZDI2NWRiMjEzMg.pdf,http://regnskaber.virk.dk/80927102/ZG9rdW1lbnRsYWdlcjovLzAzLzNmL2RjLzljLzE1LzUwN2MtNGIyMC1iMDEzLWVjOWNlMzY3ZTUyMw.xml,true,"NÃ¦stved, 4700",Vadestedet 6,Til kapitalejerne i Bear Finans NÃ¦stved ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-11-20,2018-11-20,1997-06-12,2019-01-02,27433863.0,20172908.0,27433863.0,mne6032,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Bear Finans NÃ¦stved ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ebbe Jensen,Karin Merete Cullura Byskov,Revision Vadestedet,"Sydbank, Jyske Bank",Bear Finans NÃ¦stved ApS,"Revision Vadestedet , Godkendt Revisionsaktieselskab",NÃ¦stved,2016-10-01,2017-09-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"NÃ¦stved, 370",2018-09-30,2017-10-01,false,2018-11-20,NÃ¦stved,RevisionspÃ¥tegning,urn:ofk:oid:26519006,indberetninger-20180424,2.5117111,20172908.0,AWgOgIe1et7j816Dxk4K,2019-01-02T12:19:47.725Z,2019-01-02T12:18:49.087Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AA-08-RZ,2019-01-02T12:18:49.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
