entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprises,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermDebtToBanks,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables,ShorttermTradePayables,DividendPaid
20211393,2016-10-01,2017-09-30,c2,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,142630.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",393072.0,97418.0,20211393.0,19202.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,26099.0,394994.0,Lunderskov,2016-10-01,2017-09-30,-35018.0,-50187.0,-438284.0,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,-15169.0,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2016-10-01,2017-09-30,c4,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,105800.0,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2016-10-01,2017-09-30,c6,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,-140818.0,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2017-09-30,2017-09-30,c8,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,9157693.0,740749.0,15048.0,200000.0,4826858.0,52109.0,21876.0,22578.0,6653070.0,126500.0,3821226.0,9157693.0,2504623.0,383109.0,383109.0,1802910.0,1780332.0,4330835.0,3922824.0,59981.0,3947726.0,105800.0,6347270.0,559732.0,3922824.0,701713.0,72000.0,0.0,0.0,163285.0,13508.0,60744.0,10000.0,
20211393,2017-10-01,2017-10-01,c10,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,6347270.0,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2017-10-01,2017-10-01,c11,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,105800.0,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2017-10-01,2017-10-01,c12,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,6653070.0,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2017-10-01,2017-10-01,c9,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,
20211393,2017-10-01,2018-09-30,c0,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,153557.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",394996.0,160039.0,20211393.0,26254.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,35373.0,145969.0,Lunderskov,2016-10-01,2017-09-30,-210214.0,-251664.0,-388514.0,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,-41450.0,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105800.0
20211393,2017-10-01,2018-09-30,c1,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2FlLzZmLzkyLzQ4L2FjMzAtNGY4MS05OGMyLTYxMDhjYTNlOTVmNA.xhtml,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzL2E0L2JhL2IwLzlhL2MzNjctNGNkYi1iNGM3LTg4NzVjMWRmNTkwMg.pdf,http://regnskaber.virk.dk/39311202/ZG9rdW1lbnRsYWdlcjovLzAzLzY1LzQ4L2YxLzNhL2I2NjMtNGMyMS1iMTFlLTQ4YjE4YTkxMTA5ZA.xml,true,Lunderskov,6640.0,5.0,Industrivej,6000 Kolding,Olaf Ryes Gade 7K,1.0,Regnskabsklasse B,2019-02-28,2019-03-04,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Â Til sikkerhed for gÃ¦ld til realkreditinstitutter og pengeinstitutter t.kr. 1.780 er der givet pant i grunde og bygninger med nom. t.kr. 2.835, hvis regnskabsmÃ¦ssige vÃ¦rdi udgÃ¸r t.kr. 3.949</p>",,,20211393.0,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Hans Nielsen,Hans Schelde Nielsen,TEGLHÃJ ApS,Bo SkjÃ¸nnemand,,,Lunderskov,2016-10-01,2017-09-30,,,,2018-09-30,2017-10-01,true,false,Revision for kommende regnskabsÃ¥r er fravalgt og opfylder kriterierne herfor,,false,false,Ingen bistand,urn:ofk:oid:26766257,indberetninger-20180424,2.5955422,20211393.0,AWlIJTkiRYGX6_YTFh5q,2019-03-04T10:00:34.444Z,2019-03-04T09:59:52.316Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AM-57-HL,2019-03-04T09:59:52.608Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
