entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossResult,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Dividend,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables
20655798,2013-10-01,2013-10-01,c450,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,500000.0,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,,,,,,,,,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2013-10-01,c474,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,10826064.0,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,,,,,,,,,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2013-10-01,c477,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,600000.0,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,,,,,,,,,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2014-09-30,c109,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,600000.0,,,,,,,,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2014-09-30,c123,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,757696.0,,,,,,,,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2014-09-30,c3,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,1357696.0,-37262.0,37262.0,3501.0,1839613.0,1798850.0,-37262.0,441154.0,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2014-09-30,c475,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,757696.0,,,,,,,,,,,,,,,,,,,,,,,,
20655798,2013-10-01,2014-09-30,c478,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,,,,,,,,,600000.0,600000.0,,,,,,,,,,,,,,,
20655798,2014-09-30,2014-09-30,c4,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,12683760.0,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,,,,,,,,,,,13113020.0,311123.0,500000.0,13113020.0,13113020.0,429260.0,12706413.0,24001.0,95484.0,600000.0,11583760.0,12706413.0,429260.0,95484.0,405259.0
20655798,2014-09-30,2014-09-30,c452,,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzlmLzY3LzBjLzljLzA1MjctNGZjOC04YmQ2LWIxZTMxMmZiYTljMQ.pdf,http://regnskaber.virk.dk/89755602/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4LzhiL2FlL2E5L2U4MjctNGNhNi04MDE3LWUyZGEwOGMxZmNiOQ.xml,Esbjerg V,6710.0,105.0,SÃ¦dding Strandvej,"6715, Esbjerg N","Edison Park, 4",kapitalejeren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2015  samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2014 - 30. september 2015.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2014/15 for opfyldt.,2015-10-29,2015-10-29,1998-01-01,2016-02-21,500000.0,20655798.0,32285201.0,Direktionen har dags dato aflagt Ã¥rsrapporten for 2014/15 for R.K.R. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren RishÃ¸j,Lene Rysgaard,R.K.R. Holding ApS,"Martinsen, Statsautoriseret Revisionspartnerselskab",Esbjerg V,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2015-09-30,2014-10-01,2015-10-29,Esbjerg,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22020812,indberetninger-20180424,2.5122786,20655798.0,,2018-03-28T21:55:06.646Z,2016-02-24T13:43:40.265Z,regnskab,0.0,,2015-09-30,2014-10-01,X16-AQ-86-PW,2016-02-24T13:43:40.525Z,,,,,,,,,,,,,,,,,,,,,,,,,
