entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,Assets,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,FaxNumberOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LiabilitiesAndEquity,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
21093890,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_10,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_12,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_13,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_14,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_2,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,
21093890,2015-01-01,2015-12-31,ID_3,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,Peter Eduard J Van Loon,Board Member,
21093890,2015-01-01,2015-12-31,ID_4,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2I5LzM4LzA5LzM4MjUtNGQyYi04OWQzLWUzYTIyZTgzMWM3MQ.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzc5L2I4LzQ3L2JhLzRkYzItNGRmOC1hMjM3LTMzMWFjMWIyYjE2MA.xml,"Herlev, 2730",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,0.0,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",2016-05-27,1998-05-01,2016-05-27,0.0,44 78 80 38,www.fortislease.com,21093890.0,31061741.0,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015.","We have audited the Financial Statements of Fortis Lease Danmark A/S for the financial year 1 January 2015 - 31 December 2015 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Fabrice Perret,Fortis Lease Danmark A/S,Visma Services Danmark A/S,"Copenhagen, 27 May 2016",2014-01-01,2014-12-31,0.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,2016-05-27,Copenhagen,70 10 76 86,Manager,RevisionspÃ¥tegning,urn:ofk:oid:22571329,indberetninger-20180424,2.5124297,21093890.0,,2018-03-28T19:44:00.484Z,2016-06-02T07:03:31.818Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AX-79-SB,2016-06-02T07:03:31.960Z,,,Peter Eduard J Van Loon
