entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherProvisions,OtherShorttermReceivables,Provisions,RetainedEarnings,SharePremium,ShorttermLeaseCommitments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivablesFromGroupEnterprises,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
21093890,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,-345071.0,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,934.0,Copenhagen,2017-01-01,2017-12-31,3749861.0,-470723.0,-345071.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,126586.0,false,2019-05-24,Copenhagen,-4220584.0,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2017-01-01,2017-12-31,ID_13,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,-3749861.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2017-12-31,2017-12-31,ID_10,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,15401120.0,10207795.0,5200000.0,15391120.0,10000.0,13197134.0,15401120.0,203986.0,10000.0,10000.0,2000000.0,48258.0,2000000.0,-127652866.0,135650000.0,0.0,203986.0,5183325.0,935067.0,4200000.0,203986.0,,,
21093890,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,-1011160.0,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,4891.0,Copenhagen,2017-01-01,2017-12-31,296511.0,-1069118.0,-1011160.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,62849.0,false,2019-05-24,Copenhagen,-1365629.0,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2018-01-01,2018-12-31,ID_12,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,-296511.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2018-01-01,2018-12-31,ID_3,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,,
21093890,2018-01-01,2018-12-31,ID_4,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,Peter Eduard J Van Loon,,
21093890,2018-01-01,2018-12-31,ID_5,,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzLzUxLzNhLzFlLzYwLzJlOGQtNGY2Ny1hZmQ4LWY2YWMzYWFkODI5Mw.pdf,http://regnskaber.virk.dk/09839012/ZG9rdW1lbnRsYWdlcjovLzAzL2M5L2ZiL2Q2L2RlL2NhOWYtNGM3Ny04NGY0LTU4MGM3NjA5MzY5Nw.xml,true,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Fortis Lease Danmark A/S,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Company's operations for the financial year 1 January 2018 - 31 December 2018.",2019-05-24,2019-05-24,1998-05-01,2019-05-24,44 78 80 38,,www.fortislease.com,31061741.0,21093890.0,25074823.0,mne26824,"Today, Management has considered and adopted the Annual Report of Fortis Lease Danmark A/S for the financial year 1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Kurt Christensen,Fabrice Perret,Mazars Statsautoriseret Revisionspartnerselskab,Fortis Lease Danmark A/S,Azets Insight A/S,,Copenhagen,2017-01-01,2017-12-31,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"163, Herlev",2018-12-31,2018-01-01,,false,2019-05-24,Copenhagen,,70 10 76 86,RevisionspÃ¥tegning,urn:ofk:oid:27258877,indberetninger-20180424,2.5118417999999996,21093890.0,AWr9BcbeRYGX6_YTIGM5,2019-05-28T06:00:17.625Z,2019-05-28T05:59:34.828Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BH-31-AS,2019-05-28T05:59:34.993Z,,,,,,,,,,,,,,,,,,,,,,,Peter Eduard J Van Loon,Board Member
