entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfPropertyPlantAndEquipment,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherReserves,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
21800430,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,66803.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",0.0,742986.0,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,108947.0,199964.0,1.0,RÃ¸nnede,2014-01-01,2014-12-31,536074.0,476220.0,676183.0,2015-12-31,2015-01-01,851933.0,2016-02-10,RÃ¸nnede,-59854.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,500000.0,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,36074.0,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2014-12-31,2014-12-31,c9,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,21729698.0,581.0,125000.0,144973.0,5314630.0,21584725.0,21729698.0,15445803.0,14607858.0,14607858.0,21584725.0,4116790.0,674954.0,21584725.0,500000.0,969265.0,969265.0,572840.0,137540.0,837945.0,144392.0,25451.0,144392.0,,
21800430,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,70455.0,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",9350000.0,10102675.0,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,105223.0,219036.0,4683.0,RÃ¸nnede,2014-01-01,2014-12-31,7730273.0,9817867.0,10032220.0,2015-12-31,2015-01-01,857898.0,2016-02-10,RÃ¸nnede,2087594.0,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,20835400.0,Ãstdansk Landboforening
21800430,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,500000.0,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,7230273.0,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,,,,,,,,,,,,,,,,,,,,,,,,,
21800430,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzY0L2EyL2RjLzQwLzkyYzQtNGQzNy1iMDUyLTU1OGZiMzg2ZjliZQ.xhtml,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzLzgwLzkwLzI0LzUyLzVjNzktNDljMC1hNGIyLWU4MWFhMTQ1N2Y0NA.pdf,http://regnskaber.virk.dk/03400812/ZG9rdW1lbnRsYWdlcjovLzAzL2IwLzdmL2Y5Lzk5LzYxMTAtNDQwYS04ZWVjLWJkNGQ5OWM2YTAzYg.xml,Danmark,DK,RÃ¸nnede,4683.0,6.0,Center Alle,Faxe,4640.0,8.0,Vivedevej,4683  RÃ¸nnede,Center Alle' 6,Til den daglige ledelses i Vilhelmsminde ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsregnskab,Regnskabsklasse B,2016-02-10,2016-02-10,,Registreret revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">VÃ¦sentligste aktivitet er udlejning af landbrugsjord og bygninger.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">DagsvÃ¦rdien af invsteringsejendomme er opgjort med baggrund i en analyse af prissÃ¦tningen i effektuerede ejendomshandler i omrÃ¥det.</p>",,,21800430.0,1004537204.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jens Christensen,Jens Christensen,Anders Christensen,Alm. Brand Bank,VILHELMSMINDE ApS,Jens Christensen,,,,RÃ¸nnede,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,,2016-02-10,RÃ¸nnede,,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:21979937,indberetninger-20180424,2.5949402000000004,21800430.0,,2018-03-28T19:40:10.807Z,2016-02-11T13:02:47.683Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AP-94-LS,2016-02-11T13:02:47.837Z,31293535.0,581.0,125000.0,320515.0,12544904.0,30973020.0,31293535.0,15691772.0,14603180.0,14603180.0,30973020.0,4116790.0,958736.0,30973020.0,500000.0,3056859.0,3056859.0,7803114.0,103961.0,1088592.0,319934.0,25895.0,319934.0,,
