entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfUncertaintiesRelatingToGoingConcern,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,CompletedDevelopmentProjects,ContributedCapital,CurrentAssets,Equity,IntangibleAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables
24225674,2017-05-01,2018-04-30,c2,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,201279.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",383565.0,-173102.0,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,186485.0,StenlÃ¸se,2017-05-01,2018-04-30,-496266.0,-560866.0,-374381.0,2019-04-30,2018-05-01,210463.0,false,-64600.0,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,,,,,,,,,,,,,,
24225674,2017-05-01,2018-04-30,c4,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,-496266.0,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,,,,,,,,,,,,,,
24225674,2018-04-30,2018-04-30,c6,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,1108870.0,13526.0,1015683.0,125000.0,93187.0,-6948663.0,1015683.0,1108870.0,8057533.0,1015683.0,1062797.0,4500.0,-7073663.0,8057533.0,6987059.0,79661.0,64600.0,7677.0,10561.0
24225674,2018-05-01,2018-05-01,c7,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,125000.0,,,,,,,,,,,,,
24225674,2018-05-01,2018-05-01,c8,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,-7073663.0,,,,,,,,,,,,,
24225674,2018-05-01,2018-05-01,c9,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,-6948663.0,,,,,,,,,,,,,
24225674,2018-05-01,2019-04-30,c0,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,201279.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",376621.0,-195029.0,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,163156.0,StenlÃ¸se,2017-05-01,2018-04-30,-526015.0,-559464.0,-396308.0,2019-04-30,2018-05-01,181592.0,false,-33449.0,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,,,,,,,,,,,,,,
24225674,2018-05-01,2019-04-30,c1,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,,,,,,,,,,,,,,
24225674,2018-05-01,2019-04-30,c10,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,-526015.0,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,,,,,,,,,,,,,,
24225674,2018-05-01,2019-04-30,c3,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzL2U1L2E5LzVkLzZjLzRhNmUtNDA5OC04MTJmLWI2ZmIyNDBlNGU5Ng.xhtml,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzFiLzdiLzExL2NmLzk0ZjEtNDM4MC1iMTA4LWVhYTRlZmVjNGFiNw.pdf,http://regnskaber.virk.dk/47652242/ZG9rdW1lbnRsYWdlcjovLzAzLzM2LzE4L2UxL2EwL2ViNjItNDkwYy1hMzU0LTVlMzY4ZjYzZjkyYQ.xml,true,StenlÃ¸se,3660.0,"76, 1",Egedal Centret,4780 Stege,Storegade 17C,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-09-19,2019-10-03,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet hÃ¦fter solidarisk for den samlede skat af koncernens sambeskatningsindkomst.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Â Som det fremgÃ¥r af ledelsesberetninger der det usikker, hvorvidt selskabet kan fortsÃ¦tte sin drift. Uagtet dette er selskabets Ã¥rsregnskab aflagt med fortsat drift for Ã¸je. AflÃ¦ggelse af Ã¥rsregnskabet til likvidationsvÃ¦rdier forventes at ville pÃ¥virke egenkapitalen vÃ¦sentligt i negativ retning.</p>",,,24225674.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Michael Miravet Sorribes,Michael Miravet Sorribes,4DIMENS ApS,Kirsten Kirkhoff,,StenlÃ¸se,2017-05-01,2018-04-30,-526015.0,,,2019-04-30,2018-05-01,,false,,false,false,Ingen bistand,urn:ofk:oid:27890657,indberetninger-20180424,2.5927877,24225674.0,AW2WntBqIXJRhhXBOQIf,2019-10-04T11:54:29.279Z,2019-10-04T11:54:12.174Z,regnskab,0.0,,2019-04-30,2018-05-01,X19-CZ-18-XW,2019-10-04T11:54:12.969Z,,,,,,,,,,,,,,,,,,,
