entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfProvisions,EmployeeBenefitsExpense,FaxNumberOfReportingEntity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
25448790,2014-10-01,2015-09-30,ID_6,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,263627.0,5. Provisions for deferred tax,9295510.0,70729902.0,11027462.0,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,745382.0,700262.0,0.0,Copenhagen,2014-10-01,2015-09-30,1067438.0,1423205.0,1468325.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,355767.0,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2014-10-01,2015-09-30,ID_8,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,1067438.0,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2015-09-30,2015-09-30,ID_10,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,24851058.0,1718758.0,125000.0,23578520.0,6629.0,37897.0,247593.0,10709688.0,1024945.0,97987.0,24851058.0,14141370.0,247593.0,336339.0,336339.0,1272538.0,2380599.0,1024945.0,97987.0,10584688.0,3190719.0,13805031.0,7381527.0,21761775.0,16618650.0,134583.0,717603.0,5098599.0,,,
25448790,2015-10-01,2016-09-30,ID_0,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,345959.0,5. Provisions for deferred tax,9342354.0,70729902.0,9984181.0,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,585296.0,574639.0,20451.0,Copenhagen,2014-10-01,2015-09-30,185939.0,264760.0,275417.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,78821.0,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2015-10-01,2016-09-30,ID_1,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roland Arnoldus Cornelus van de Geer,Administrerende direktÃ¸r/Bestyrelsesmedlem,
25448790,2015-10-01,2016-09-30,ID_11,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2015-10-01,2016-09-30,ID_12,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25448790,2015-10-01,2016-09-30,ID_2,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roland Arnoldus Cornelus van de Geer
25448790,2015-10-01,2016-09-30,ID_3,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter Ole Jensen,Chairman,
25448790,2015-10-01,2016-09-30,ID_4,,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzg4LzMwLzg1L2FmN2EtNGY3Yi05MDliLTk4NWVmOGIwZTY0Ng.pdf,http://regnskaber.virk.dk/09784452/ZG9rdW1lbnRsYWdlcjovLzAzLzFkLzAxLzlkLzY3L2JmOWUtNGMwZi04MWRjLWM1ZjE3MmJlZTkyNA.xml,"2730, Herlev",LyskÃ¦r 3 CD,To the shareholders of Avaya Denmark ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 30 September 2016 and of the results of the Company's operations for the financial year 1 October 2015 - 30 September 2016.",2017-02-27,2017-02-27,2000-06-14,2017-02-27,,5. Provisions for deferred tax,,70729902.0,,20222670.0,25448790.0,20222670.0,"Today, Management has considered and adopted the Annual Report of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016.","We have audited the Financial Statements of Avaya Denmark ApS for the financial year 1 October 2015 - 30 September 2016 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Peter Ole Jensen,BDO,Avaya Denmark ApS,Visma Services Danmark A/S,,,,Copenhagen,2014-10-01,2015-09-30,,,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"101, KÃ¸benhavn",2016-09-30,2015-10-01,2017-02-27,Copenhagen,,70279901.0,Administrerende direktÃ¸r/Bestyrelsesmedlem,RevisionspÃ¥tegning,urn:ofk:oid:23522282,indberetninger-20180424,2.5118417999999996,25448790.0,,2018-03-27T18:13:59.050Z,2017-02-27T10:00:02.315Z,regnskab,0.0,,2016-09-30,2015-10-01,X17-AD-25-QW,2017-02-27T10:00:02.607Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Julien Pierre Henry Hannequart,Board Member,
