entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdjustmentsForCurrentTaxOfPriorPeriod,AmortisationOfIntangibleAssets,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AcquiredIntangibleAssets,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,NumberOfEmployees,OtherLongtermDebtRaisedByIssuanceOfBonds,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayablesToGroupEnterprises,ShorttermTradePayables,ShorttermTradeReceivables,WorkInProgress,AccumulatedImpairmentLossesAndAmortisationOfIntangibleAssets,IntangibleAssetsGross,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,NameOfAuditFirm,TypeOfAuditorAssistance,AdditionsToPropertyPlantAndEquipment,DepreciationOfPropertyPlantAndEquipment
25555678,2015-01-01,2015-12-31,c175,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,1956.0,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",0.0,2017-03-17,2000-06-30,2017-03-17,-154375.0,Statsautoriseret revisor,-1896389.0,2130416.0,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,7414.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,-84468.0,12109.0,77054.0,Arnborg,202468.0,2015-01-01,2015-12-31,5337.0,7293.0,79652.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,35366.0,-1956.0,1658555.0,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25555678,2015-01-01,2015-12-31,c195,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,5337.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25555678,2015-12-31,2015-12-31,c172,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,14875.0,2633829.0,4100.0,130000.0,200000.0,39323.0,451869.0,274200.0,14875.0,236256.0,1151151.0,2633829.0,2150468.0,399141.0,3535.0,1440226.0,5.0,399141.0,498547.0,1425351.0,31492.0,31492.0,210262.0,251869.0,698944.0,1751327.0,37341.0,323753.0,953247.0,0.0,192742.0,783924.0,22459.0,,,,,,,,,
25555678,2016-01-01,2016-01-01,c226,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25555678,2016-01-01,2016-01-01,c253,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,251869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25555678,2016-01-01,2016-01-01,c339,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6375.0,21250.0,,,,,,,
25555678,2016-01-01,2016-01-01,c444,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526214.0,1677365.0,,,,,
25555678,2016-01-01,2016-01-01,c456,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521944.0,796144.0,,,,,
25555678,2016-01-01,2016-12-31,c174,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,844.0,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",18700.0,2017-03-17,2000-06-30,2017-03-17,-156487.0,Statsautoriseret revisor,-2632771.0,2941668.0,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,7022.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,-66311.0,0.0,59289.0,Arnborg,285808.0,2015-01-01,2015-12-31,66555.0,86099.0,152410.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,47526.0,-19544.0,2299437.0,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Til kapitalejeren i JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,ErklÃ¦ring om udvidet gennemgang,,
25555678,2016-01-01,2016-12-31,c194,,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0L2YwL2I3LzhkL2ViNmQtNGIyMi1iZWY2LTBkZDU1ODZhNmUwNA.pdf,http://regnskaber.virk.dk/87655552/ZG9rdW1lbnRsYWdlcjovLzAzLzE0L2EwL2RkL2RjL2YxZTgtNDQxMS05M2E2LTM1OTI3ZmYzMDZkMA.xml,true,Herning,7400.0,30.0,Birk Centerpark,Herning,7400.0,4-6,Ãstergade,Herning,7400.0,4.0,Kaj Munks Vej,7400 Herning,"Krogvejen 20, Arnborg",DK-7400 Herning,Birk Centerpark 30,,4250.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2016 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2016.",,2017-03-17,2000-06-30,2017-03-17,,Statsautoriseret revisor,,,20222670.0,25555678.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2016 for JNS Produkter ApS.,Ãrsrapport,,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Kirsten Ãstergaard,Michael NÃ¸rgaard SÃ¸rensen,Michael NÃ¸rgaard SÃ¸rensen,Nordea,"Advokataktieselskabet DAHL, Herning",JNS Produkter ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Arnborg,,2015-01-01,2015-12-31,66555.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Herning,2016-12-31,2016-01-01,true,2017-03-17,Herning,,,,urn:ofk:oid:23624208,indberetninger-20180424,2.5118406,25555678.0,,2018-03-28T02:20:22.425Z,2017-03-21T10:39:42.762Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-81-BZ,2017-03-21T10:39:42.939Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
