entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxReceivables,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Goodwill,IntangibleAssets,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,RevaluationReserve,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
25769635,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,88542.0,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",247823.0,25769635.0,1009624496.0,148729.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,21948.0,Albertslund,2014-01-01,2014-12-31,213415.0,286062.0,159281.0,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,72647.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2014-01-01,2014-12-31,c5,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,98400.0,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2014-01-01,2014-12-31,c7,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,148729.0,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2014-01-01,2014-12-31,c9,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,-33714.0,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2014-12-31,2014-12-31,c11,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,3153001.0,54488.0,125000.0,241040.0,2012268.0,367097.0,367097.0,1900000.0,3153001.0,826661.0,644864.0,644864.0,581386.0,581386.0,2911961.0,1900000.0,98400.0,314072.0,314072.0,513684.0,767934.0,507250.0,245275.0,56549.0,0.0,186552.0,186552.0,47732.0,140994.0,,
25769635,2015-01-01,2015-12-31,c0,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,88542.0,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",248645.0,25769635.0,1009624496.0,282219.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,22983.0,Albertslund,2014-01-01,2014-12-31,350387.0,419339.0,160103.0,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,68952.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14262172.0,VedbÃ¦k Revision
25769635,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,98400.0,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25769635,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzA0LzhmLzA1LzIyOTYtNGQ2MS1iMjc2LTEwNjQ2MzE2YmI1NQ.xhtml,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2RiLzU4LzgwLzJkL2E2MDYtNDdmNi1iNTQ1LTkwOWQyYmU2ZmYyMQ.pdf,http://regnskaber.virk.dk/53696752/ZG9rdW1lbnRsYWdlcjovLzAzL2Q5L2FmLzAyLzAzL2QwMzEtNGIzNS1iNjc2LWY4NTAwYWIzNTU1Mw.xml,true,Danmark,DK,VedbÃ¦k,2950.0,5B,Larsensvej,Albertslund,2620.0,4.0,Kanalgaden,2950 VedbÃ¦k,Larsensvej 5B,Til ledelsen i Ulrik Rune Holding ApS.,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2016-06-14,2016-06-14,,Registreret Revisor FSR,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er udlejning af fast ejendom, samt som holdingselskab at eje anparter.</p>",,25769635.0,1009624496.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Lillian Hauermann Lindgreen,Ulrik Pejter Rune,Ulrik Pejter Rune,ULRIK RUNE HOLDING ApS,VedbÃ¦k Revsion,,Albertslund,2014-01-01,2014-12-31,282219.0,,,2015-12-31,2015-01-01,false,false,73.0,2016-06-14,VedbÃ¦k,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:22706729,indberetninger-20180424,2.595549,25769635,,2018-03-29T08:56:21.647Z,2016-06-16T07:49:07.915Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AZ-51-TQ,2016-06-16T07:49:08.121Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
