entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfReviewedFinancialStatement,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnManagementsResponsibilityAuditorsReportOnReviewOfFinancialStatements,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividend,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross
26350174,2011-10-01,2011-10-01,c416,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,14394.0,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2011-10-01,2012-09-30,c108,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,25000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2011-10-01,2012-09-30,c120,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,-13990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2011-10-01,2012-09-30,c3,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,11010.0,21202.0,1162870.0,1201684.0,48686.0,2027.0,0.0,65080.0,15585.0,17612.0,29354.0,4575.0,1019750.0,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2011-10-01,2012-09-30,c369,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2011-10-01,2012-09-30,c417,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,-13990.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2012-09-30,2012-09-30,c4,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,125404.0,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,,,,,,,,,,,,,,402539.0,46295.0,125000.0,304442.0,9495.0,98097.0,224825.0,402539.0,253135.0,224825.0,98097.0,140378.0,21527.0,98097.0,25000.0,24000.0,24000.0,404.0,253135.0,33322.0,4575.0,83182.0,2300.0,,
26350174,2012-09-30,2012-09-30,c418,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,404.0,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26350174,2012-10-01,2012-10-01,c157,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142692.0,240789.0
26350174,2012-10-01,2012-10-01,c195,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8vcGRmcy8yNjM1MDE3NDtBcFMyOTM5Mzg7MjAxMjEwMDE7MjAxMzA5MzA7UjtS.pdf,http://regnskaber.virk.dk/47105362/Y3ZyLmRrOi8veGJybHMvWC04MTAzMjcxMi0yMDE0MDIyNl8wOTA0MDRfMzM4.xml,Viborg,8800.0,st.,"St. Sct. Mikkelsgade 33,","8800, Viborg","Agerlandsvej, 1",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2012/13 for opfyldt.,2014-02-19,2014-02-19,2001-12-03,2014-02-25,14195.0,404.0,26350174.0,32093272.0,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013 for Free Style ApS.,Vi har efter aftale udfÃ¸rt review af Ã¥rsregnskabet for Free Style ApS for regnskabsÃ¥ret 1. oktober 2012 - 30. september 2013.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dennis Helstrup Jensen,Dennis Helstrup Jensen,Free Style ApS,"Ullits & Winther, Statsautoriseret Revisionspartnerselskab",Viborg,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Viborg Kommune,2013-09-30,2012-10-01,2014-02-19,Viborg,Selskabets ledelse har ansvaret for Ã¥rsregnskabet. Vores ansvar er pÃ¥ grundlag af vores review at udtrykke en konklusion om Ã¥rsregnskabet.,Den uafhÃ¦ngige revisors erklÃ¦ringer (review),urn:ofk:oid:13213701,indberetninger-20180424,2.5117297,26350174.0,,2018-03-31T21:32:58.974Z,2014-02-26T23:00:00.000Z,regnskab,0.0,,2013-09-30,2012-10-01,13-367.078,2014-02-26T23:00:00.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
