entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,DividendPaid
26636086,2015-01-01,2015-12-31,c2,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",11821.0,-11821.0,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,7837.0,52283.0,KÃ¸benhavn,2015-01-01,2015-12-31,25062.0,32625.0,-11821.0,2016-12-31,2016-01-01,false,false,7563.0,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,,,,,,,,,,,,,
26636086,2015-01-01,2015-12-31,c4,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,200000.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,,,,,,,,,,,,,
26636086,2015-01-01,2015-12-31,c6,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,-174938.0,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,,,,,,,,,,,,,
26636086,2015-12-31,2015-12-31,c8,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,1734545.0,88826.0,125000.0,1734545.0,1711803.0,1734545.0,22742.0,1645719.0,21346.0,0.0,200000.0,1386803.0,1645719.0,22742.0,0.0,1396.0,
26636086,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,1386803.0,,,,,,,,,,,,
26636086,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,200000.0,,,,,,,,,,,,
26636086,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,1711803.0,,,,,,,,,,,,
26636086,2016-01-01,2016-01-01,c9,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,125000.0,,,,,,,,,,,,
26636086,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",-771.0,771.0,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,9.0,59806.0,KÃ¸benhavn,2015-01-01,2015-12-31,47237.0,60568.0,771.0,2016-12-31,2016-01-01,false,false,13331.0,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,,,,,,,,,,,,,200000.0
26636086,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzL2Q1L2IxL2QxLzRkLzI3NTktNGU0OS1hOWI5LTA0YjJmODdlMDE4ZQ.xhtml,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzkwLzBlLzY0LzljLzEzMTYtNDZlOC1hNTViLWUzZWI3ZTIxOTYwMg.pdf,http://regnskaber.virk.dk/68063662/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzMxLzJjL2I2L2M2ZWItNDEzZi1hMmNmLWM4ZjA5NGE3ZmVjNQ.xml,true,KÃ¸benhavn S,2300.0,"24, 5 th",Islands Brygge,8210 aarhus V,Julivej 5,Regnskabsklasse B,2017-03-22,2017-03-27,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er investering i vÃ¦rdipapirer mm.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,26636086.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Klaus KjÃ¦rgaard,Steen Hegner,SAFETY FIRST HOLDING ApS,Klaus KjÃ¦rgaard,,,KÃ¸benhavn,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:23644317,indberetninger-20180424,2.5949432999999997,26636086.0,,2018-03-28T03:41:36.087Z,2017-03-27T06:40:42.964Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AE-90-XR,2017-03-27T06:40:43.158Z,,,,,,,,,,,,,,,,,
