entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,OtherFinanceIncomeFromGroupEnterprises,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
26696801,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,105800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,183085.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2017-01-01,2017-12-31,ID_7,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,191006.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,-5270.0,186993.0,2557.0,12192.0,0.0,191358.0,-5270.0,352.0,,,,,,,,,,,,,,,,,,,,,,,
26696801,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,-97879.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,1372762.0,19985.0,125000.0,568665.0,1264362.0,1372762.0,108400.0,804097.0,804097.0,804097.0,70817.0,103400.0,2341.0,105800.0,725191.0,308371.0,70817.0,108400.0,0.0,477863.0,475522.0,5000.0,
26696801,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,145241.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,-6343.0,149752.0,23767.0,9599.0,16000.0,145241.0,-6343.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
26696801,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,128061.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,-90820.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26696801,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzLzk4L2RkLzY5LzNlL2Y4MTctNDhjOC1iN2ZhLTQ3NzJjNTJkODg5ZQ.pdf,http://regnskaber.virk.dk/10869662/ZG9rdW1lbnRsYWdlcjovLzAzL2U2L2ZhLzIyLzIwLzIwMWQtNDliOS1iYmVjLTdkM2MxYmRiMWY0Yw.xml,true,"Klippinge, 4672",RÃ¥mosevej 11 A,Til kapitalejerne i HC Holding ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31-12-2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-01-2018 - 31-12-2018.",2019-06-07,2019-06-07,2002-08-16,2019-06-07,15735376.0,26696801.0,15735376.0,mne10769,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-01-2018 - 31-12-2018 for HC Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Bent Pedersen,Henning Clausen,"bp-revision, registrerede revisorer",HC Holding ApS,"bp-revision, registrerede revisorer, godkendt revisionsfirma",Greve,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Greve, 253",2018-12-31,2018-01-01,true,2019-06-07,Klippinge,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:27488203,indberetninger-20180424,2.5097454,26696801.0,AWtPro5jGQc-fA3G3H1h,2019-06-13T07:13:24.241Z,2019-06-13T07:12:47.609Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-63-DF,2019-06-13T07:12:47.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
