entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
26821460,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,2017-05-31,2017-06-19,0.0,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",525571.0,487384.0,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,3785.0,16.0,BrÃ¸nden,2015-01-01,2015-12-31,-34856.0,-41956.0,-38187.0,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,-7100.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26821460,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26821460,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,-34856.0,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26821460,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,267668.0,2159.0,125000.0,267668.0,37000.0,0.0,112536.0,0.0,96534.0,267668.0,155132.0,96534.0,0.0,124269.0,0.0,0.0,0.0,0.0,-12464.0,1086.0,155132.0,168975.0,9503.0,0.0,2000.0,29777.0,120472.0,,,
26821460,2016-01-01,2016-01-01,c10,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
26821460,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,-12464.0,,,,,,,,,,,,,,,,,,,,,,,
26821460,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
26821460,2016-01-01,2016-01-01,c13,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,112536.0,,,,,,,,,,,,,,,,,,,,,,,
26821460,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,2017-05-31,2017-06-19,0.0,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",556245.0,719423.0,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,2729.0,11.0,BrÃ¸nden,2015-01-01,2015-12-31,124568.0,160460.0,163178.0,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,35892.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,
26821460,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzZmLzZmLzQ2LzhhL2YyZmQtNGI4Mi1hNmFmLThiZWRlOWFmM2EwYw.xhtml,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzLzkyL2EyLzc0LzFhL2RiMDQtNDRlZS04NjFkLTU5Zjk0MzUwM2Y5OA.pdf,http://regnskaber.virk.dk/06412862/ZG9rdW1lbnRsYWdlcjovLzAzL2VmLzM0Lzk0LzlhL2Q1ZjAtNDkwNC1iY2M1LWIxYTJiOGZlOGI0OQ.xml,true,Danmark,DK,ÃstervrÃ¥,9750.0,433.0,HjÃ¸rringvej,Danmark,DK,SÃ¦by,9300.0,21.0,Vestergade,Dybvad,9352.0,172.0,SkÃ¦vevej,9750 ÃstervrÃ¥,"HjÃ¸rringvej, 433",Til den daglige ledelse i N. S. El-teknik ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,,Regnskabsklasse B,2017-05-31,2017-06-19,,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen oplyste eventualforpligtelser</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ikke stillet nogle former for sikkerheder.</p>",,,26821460.0,1004848621.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Jess HÃ¦strup,Niels E. SÃ¸gaard,Niels Erik SÃ¸gaard,Nordjyske Bank,N.S. - EL TEKNIK ApS,ReviÃst,,,BrÃ¸nden,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,true,false,2017-05-31,ÃstervrÃ¥,Ledelsen anser fortsat betingelserne for at undlade revision for opfyldte.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24239332,indberetninger-20180424,2.5927916,26821460.0,,2018-03-29T13:53:06.612Z,2017-06-19T12:28:09.690Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-94-ZC,2017-06-19T12:28:09.953Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21164577.0,REVIÃST REGISTRERET REVISIONSANPARTSSELSKAB
