entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,EmailOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Equity,ProfitLoss,AverageNumberOfEmployees,GrossResult,InterestExpenseAssignedToGroupEnterprises,OtherExternalExpenses,OtherFinanceExpenses,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermTradePayables,NoncurrentAssets,OtherShorttermPayables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermTaxPayables,OpinionOnAuditedFinancialStatements
26912512,2016-07-01,2016-07-01,c176,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,5790000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26912512,2016-07-01,2016-07-01,c741,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,4039922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26912512,2016-07-01,2017-06-30,c123,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,,-100524.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26912512,2016-07-01,2017-06-30,c3,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,,-100524.0,1.0,-10180.0,39017.0,10180.0,90344.0,51327.0,-100524.0,-10180.0,,,,,,,,,,,,,,,,,,
26912512,2016-07-01,2017-06-30,c742,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,,-100524.0,,,,,,,,,,,,,,,,,,,,,,,,,,
26912512,2017-06-30,2017-06-30,c180,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,5790000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,,,,,,,,,,,5790000.0,,,,,,,,,,,,,,,,,
26912512,2017-06-30,2017-06-30,c4,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,4064398.0,,,,,,,,,,5790000.0,5857458.0,67458.0,125000.0,67458.0,5857458.0,1793060.0,5790000.0,0.0,0.0,5790000.0,95739.0,3939398.0,404862.0,1793060.0,1063958.0,228501.0,
26912512,2017-06-30,2017-06-30,c743,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,3939398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
26912512,2017-07-01,2017-07-01,c175,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,5790000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26912512,2017-07-01,2017-07-01,c199,,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzL2I5L2QwL2NhLzE3L2IyOGUtNDdkZi1hZDdhLTQzZDdlMWYzM2RkNA.pdf,http://regnskaber.virk.dk/21521962/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzg0LzM1L2NlLzNhMjEtNDRlMy1iZTcyLTFmNDc4ZDljNTk1NA.xml,Danmark,Struer,7600.0,2.0,Torvegade,Brabrand,8220.0,10.0,Lyngbakkevej,"7600, Struer","Torvegade, 2",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2017 - 30. juni 2018.",2018-12-20,2018-12-20,2002-11-01,2018-12-20,statsautoriseret revisor,mail@kroyerpedersen.dk,89224918.0,26912512.0,89224918.0,mne26812,Direktionen har dags dato aflagt Ã¥rsrapporten for 2017/18 for STAEHR.NET ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Bent N. RÃ¸nnest,Hans Ulrik StÃ¦hr,Hans Ulrik StÃ¦hr,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",STAEHR.NET ApS,"KRÃYER PEDERSEN, Statsautoriserede Revisorer I/S",Brabrand,2016-07-01,2017-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Ãrhus,A/S,MarketScape A/S,Ãrhus,2018-06-30,2017-07-01,100.0,2018-12-20,Struer,9684 2000,direktÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:26501140,indberetninger-20180424,2.5124211,26912512.0,AWfRHLRKet7j816Dxhfc,2018-12-21T14:13:01.117Z,2018-12-21T14:12:57.904Z,regnskab,0.0,,2018-06-30,2017-07-01,X18-ER-52-AC,2018-12-21T14:12:58.069Z,3939398.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
