entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AdditionsToInvestments,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,DisposalsOfInvestments,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,ReversalsOfInvestmentsOfPriorYearsRevaluations,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,AccumulatedRevaluationsOfInvestments,InvestmentsGross
26922291,2016-01-01,2016-01-01,c704,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,125000.0,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,,,,,,,,,,,,,,,,,
26922291,2016-01-01,2016-01-01,c725,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,554252.0,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,,,,,,,,,,,,,,,,,
26922291,2016-01-01,2016-12-31,c120,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,12686.0,,,,,,,,,,,,,,,,,,,,,,,
26922291,2016-01-01,2016-12-31,c3,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,12686.0,-15289.0,62.0,31623.0,16272.0,-15289.0,3586.0,,,,,,,,,,,,,,,,,
26922291,2016-01-01,2016-12-31,c726,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,12686.0,,,,,,,,,,,,,,,,,,,,,,,
26922291,2016-12-31,2016-12-31,c4,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,691938.0,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,695533.0,22296.0,125000.0,25486.0,695533.0,3595.0,670047.0,670047.0,670047.0,1720.0,566938.0,3595.0,3190.0,3190.0,1875.0,,
26922291,2016-12-31,2016-12-31,c706,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,125000.0,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,,,,,,,,,,,,,,,,,
26922291,2016-12-31,2016-12-31,c727,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,566938.0,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,,,,,,,,,,,,,,,,,
26922291,2017-01-01,2017-01-01,c133,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,,,,,,,,,,,,,,,,78972.0,591075.0
26922291,2017-01-01,2017-01-01,c177,,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YyLzYyLzQ2L2VhLzEwOTAtNGM1YS1iY2M0LTEwOTdiOTY0MmFjYw.pdf,http://regnskaber.virk.dk/19222962/ZG9rdW1lbnRsYWdlcjovLzAzL2YwLzdjL2I4LzdjLzc3MGMtNDk0Ni1iMTgyLWEyNDc5ZmY2ODM2Yg.xml,151020.0,Danmark,Hadsten,8370.0,34.0,SÃ¸ndergade,Ulstrup,8860.0,5.0,Fasanvej,"8370, Hadsten","SÃ¸ndergade, 34",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2017 for opfyldt.,2018-03-22,2018-03-22,2002-12-19,2018-04-18,statsautoriseret revisor,Andre eksterne omkostninger omfatter omkostninger til administration.,137062.0,hadsten@kvistjensen.dk,125000.0,36717785.0,26922291.0,36717785.0,mne34327,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2017 for KN INVEST ULSTRUP  ApS.,Ãrsrapport,Ruben StÃ¦hr,Kjeld Nielsen,Kjeld Nielsen,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",KN INVEST ULSTRUP  ApS,"Kvist & Jensen, Statsautoriseret Revisionspartnerselskab",Ulstrup,2016-01-01,2016-12-31,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Favrskov,2017-12-31,2017-01-01,4482.0,2018-03-22,Hadsten,86 98 34 33,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25399843,indberetninger-20180424,2.5097342,26922291.0,AWMk5Xuix8uVRSOdgNDy,2018-05-03T07:27:37.820Z,2018-05-03T07:26:46.429Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AK-53-CP,2018-05-03T07:26:47.291Z,,,,,,,,,,,,,,,,,,,,,,,,
