entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,CurrentDeferredTaxAssets,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfScopeAndNatureOfDerivativeFinancialInstruments,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Provisions,ProvisionsForDeferredTax,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermDebtToBanks,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,LongtermPrepaymentsReceivedFromCustomers,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RestOfOtherReserves,RetainedEarnings,RevaluationReserve,ShorttermDeferredIncome,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermReceivables,AdjustmentsOfHedgingInstruments,ChangesInEquityOfTax,OtherAdjustmentsOfEquity,ReversedRevaluationsDuringReportingPeriod,NameAndSurnameOfMemberOfExecutiveBoard
27071449,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,175088.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",297039.0,1260065.0,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,612050.0,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,356797.0,472927.0,1084977.0,192522.0,192522.0,2017-12-31,2017-01-01,1557104.0,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,116130.0,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27071449,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,356797.0,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27071449,2016-12-31,2016-12-31,c7,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,18198519.0,393449.0,125000.0,450567.0,49642.0,1449892.0,17747952.0,18198519.0,16556105.0,10534058.0,10252956.0,281102.0,17747952.0,115844.0,7476.0,17747952.0,-5246111.0,3721003.0,2850000.0,5356203.0,6022047.0,550000.0,57118.0,,,,,
27071449,2017-01-01,2017-01-01,c10,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,-5246111.0,,,,,,,,,,,,,,,,,,,,,,
27071449,2017-01-01,2017-01-01,c11,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,3721003.0,,,,,,,,,,,,,,,,,,,,,,
27071449,2017-01-01,2017-01-01,c12,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,1449892.0,,,,,,,,,,,,,,,,,,,,,,
27071449,2017-01-01,2017-01-01,c8,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,
27071449,2017-01-01,2017-01-01,c9,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,2850000.0,,,,,,,,,,,,,,,,,,,,,,
27071449,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,175488.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",415811.0,448555.0,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,611984.0,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,-220177.0,-274722.0,273067.0,192522.0,192522.0,2017-12-31,2017-01-01,864366.0,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,-54545.0,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,,,,,,,,,,,,,,,,,,,467929.0,102944.0,-39387.0,1425000.0,
27071449,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzM1Lzg4LzJhLzFkLzQwZTYtNDBiOS05NWZmLTc2MTZlNTYyOTAzYg.xhtml,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzQ1L2UzLzFiLzFlL2Y0MDUtNDQ2ZS04NDFkLTAwOGUxM2JmY2QwYQ.pdf,http://regnskaber.virk.dk/94417072/ZG9rdW1lbnRsYWdlcjovLzAzLzVkLzkxLzMyLzhlLzVkMmUtNDM5Yi05ODEzLTAzNTg3ZWJjZDk4OA.xml,true,NykÃ¸bing F,4800.0,11.0,Slotsgade,4800.0,Folemarken 57,Regnskabsklasse B,194692.0,2018-05-25,2018-05-25,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Renteswaps er indgÃ¥et i 2008 og lÃ¸ber til 2036.Der betales fast rente pÃ¥ 4,98 % henhoildsvis 4,99 %mod den variable rente pÃ¥ kreditforeningslÃ¥n. Forpligtelsen opgÃ¸res til markedsvÃ¦rdi.</p>",,,27071449.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Peter MÃ¼ller,"SLOTSGADE 11, NYKÃBING F. ApS",Peter MÃ¼ller,,64195.0,NykÃ¸bing F.,2016-01-01,2016-12-31,,,,192522.0,192522.0,2017-12-31,2017-01-01,,false,false,173656.0,Direktionen anser betingelserne for fravalg af revision for opfyldt og har besluttet at Ã¥rsrapporten for 2018 ikke skal revideres.,,false,false,Ingen bistand,urn:ofk:oid:25558791,indberetninger-20180424,2.5949414,27071449.0,AWOlzRox0wkEsASktEUz,2018-05-28T08:11:24.977Z,2018-05-28T08:11:10.578Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AE-58-BH,2018-05-28T08:11:10.870Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peter MÃ¼ller
