entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,EmployeeBenefitsExpense,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
27256120,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,80496.0,registreret revisor,142200.0,847351.0,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,223272.0,142200.0,2015-01-01,2015-12-31,649807.0,847927.0,624655.0,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,101200.0,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,548607.0,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,3569151.0,2850005.0,125000.0,3188446.0,3402392.0,380705.0,3569151.0,127862.0,380705.0,114207.0,380705.0,101200.0,38897.0,38897.0,3176192.0,127862.0,338441.0,1080.0,13655.0,337361.0,,
27256120,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,79955.0,registreret revisor,111288.0,744163.0,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,666.0,142200.0,2015-01-01,2015-12-31,431054.0,552836.0,552920.0,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,29628777.0,FUNDER & OSTENFELD REVISION GODKENDT REVISIONSANPARTSSELSKAB
27256120,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,103400.0,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,327654.0,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,,,,,,,,,,,,,,,,,,,,,,
27256120,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzRkL2M4L2M0L2JhOWYtNDQ0ZS05M2UzLTQwOWI4Mzc5ZDdiYg.xhtml,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhLzg0L2M5LzE4LzNjMDEtNDU0ZC05ZWNjLTBlNTczYWZjMWZjYw.pdf,http://regnskaber.virk.dk/02165272/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2JjLzRkL2U0L2NhZjQtNDc5Zi05ZWUwLTY1NjE4OWM5YjhjZQ.xml,true,Danmark,DK,NÃ¦stved,4700.0,2.0,Norgesvej,RÃ¸nnede,4683.0,9.0,Hemmestrupvej,4700 NÃ¦stved,Norgesvej 2,Til den daglige ledelse i Rebro ApS,Revisors erklÃ¦ring om opstilling af Ã¥rsrapport,Regnskabsklasse B,2017-02-27,,registreret revisor,,,27256120.0,1012377017.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Stig Henriksen,Niels Bjerg,Niels Bjerg,REBRO ApS,Jes Petersen,750.0,,142200.0,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,2017-02-20,NÃ¦stved,121782.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:23560530,indberetninger-20180424,2.5927862999999998,27256120.0,,2018-03-27T21:14:40.991Z,2017-03-06T15:12:53.949Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AD-87-YJ,2017-03-06T15:12:54.361Z,3875523.0,3252486.0,125000.0,3574773.0,3732246.0,300750.0,3875523.0,110764.0,300750.0,102764.0,300750.0,103400.0,32513.0,32513.0,3503846.0,110764.0,322287.0,13379.0,8000.0,308908.0,,
