entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,DisclosureOfRevenue,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,ManufacturedGoodsAndGoodsForResale,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard
27768563,2015-07-01,2016-06-30,c5,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,0.0,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",0.0,-7750.0,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,0.0,0.0,NÃ¦stved,2015-07-01,2016-06-30,-7750.0,-7750.0,-7750.0,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,0.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2015-07-01,2016-06-30,c7,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,-7750.0,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2016-06-30,2016-06-30,c9,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,9422.0,4721.0,125000.0,9422.0,9422.0,0.0,0.0,9422.0,0.0,0.0,0.0,0.0,4701.0,0.0,0.0,0.0,-115578.0,0.0,4701.0,,,
27768563,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,0.0,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",0.0,-845.0,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,0.0,0.0,NÃ¦stved,2015-07-01,2016-06-30,-845.0,-845.0,-845.0,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,0.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,12322143.0,PLAN REVISION V/PER PETERSEN,
27768563,2016-07-01,2017-06-30,c2,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,Loraine Nene Morning
27768563,2016-07-01,2017-06-30,c4,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,Christian Morning
27768563,2016-07-01,2017-06-30,c6,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,-845.0,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,,,,,,,,,,,,,,,,,,,,,,
27768563,2017-06-30,2017-06-30,c8,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzhjLzhkLzkwLzEwLzIzNWQtNDYxOS05ODc0LTkxNGMwNTZhMTYzMg.xhtml,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzhmLzg3LzMxLzFiMzktNDk3Ni1hZjhhLWMzZmVlNmM4NmNlMw.pdf,http://regnskaber.virk.dk/36586772/ZG9rdW1lbnRsYWdlcjovLzAzL2E5LzQyL2ViLzVhL2I3ZGEtNDBhOS05MGQ4LWYyNWFkMzZmMGUzMA.xml,true,Danmark,DK,NÃ¦stved,4700.0,14.0,KÃ¸bmagergade,NÃ¦stved,4700.0,15.0,Marinebuen,4700 NÃ¦stved,KÃ¸bmagergade 14,Til den daglige ledelse i Nord Clean ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-11-24,2017-11-27,,Registreret revisor FSR â danske revisorer,"<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen evetualposter.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabet har ingen pantsÃ¦tninger og sikkerhedsstillelser.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Af konkurrencemÃ¦ssige hensyn er omsÃ¦tningen m.v. ikke oplyst, jf. Ãrsregnskabslovens Â§ 32.</p>",,,27768563.0,1004583596.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Per F. Petersen,Nene Lieberkind Morning,Loraine Nene Morning,NORD CLEAN ApS,Plan Revision,,,NÃ¦stved,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,true,false,2017-11-24,NÃ¦stved,Direktionen erklÃ¦rer at betingelserne for at kunne fravÃ¦lge revision fortsat er opfyldt.,,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24760380,indberetninger-20180424,2.59278,27768563.0,,2018-03-27T21:51:20.710Z,2017-11-30T08:26:17.198Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-68-VG,2017-11-30T08:26:17.499Z,8577.0,3876.0,125000.0,8577.0,8577.0,0.0,0.0,8577.0,0.0,0.0,0.0,0.0,4701.0,0.0,0.0,0.0,-116423.0,0.0,4701.0,,,
