entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossResult,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingIncome,ProfitLoss,ProfitLossFromDiscontinuedOperations,ProfitLossFromOrdinaryActivitiesAfterTax,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentDeferredTaxAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermPayablesToGroupEnterprises,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
28691947,2016-01-01,2016-12-31,ID_16,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,1.0,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2016-01-01,2016-12-31,ID_17,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,1928000.0,-3333000.0,386221000.0,3333000.0,133860000.0,154840000.0,0.0,373171000.0,13571000.0,359600000.0,401940000.0,-5261000.0,42340000.0,,,,,,,,,,,,,,,,,,,
28691947,2016-12-31,2016-12-31,ID_14,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,9560344000.0,12765228000.0,3703421000.0,13000.0,8998471000.0,9560344000.0,561873000.0,5240134000.0,385165000.0,137000.0,432000.0,-3766757000.0,544578000.0,3702976000.0,16351000.0,807000.0,,,
28691947,2017-01-01,2017-12-31,ID_0,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,240000.0,1429000.0,0.0,3734000.0,83850000.0,157301000.0,5163000.0,-59837000.0,-81955000.0,22118000.0,74640000.0,1189000.0,52522000.0,,,,,,,,,,,,,,,,,,,
28691947,2017-01-01,2017-12-31,ID_1,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Olaf Tronsgaard,Board Member,
28691947,2017-01-01,2017-12-31,ID_11,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Margrethe Melbye,Board Member,
28691947,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fredrik Bertil Ãberg,Board Member,
28691947,2017-01-01,2017-12-31,ID_15,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,1.0,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28691947,2017-01-01,2017-12-31,ID_2,,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzVjL2EwLzljL2E2LzBjMzAtNDI0MC1iYjM2LWVkMDEwNGQxMGU1ZA.pdf,http://regnskaber.virk.dk/74919682/ZG9rdW1lbnRsYWdlcjovLzAzLzU0L2ZkL2RhLzcyLzc0NmYtNDIzZC1iYjFhLTZjOWUxOWFjMjhmYw.xml,false,"Herlev, 2730",Herlev Hovedgade 195,To the shareholders of  DNB Invest Denmark A/S,,"Regnskabsklasse C, mellemstor virksomhed",The annual report has been prepared in accordance with the Danish Financial Statements Act.,It is our opinion that the financial statements give a true and fair view of the Company's financial position at 31 December 2017 and of the results of the Company's operations for the financial year 1 January - 31 December 2017.,2018-04-24,2018-04-24,2005-04-27,2018-04-24,30700228.0,28691947.0,30700228.0,mne10778,The Board of Directors and Executive Board have today discussed and approved the annual report of DNB Invest Denmark A/S for the financial year 1 January - 31 December 2017.,Ãrsrapport,"Further, in our opinion, the Management's review gives a fair view of the development in the Company's operations and financial matters and the results of the Company's operations and financial position.",Henrik Barner Christiansen,Peter Bisgaard Svanberg,ERNST & YOUNG,DNB Invest Denmark A/S,Accountor Denmark A/S,Copenhagen,2016-01-01,2016-12-31,We recommend that the annual report be adopted at the annual general meeting.,"0, Copenhagen",2017-12-31,2017-01-01,false,2018-04-24,Copenhagen,RevisionspÃ¥tegning,urn:ofk:oid:25459196,indberetninger-20180424,2.5118535,28691947.0,AWNjWQm8x8uVRSOdgg6R,2018-05-15T10:30:14.504Z,2018-05-15T10:29:29.087Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AL-42-NK,2018-05-15T10:29:29.329Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
