entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,ExchangeRateLoss,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameAndSurnameOfMemberOfSupervisoryBoard
28839154,2015-06-01,2015-06-01,c696,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,500000.0,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28839154,2015-06-01,2015-06-01,c717,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,-6384952.0,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28839154,2015-06-01,2016-05-31,c54,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,2599.0,6398.0,3220.0,224664.0,162507.0,-61536.0,-61536.0,621.0,0.0,,,,,,,,,,,,,,,,,,,,,,
28839154,2015-06-01,2016-05-31,c69,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,-61536.0,,,,,,,,,,,,,,,,,,,,,,,,,
28839154,2016-05-31,2016-05-31,c72,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,-5946488.0,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,1846628.0,1785017.0,500000.0,1841431.0,5197.0,1846628.0,7793116.0,7659736.0,7659736.0,5197.0,60991.0,6792.0,5197.0,-6446488.0,133380.0,48567.0,56414.0,23822.0,49622.0,,,
28839154,2016-06-01,2016-06-01,c208,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2599.0,7796.0,
28839154,2016-06-01,2017-05-31,c1,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,2599.0,114023.0,-176446.0,162793.0,0.0,-341838.0,-341838.0,-179045.0,0.0,,,,,,,,,,,,,,,,,,,,,,
28839154,2016-06-01,2017-05-31,c101,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28839154,2016-06-01,2017-05-31,c1968,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28839154,2016-06-01,2017-05-31,c209,,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyL2M0L2U3L2MxLzczODctNGQyYi04ZjE0LWYxZmUwNDZkYmYzMw.pdf,http://regnskaber.virk.dk/45193882/ZG9rdW1lbnRsYWdlcjovLzAzL2MyLzFkLzlhL2M2LzU1OWMtNDIxNy1iMmRkLTk5YmM1YjBhYTljMQ.xml,Danmark,SÃ¸borg,2860.0,9.0,Knud HÃ¸jgaards Vej,KÃ¸benhavn Ã,2100.0,21.0,Sundkrogsgade,9200 Aalborg SV,Voergaardvej 2,Til den daglige ledelse i Resources Global Professionals (Denmark) A/S,Regnskabsklasse B,2017-10-25,2017-10-25,-2598.0,Statsaut. revisor,,32895468.0,28839154.0,Ãrsrapport,Henrik Knudsen,Kate Duchene,Kristofer Fredriksson,Beierholm,Resources Global Professionals (Denmark) A/S,Beierholm,KÃ¸benhavn Ã,2015-06-01,2016-05-31,KÃ¸benhavn,2017-05-31,2016-06-01,2017-10-25,SÃ¸borg,Formand / Chairman,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24647860,indberetninger-20180424,2.5118406,28839154.0,,2018-03-27T14:50:41.271Z,2017-10-31T14:48:47.892Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-96-ZV,2017-10-31T14:48:48.005Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
