entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,ProvisionsForInvestmentsInGroupEnterprises,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTradePayables,DividendPaid
29146160,2016-06-01,2017-05-31,c3,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,26582.0,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",47225.0,18619407.0,29146160.0,mne5318,314905.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,8299.0,308.0,Daugaard,2016-06-01,2017-05-31,324804.0,327597.0,20643.0,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,2793.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2016-06-01,2017-05-31,c5,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,270909.0,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2016-06-01,2017-05-31,c7,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,53895.0,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29146160,2017-05-31,2017-05-31,c9,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,2088071.0,295177.0,125000.0,615596.0,1570257.0,1076566.0,2088071.0,472632.0,395909.0,395909.0,415654.0,415654.0,1472475.0,0.0,10299.0,1076566.0,45182.0,45182.0,0.0,270909.0,1174348.0,56978.0,42178.0,0.0,320419.0,310120.0,14800.0,
29146160,2017-06-01,2017-06-01,c10,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2017-06-01,2017-06-01,c11,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,270909.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2017-06-01,2017-06-01,c12,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,1174348.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2017-06-01,2017-06-01,c13,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2017-06-01,2017-06-01,c14,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",,18619407.0,29146160.0,mne5318,,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,,,Daugaard,2016-06-01,2017-05-31,,,,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,1570257.0,,,,,,,,,,,,,,,,,,,,,,,
29146160,2017-06-01,2018-05-31,c0,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzc5LzUzL2MyL2U4LzkzNWUtNGU5Ni04MDAyLTE4MWJlODRjYjY1NQ.xhtml,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzLzczL2EzL2Y5LzkzLzFmOTMtNDkyZC1iMDVhLTE3N2MxM2M0YmJiYQ.pdf,http://regnskaber.virk.dk/06164192/ZG9rdW1lbnRsYWdlcjovLzAzL2NiL2VkLzA3LzBkL2ZmZTQtNDc4NC05YTJiLWFjODM4YzRjMGFmZg.xml,true,DaugÃ¥rd,8721.0,77.0,Tranevej,8721 DaugÃ¥rd,Tranevej 77,Til den daglige ledelse i Robani Holding ApS.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2018-11-07,2018-11-07,26582.0,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har DLR Kredit A/S pantesikkerhed i selskabets faste ejendom beliggende Mosetoften 1, Hedensted.</p>",47830.0,18619407.0,29146160.0,mne5318,-183267.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,Robert Tindgaard Knudsen,Robert Tindgaard Knudsen,Revisionsfirmaet JÃ¸rgen Gilling,ROBANI HOLDING ApS,Robani Holding ApS,6780.0,196.0,Daugaard,2016-06-01,2017-05-31,-171838.0,-168603.0,21248.0,2018-05-31,2017-06-01,true,false,2018-11-07,Vejle,3235.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26291284,indberetninger-20180424,2.592641,29146160.0,AWcHW_p25OzuYdPkGKDO,2018-11-12T09:59:03.142Z,2018-11-12T09:58:43.613Z,regnskab,0.0,,2018-05-31,2017-06-01,X18-DJ-83-KL,2018-11-12T09:58:43.929Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
