entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,OtherInterestIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises
29321566,2013-01-01,2013-12-31,c1,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,-16765.0,-5000.0,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,5000.0,5935.0,KÃ¸benhavn,-16765.0,-16765.0,-21765.0,KÃ¸benhavn,2014-12-31,2014-01-01,0.0,Ingen bistand,-16765.0,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,,,,,,,,
29321566,2013-01-01,2013-12-31,c30,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,-16765.0,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,,,,,,,,
29321566,2013-12-31,2013-12-31,c4,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,118574.0,125000.0,118574.0,47.0,110088.0,118574.0,8486.0,8486.0,-14912.0,8486.0,118574.0,118527.0
29321566,2014-01-01,2014-01-01,c137,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,125000.0,,,,,,,
29321566,2014-01-01,2014-01-01,c158,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,-14912.0,,,,,,,
29321566,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,-8698.0,-5000.0,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,5000.0,5000.0,KÃ¸benhavn,-8698.0,-8698.0,-13698.0,KÃ¸benhavn,2014-12-31,2014-01-01,0.0,Ingen bistand,-8698.0,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,,,,,,,,
29321566,2014-01-01,2014-12-31,c199,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,,,,,,,,
29321566,2014-01-01,2014-12-31,c29,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,-8698.0,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,,,,,,,,
29321566,2014-12-31,2014-12-31,c139,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,125000.0,,,,,,,
29321566,2014-12-31,2014-12-31,c160,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8vcGRmcy8yOTMyMTU2NjtBcFMzNjY4Mjc7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/66512392/Y3ZyLmRrOi8veGJybHMvWC0zOTU2NUVDOS0yMDE1MDQwN18xNTQ5MDFfMjQy.xml,DK-1550 KÃ¸benhavn V,c/o Kristensen Properties A/S,9000 Aalborg,Vesterbro 18,Regnskabsklasse B,2015-03-06,2006-01-10,2015-03-17,,,29321566.0,20438401.0,Ãrsrapport,Kent Hoeg SÃ¸rensen,Lars Torben Nielsen,Komplementarselskabet Essen Zentrum ApS,Kristensen Properties A/S,,,KÃ¸benhavn,,,,KÃ¸benhavn,2014-12-31,2014-01-01,,Ingen bistand,,urn:ofk:oid:17416971,indberetninger-20180424,2.5124266,29321566.0,,2018-03-30T08:10:14.338Z,2015-04-07T22:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-69.859,2015-04-07T22:00:00.000Z,,,,,-23610.0,,,,,,,
