entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,CostOfProduction,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfAdministrativeExpenses,DisclosureOfOtherFinanceExpenses,DisclosureOfOtherFinanceIncome,DisclosureOfOtherOperatingExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,OtherOperatingExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,OtherShorttermInvestments,RetainedEarnings,ShorttermInvestments,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
29850909,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,22474.0,Regnskabsklasse B,9386.0,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",19805.0,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,21677.0,16486.0,Hellerup,2015-01-01,2015-12-31,2074.0,2522.0,-19155.0,2016-12-31,2016-01-01,29191.0,false,false,448.0,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,,
29850909,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,,
29850909,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,2074.0,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,,
29850909,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,214408.0,157574.0,125000.0,214408.0,214408.0,214408.0,52859.0,89408.0,52859.0,3975.0,3975.0,,
29850909,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,13437.0,Regnskabsklasse B,12406.0,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",28549.0,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,2491.0,3322.0,Hellerup,2015-01-01,2015-12-31,9264.0,11877.0,11790.0,2016-12-31,2016-01-01,40955.0,false,false,2613.0,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,,
29850909,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,Zohar Gev,DirektÃ¸r
29850909,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,Louise Benedikte JÃ¸rring Gev,DirektÃ¸rsuppleant
29850909,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,,
29850909,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,9264.0,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,,,,,,,,,,,,,
29850909,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2QxLzRkLzRiLzU5L2NhMTItNDIzOS04ZTgwLWU2NjBlN2FiZTE0NQ.xhtml,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2QxLzJkL2Y1L2VlNzQtNDNmMC05MmQzLWU4NTNlMzU1ZDU2Ng.pdf,http://regnskaber.virk.dk/90905892/ZG9rdW1lbnRsYWdlcjovLzAzLzJkL2FhLzNhL2U2L2EzZjctNDVjMi05OGYyLWMxY2ViOGIyZGI5OA.xml,true,Denmark,DK,Hellerup,2900.0,159.0,Strandvejen,Hellerup,2900.0,18B,Ehlersvej,"2900, Hellerup",Ehlersvej 18b,,Regnskabsklasse B,,2017-05-30,2017-05-30,"<p xmlns=""http://www.w3.org/1999/xhtml"">StÃ¸rstedelen af omkostningerne relaterer til telefon, web hosting og husleje.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten udgÃ¸r kurstab pÃ¥ beholdningerne i ISS og Vestas Wind Systems i perioden.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Posten indeholder modtagne udbytter fra aktieposter i ISS og Vestas Wind Systems.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Omkostningerne relaterer til vedligeholdelse af vÃ¦rksted/maksinel.</p>",,29850909.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Louise Benedikte JÃ¸rring Gev,Nordea,Z-LINE ApS,Zohar Gev,2404.0,,,Hellerup,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,,false,false,,39628319.0,false,false,Ingen bistand,urn:ofk:oid:24004730,indberetninger-20180424,2.59279,29850909.0,,2018-03-28T14:18:49.194Z,2017-05-31T01:47:35.346Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AK-43-QW,2017-05-31T01:47:35.612Z,223672.0,171410.0,125000.0,223672.0,223672.0,223672.0,50455.0,98672.0,50455.0,1807.0,1807.0,,
