entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,DividendPaid,NameAndSurnameOfMemberOfExecutiveBoard
30537378,2015-10-01,2016-09-30,c3,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,12887.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",712.0,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,9.0,Silkeborg,2015-10-01,2016-09-30,-10884.0,-12184.0,-12175.0,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",-1300.0,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,,,,,,,,,,,,,
30537378,2015-10-01,2016-09-30,c5,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,-10884.0,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,,,,,,,,,,,,,
30537378,2016-09-30,2016-09-30,c7,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,139856.0,57371.0,50000.0,65757.0,5683.0,138131.0,74099.0,139856.0,1725.0,74099.0,1725.0,2703.0,74099.0,88131.0,1725.0,8386.0,,
30537378,2016-10-01,2016-10-01,c10,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,138131.0,,,,,,,,,,,,
30537378,2016-10-01,2016-10-01,c8,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,50000.0,,,,,,,,,,,,
30537378,2016-10-01,2016-10-01,c9,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,88131.0,,,,,,,,,,,,
30537378,2016-10-01,2017-09-30,c0,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,12887.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",41.0,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,213.0,Silkeborg,2015-10-01,2016-09-30,-13059.0,-13059.0,-12846.0,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",0.0,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,,,,,,,,,,,,0.0,
30537378,2016-10-01,2017-09-30,c1,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,,,,,,,,,,,,,SÃ¸ren Nielsen
30537378,2016-10-01,2017-09-30,c11,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,0.0,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,,,,,,,,,,,,0.0,
30537378,2016-10-01,2017-09-30,c12,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzQyL2U2LzQ3L2Y0LzJhZjQtNDUwMi1hZDE4LTdhZmQwMjM5YjEzZg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2UxL2E4LzdkLzUzNTItNGY1OS04YTUwLTBiNTZlYTQyNmMzMw.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzZiLzMwLzg0LzcwYzktNDk3MC05YTQ1LTNlNDZmOTAxZDlhMQ.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,Regnskabsklasse B,2017-11-09,2017-11-09,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke samt hermed beslÃ¦gtet virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders KÃ¸lby Veller Hansen,PLADESHOPPENS KAFFEBIL ApS,Martin Svejgaard,,Silkeborg,2015-10-01,2016-09-30,-13059.0,,,2017-09-30,2016-10-01,false,false,"Generalforsamlingen har besluttet, at Ã¥rsregnskabet for det kommende Ã¥r ikke skal revideres.",,false,false,Ingen bistand,urn:ofk:oid:24749142,indberetninger-20180424,2.5948226,30537378.0,,2018-03-27T20:47:10.405Z,2017-11-28T14:26:09.863Z,regnskab,0.0,,2017-09-30,2016-10-01,X17-BF-09-FT,2017-11-28T14:26:10.087Z,,,,,,,,,,,,,,,,,0.0,
