entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,DividendPaid,NameAndSurnameOfMemberOfExecutiveBoard
30537378,2017-10-01,2018-09-30,c3,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,12887.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",7781.0,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,280.0,Silkeborg,2017-10-01,2018-09-30,-5386.0,-5386.0,-5106.0,2019-09-30,2018-10-01,true,0.0,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,,,,,,,,,,,,,
30537378,2017-10-01,2018-09-30,c5,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,-5386.0,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,,,,,,,,,,,,,
30537378,2018-09-30,2018-09-30,c7,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,122499.0,71663.0,50000.0,74174.0,2511.0,119686.0,48325.0,122499.0,2813.0,48325.0,2813.0,0.0,48325.0,69686.0,2813.0,2511.0,,
30537378,2018-10-01,2018-10-01,c10,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,119686.0,,,,,,,,,,,,
30537378,2018-10-01,2018-10-01,c8,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,50000.0,,,,,,,,,,,,
30537378,2018-10-01,2018-10-01,c9,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,69686.0,,,,,,,,,,,,
30537378,2018-10-01,2019-09-30,c0,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,12887.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",2126.0,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,279.0,Silkeborg,2017-10-01,2018-09-30,-11040.0,-11040.0,-10761.0,2019-09-30,2018-10-01,true,0.0,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,,,,,,,,,,,,0.0,
30537378,2018-10-01,2019-09-30,c1,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,,,,,,,,,,,,,SÃ¸ren Nielsen
30537378,2018-10-01,2019-09-30,c11,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,0.0,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,,,,,,,,,,,,0.0,
30537378,2018-10-01,2019-09-30,c12,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzliLzM0LzQ3LzRhLzYwMzMtNDFlMi05OTZkLTJjOWZhMGJmZTAyYg.xhtml,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzL2I0LzcyL2EwL2UyL2NhMmUtNDUxYS1iNjk0LWM3MGM3ZTg1ZmQ5Ng.pdf,http://regnskaber.virk.dk/87373503/ZG9rdW1lbnRsYWdlcjovLzAzLzY5LzQzLzcxL2EyLzJiNGEtNGMyNy04ZjM5LWE5OTNlMDYxM2IwMg.xml,true,Silkeborg,8600.0,16.0,Vestergade,6818 Ãrre,Lindegade 9,0.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-10-24,2019-10-24,,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets hovedaktivitet er salg af varme og kolde drikke.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,30537378.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,Anders KÃ¸lby Veller Hansen,Pladeshoppens Kaffebil ApS,Martin Svejgaard,,Silkeborg,2017-10-01,2018-09-30,-11040.0,,,2019-09-30,2018-10-01,true,,false,false,Ingen bistand,urn:ofk:oid:27972840,indberetninger-20180424,2.5947785,30537378.0,AW4ik4aeIXJRhhXBPGj-,2019-10-31T16:09:18.329Z,2019-10-31T16:08:43.209Z,regnskab,0.0,,2019-09-30,2018-10-01,X19-DD-74-UJ,2019-10-31T16:08:43.487Z,,,,,,,,,,,,,,,,,0.0,
