entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExtraordinaryProfitLossBeforeTax,GrossProfitLoss,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
30581393,2013-01-01,2013-12-31,c5,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,-305.0,-305.0,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,-229.0,-305.0,-305.0,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,-76.0,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,
30581393,2013-01-01,2013-12-31,c7,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,-229.0,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,
30581393,2013-12-31,2013-12-31,c9,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,253794.0,1274.0,126000.0,253794.0,128192.0,253794.0,125602.0,125602.0,252444.0,2192.0,125602.0,252520.0,76.0,
30581393,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,-700.0,-700.0,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,-526.0,-700.0,-700.0,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,-174.0,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,
30581393,2014-01-01,2014-12-31,c1,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,
30581393,2014-01-01,2014-12-31,c2,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,Karsten Lorentsen
30581393,2014-01-01,2014-12-31,c3,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,Michael Graff Nielsen
30581393,2014-01-01,2014-12-31,c4,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,Jan Mehlsen
30581393,2014-01-01,2014-12-31,c6,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,-526.0,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,,,,,,,,,,,,,,
30581393,2014-12-31,2014-12-31,c8,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzMyLzZhLzJmLzMyLzBjYjEtNGE1ZS1hZjdjLTFjYzEzNjU1NDFmYg.xhtml,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0L2YyLzZhL2FhLzg1NmYtNGFlMC1hMTIyLTlmN2JhN2I4NmUwYg.pdf,http://regnskaber.virk.dk/39318503/ZG9rdW1lbnRsYWdlcjovLzAzLzFmL2Y3LzIwLzVjLzkzYmMtNGI0OC1hNDM0LTc1MmQyZjkwMmNmMQ.xml,Aarhus N,8200.0,90N,Jens Baggesens Vej,8200 Aarhus N,Jens Baggesens Vej 90 N,Regnskabsklasse B,2015-05-12,2015-05-12,,,30581393.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Jan Mehlsen,Michael Graff Nielsen,ApS KOMPL. FYN,Jan Mehlsen,0.0,Aarhus,2013-01-01,2013-12-31,,,,2014-12-31,2014-01-01,Bestyrelsen og direktionen anser fortsat betingelserne for at undlade revisionen for opfyldt.,,Ingen bistand,urn:ofk:oid:5231029,indberetninger-20180424,2.5955422,30581393,,2018-03-30T10:38:27.228Z,2015-05-12T17:36:57.423Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-46-TM,2015-05-12T17:36:57.489Z,253268.0,652.0,126000.0,253268.0,127666.0,253268.0,125602.0,125602.0,252444.0,1666.0,125602.0,252616.0,172.0,
