entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,ExternalExpenses,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnTypeOfSubmittedReport,LiabilitiesOtherThanProvisions,ManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,Revenue,SelectedElementsFromReportingClassC,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,Inventories,LiabilitiesAndEquity,ManufacturedGoodsAndGoodsForResale,OtherReserves,RetainedEarnings,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
30805429,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,95145.0,24403.0,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,19034.0,24403.0,24403.0,2018-12-31,2018-01-01,119548.0,false,49927.0,366.0,5369.0,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,
30805429,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,19034.0,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,
30805429,2017-12-31,2017-12-31,c9,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,103451.0,44125.0,200000.0,103451.0,103085.0,15952.0,103451.0,15952.0,-115949.0,19034.0,43374.0,42968.0,406.0,
30805429,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,53752.0,-6975.0,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,-5440.0,-6975.0,-6975.0,2018-12-31,2018-01-01,46777.0,false,49927.0,366.0,-1535.0,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,
30805429,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,
30805429,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,JÃ¸rn Hasselriis Raaschou
30805429,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,Mette Raaschou
30805429,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,Dorte Raaschou
30805429,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,-5440.0,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,,,,,,,,,,,,,,
30805429,2018-12-31,2018-12-31,c8,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzUxLzM3L2EzYzctNGFlMi04OTQ0LTQyOTg4NDFiY2I1Mg.xhtml,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2ZhL2VkL2Y4L2E1L2Y5MTAtNDFlOC1iMDQ1LTAwNzBlMjNjNjhhMg.pdf,http://regnskaber.virk.dk/92450803/ZG9rdW1lbnRsYWdlcjovLzAzL2RmLzYxLzc1LzkyLzdlNTQtNDMyNC05MWRmLTgwOWZhNDM5YzFiYw.xml,true,Odense SV,5250.0,160.0,Sanderumvej,5250.0,Sanderumvej 160,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-17,2019-05-17,,,30805429.0,Ãrsrapport,366.0,"<p xmlns=""http://www.w3.org/1999/xhtml"">2018 bar prÃ¦g af at BARF Odense lukkede i juli mÃ¥ned og derfor er resultatet ikke tilfredsstillende.</p>",JÃ¸rn Raaschou,JÃ¸rn Hasselriis Raaschou,HASSELRIIS INVEST OG HANDEL ApS,JÃ¸rn Raaschou,49927.0,366.0,414.0,Odense SV,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,,false,49927.0,366.0,,62228888.0,false,true,false,false,true,false,Ingen bistand,urn:ofk:oid:27165158,indberetninger-20180424,2.5953592999999997,30805429.0,AWrKS3NvRYGX6_YTHyJx,2019-05-18T09:35:43.655Z,2019-05-18T09:35:02.573Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BE-83-QF,2019-05-18T09:35:02.951Z,97644.0,621.0,200000.0,97644.0,97644.0,0.0,97644.0,0.0,-96916.0,-5440.0,47096.0,44503.0,2179.0,
