entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DeferredIncomeAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
30989740,2014-01-01,2014-12-31,ID_10,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,56721.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2014-01-01,2014-12-31,ID_12,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,56721.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2014-01-01,2014-12-31,ID_8,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,56721.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,1510421.0,436191.0,888.0,51.0,78959.0,79796.0,2026408.0,22238.0,,,,,,,,,,,,,,,,,,,,
30989740,2014-12-31,2014-12-31,ID_14,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,786148.0,274400.0,125000.0,771224.0,8928.0,14924.0,435541.0,786148.0,350607.0,14924.0,14924.0,256727.0,39924.0,310541.0,350607.0,496824.0,447972.0,16985.0,76895.0,
30989740,2015-01-01,2015-12-31,ID_0,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_1,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_11,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,43754.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_15,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_16,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_17,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzUyL2ViL2Q2LzNmL2M2ODQtNDE2MC1iZmU2LTc5OTAwZWI2NWM3NQ.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2I2L2YwL2JkL2U0L2UzNDctNGExZC1hMzBmLTE1YjUwNWE1MmQ2Mg.xml,"Herlev, 2730",LyskÃ¦r 3 CD,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2015 and of the results of the Company's operations for the financial year 1 January 2015 - 31 December 2015.",The Annual General Meeting of the Company has adopted that the Company's Financial Statements are not to be audited. The conditions for not conducting an audit of the Financial Statement have been met.,2016-05-31,2007-11-01,2016-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2015 - 31 December 2015.",Ãrsrapport,Joachim Fietz,Vincotech (Denmark) ApS,Visma Services Danmark A/S,"Herlev, 31 May 2016",2014-01-01,2014-12-31,,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2015-12-31,2015-01-01,70273130.0,Ingen bistand,urn:ofk:oid:22634983,indberetninger-20180424,2.5118417999999996,30989740.0,,2018-03-29T02:09:34.785Z,2016-06-08T07:24:39.952Z,regnskab,0.0,,2015-12-31,2015-01-01,X16-AY-52-BC,2016-06-08T07:24:40.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
