entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,FaxNumberOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Revenue,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsLongtermInvestmentsAndReceivables,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
30989740,2015-01-01,2015-12-31,ID_6,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,1.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_7,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,1299877.0,443157.0,1266.0,82.0,43754.0,70850.0,72034.0,1815068.0,27096.0,,,,,,,,,,,,,,,,,,,
30989740,2015-01-01,2015-12-31,ID_9,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,43754.0,,,,,,,,,,,,,,,,,,,,,,,
30989740,2015-12-31,2015-12-31,ID_4,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,,,,,,760192.0,307324.0,125000.0,745268.0,14924.0,479295.0,760192.0,280897.0,14924.0,14924.0,207092.0,30667.0,354295.0,280897.0,437944.0,407277.0,36768.0,37037.0,
30989740,2016-01-01,2016-12-31,ID_0,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joachim Fietz
30989740,2016-01-01,2016-12-31,ID_1,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2016-01-01,2016-12-31,ID_2,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,1132607.0,416071.0,682.0,0.0,45760.0,62744.0,63426.0,1612104.0,16984.0,,,,,,,,,,,,,,,,,,,
30989740,2016-01-01,2016-12-31,ID_5,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,1.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30989740,2016-01-01,2016-12-31,ID_8,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,45760.0,,,,,,,,,,,,,,,,,,,,,,,
30989740,2016-12-31,2016-12-31,ID_3,,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzL2Q0LzA2Lzc4L2ZjLzBiNTktNDIyMC1iYzVkLTg4NTE1Mjk4YTQ3Mg.pdf,http://regnskaber.virk.dk/04798903/ZG9rdW1lbnRsYWdlcjovLzAzLzhiLzMyLzZjLzdkL2Q0NTYtNDFiOC1hZDBkLWM3MmRkODM3Y2M5MA.xml,true,"Herlev, 2730",LyskÃ¦r 3 CD,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2016 and of the results of the Company's operations for the financial year 1 January 2016 - 31 December 2016.",The conditions for not conducting an audit of the Financial Statement have been met.,2017-05-30,2017-05-30,2007-11-01,2017-05-31,70273730.0,30989740.0,"Today, Management has considered and adopted the Annual Report of Vincotech (Denmark) ApS for the financial year 1 January 2016 - 31 December 2016.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Joachim Fietz,Vincotech (Denmark) ApS,Azets Employee A/S,Herlev,2015-01-01,2015-12-31,We recommend that the Annual Report be adopted at the Annual General Meeting.,"Herlev, 163",2016-12-31,2016-01-01,false,70273130.0,Ingen bistand,urn:ofk:oid:24087337,indberetninger-20180424,2.5124211,30989740.0,,2018-03-28T23:07:05.801Z,2017-06-02T12:24:18.366Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AL-27-CJ,2017-06-02T12:24:18.524Z,,,,,,,,,,807254.0,373871.0,125000.0,792330.0,14924.0,525055.0,807254.0,282199.0,14924.0,14924.0,201020.0,31476.0,400055.0,282199.0,418459.0,386983.0,9289.0,71890.0,
