entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForDeferredTax,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnManagementsReviewAuditorsReportOnAuditedFinancialStatements,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermInvestments,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,NameOfAuditFirm,NameAndSurnameOfMemberOfExecutiveBoard
31158753,2013-01-01,2013-12-31,c1,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,737.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",-567150.0,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-125944.0,0.0,2392543.0,Brande,1700186.0,2266599.0,-125944.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",-566413.0,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
31158753,2013-01-01,2013-12-31,c30,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,-299814.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
31158753,2013-01-01,2013-12-31,c6,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,2000000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
31158753,2013-12-31,2013-12-31,c4,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,125749836.0,85750770.0,125000.0,125749836.0,125439732.0,125749836.0,310104.0,39631841.0,55370.0,367225.0,2000000.0,123314732.0,39631841.0,310104.0,367225.0,254734.0,0.0,,
31158753,2014-01-01,2014-01-01,c137,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,125000.0,,,,,,,,,,,,,,
31158753,2014-01-01,2014-01-01,c158,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,123314732.0,,,,,,,,,,,,,,
31158753,2014-01-01,2014-01-01,c161,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,2000000.0,,,,,,,,,,,,,,
31158753,2014-01-01,2014-12-31,c0,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,0.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",-723069.0,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,-176351.0,-9935.0,3127531.0,Brande,2218176.0,2941245.0,-176351.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",-723069.0,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,
31158753,2014-01-01,2014-12-31,c159,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,218176.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
31158753,2014-01-01,2014-12-31,c162,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8vcGRmcy8zMTE1ODc1MztBcFM0MjA1MDE7MjAxNDAxMDE7MjAxNDEyMzE7UjtS.pdf,http://regnskaber.virk.dk/35785113/Y3ZyLmRrOi8veGJybHMvWC1DRjAxMDE1OS0yMDE1MDMxM18xMDU1MTNfOTg1.xml,1.0,Vejle,7100.0,"4, 1. sal",Roms Hule,7330  Brande,Vestermarken 41,DK-7100 Vejle,"Roms Hule 4, 1. sal",Til kapitalejeren i J.I. Holding ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2014 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2014.",,2015-03-06,2015-03-10,Statsautoriseret revisor,-2000000.0,31158753.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for 1. januar - 31. december 2014 for J.I. Holding ApS.,"Vi har revideret Ã¥rsregnskabet for J.I. Holding ApS for regnskabsÃ¥ret 1. januar - 31. december 2014, der omfatter anvendt regnskabspraksis, resultatopgÃ¸relse, balance og noter. Ãrsregnskabet udarbejdes efter Ã¥rsregnskabsloven.",Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Lund,Jens Iversen,J.I. Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,,Brande,2000000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Brande,2014-12-31,2014-01-01,2015-03-06,Vejle,"Vi har i henhold til Ã¥rsregnskabsloven gennemlÃ¦st ledelsesberetningen. Vi har ikke foretaget yderligere handlinger i tillÃ¦g til den udfÃ¸rte revision af Ã¥rsregnskabet. Det er pÃ¥ denne baggrund vores opfattelse, at oplysningerne i ledelsesberetningen er i overensstemmelse med Ã¥rsregnskabet.",,RevisionspÃ¥tegning,urn:ofk:oid:19135978,indberetninger-20180424,2.5095882,31158753.0,,2018-03-30T17:16:53.014Z,2015-03-13T23:00:00.000Z,regnskab,0.0,,2014-12-31,2014-01-01,15-91.257,2015-03-13T23:00:00.000Z,,,,,,,,,,,,,,,,,,,
