entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,Equity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OpinionOnAuditedFinancialStatements,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfPropertyPlantAndEquipment,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GainsLossesFromCurrentValueAdjustmentsOfInvestmentProperty,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,InvestmentProperty,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,AccumulatedRevaluationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,AddressOfAuditorCountry,EmailOfAuditor,NameAndSurnameOfMemberOfExecutiveBoard,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,DescriptionOfAuditor,IdentificationNumberCvrOfAuditFirm,IdentificationNumberOfAuditor,NameAndSurnameOfAuditor,NameOfAuditFirm,TelephoneNumberOfAuditor
31484588,2015-10-01,2015-10-01,c704,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,17000.0,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2015-10-01,2015-10-01,c725,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,11192000.0,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2015-10-01,2016-09-30,c120,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,7054000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2015-10-01,2016-09-30,c3,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,7054000.0,10218000.0,716000.0,803000.0,0.0,10131000.0,10934000.0,3077000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2015-10-01,2016-09-30,c726,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,7054000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2016-09-30,2016-09-30,c4,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,18263000.0,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,54399000.0,138000.0,17000.0,1181000.0,53218000.0,54399000.0,33059000.0,22412000.0,22412000.0,53218000.0,925000.0,1043000.0,53218000.0,3077000.0,3077000.0,18246000.0,10647000.0,615000.0,9107000.0,1043000.0,,,,,,,,,,,,,,,
31484588,2016-09-30,2016-09-30,c706,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,17000.0,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2016-09-30,2016-09-30,c727,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,18246000.0,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31484588,2016-10-01,2016-10-01,c148,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15256437.0,37961172.0,,,,,,,,,,,,,
31484588,2016-10-01,2016-10-01,c177,,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzJlL2VhL2QwLzE3L2YxNmQtNDJjZS04YzM2LWQ0MzhkNjYzMDliNQ.pdf,http://regnskaber.virk.dk/88548413/ZG9rdW1lbnRsYWdlcjovLzAzLzlhL2EzL2ZlL2U1LzIzOTktNGIyNC1iZWFkLTg1YTgxZjQyZjA0Yw.xml,KÃ¸benhavn,2100.0,107.0,LersÃ¸ ParkallÃ©,"2100, KÃ¸benhavn Ã","Stockholmsgade, 45",anpartshaveren,Regnskabsklasse B,The annual report has been presented in accordance with the Danish Financial Statements Act.,"We consider the accounting policies used appropriate, and in our opinion the annual accounts provide a true and fair view of the company's assets and liabilities and its financial position as on 30 September 2017 and of the company's results of its activities in the financial year 1 October 2016 to 30 September 2017.",2018-02-28,2018-02-28,2008-06-10,2018-02-28,17000.0,31484588.0,34209936.0,The executive board has today presented the annual report of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017.,"We have audited the annual accounts of 63 Avenue des Champs Elysees Paris VIII (II) ApS for the financial year 1 October 2016 to 30 September 2017, which comprise accounting policies used, profit and loss account, balance sheet and notes. The annual accounts are prepared in accordance with the Danish Financial Statements Act.",Ãrsrapport,0.0,617025.0,We are of the opinion that the management's review includes a fair description of the issues dealt with.,Mads Harboe NÃ¸rring,63 Avenue des Champs Elysees Paris VIII (II) ApS,"Grant Thornton, Statsautoriseret Revisionspartnerselskab","In our opinion, the annual accounts give a true and fair view of the company's assets, liabilities and financial position at 30 September 2017 and of the results of the company's operations for the financial year 1 October 2016 to 30 September 2017 in accordance with the Danish Financial Statements Act.",KÃ¸benhavn,2015-10-01,2016-09-30,The annual report is recommended for approval by the general meeting.,KÃ¸benhavn,2017-09-30,2016-10-01,6782391.0,2018-02-28,KÃ¸benhavn,RevisionspÃ¥tegning,urn:ofk:oid:25112338,indberetninger-20180424,2.5118406,31484588.0,,2018-04-04T01:27:37.005Z,2018-02-28T20:20:48.383Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AE-59-WC,2018-02-28T20:20:48.535Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
