entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AdjustmentsForCurrentTaxOfPriorPeriod,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,CurrentTaxExpense,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,DividendPaid,EmailOfReportingEntity,EmployeeBenefitsExpense,GrossProfitLoss,HomepageOfReportingEntity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherEmployeeExpense,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PostemploymentBenefitExpense,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,TelephoneNumberOfReportingEntity,WagesAndSalaries,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,DeferredIncomeAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,NumberOfEmployees,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradeReceivables,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance
31627672,2015-07-01,2016-06-30,c347,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,17752.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",107360.0,2017-11-07,2008-08-08,2017-11-09,70278.0,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,660575.0,1301492.0,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,649.0,111.0,141.0,HÃ¸je Taastrup,59113.0,2015-07-01,2016-06-30,445557.0,570669.0,570639.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,5050.0,125112.0,+45 27 22 33 44,595763.0,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,,,,,,,,,,,,,,,,,,,,,
31627672,2015-07-01,2016-06-30,c350,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,86000.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,,,,,,,,,,,,,,,,,,,,,
31627672,2015-07-01,2016-06-30,c368,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,359557.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,,,,,,,,,,,,,,,,,,,,,
31627672,2016-06-30,2016-06-30,c398,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,2542293.0,1637424.0,125000.0,33813.0,2166476.0,565421.0,2542293.0,338211.0,565421.0,1.0,277526.0,10.0,565421.0,86000.0,37606.0,37606.0,1955476.0,338211.0,339448.0,60685.0,305625.0,,,,
31627672,2016-07-01,2016-07-01,c401,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,125000.0,,,,,,,,,,,,,,,,,,,,
31627672,2016-07-01,2016-07-01,c428,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,1955477.0,,,,,,,,,,,,,,,,,,,,
31627672,2016-07-01,2016-07-01,c432,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,86000.0,,,,,,,,,,,,,,,,,,,,
31627672,2016-07-01,2016-07-01,c628,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,,,,,,,,,,,,,,,,,,44580.0,610001.0,,
31627672,2016-07-01,2017-06-30,c0,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,-824.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",72644.0,2017-11-07,2008-08-08,2017-11-09,102365.0,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,1039678.0,1467345.0,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,0.0,3230.0,0.0,HÃ¸je Taastrup,464914.0,2015-07-01,2016-06-30,250252.0,322072.0,325302.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,5008.0,71820.0,+45 27 22 33 44,569756.0,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,,,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning
31627672,2016-07-01,2017-06-30,c2,,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzJkLzFkLzFiLzlkLzljOGQtNDE5My04MWRkLTVjMjRmYWYyYWViNA.pdf,http://regnskaber.virk.dk/27672613/ZG9rdW1lbnRsYWdlcjovLzAzLzZkLzY0L2ZmLzhmL2RjNWYtNGVjZS04ZjU1LWU3YTA3ZTdlMDYzNg.xml,true,BrÃ¸nderslev,9700.0,10.0,Torvet,Aalborg,9000.0,2.0,Vejgaard Bymidte,2630 Taastrup,ÃllgÃ¥rdsvej 9,DK-9700 BrÃ¸nderslev,Torvet 10,Til kapitalejeren i IT-Selskabet ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. juni 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017.",,2017-11-07,2008-08-08,2017-11-09,,102365.0,Statsautoriseret revisor,-86000.0,info@it-selskabet.com,,,www.it-selskabet.com,20222670.0,31627672.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. juli 2016 - 30. juni 2017 for IT-Selskabet ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Peter MÃ¸ller,Jens NÃ¸rgaard,Jens NÃ¸rgaard,Nordjyske Bank,IT-Selskabet ApS,BDO Statsautoriseret revisionsaktieselskab,,,,HÃ¸je Taastrup,,2015-07-01,2016-06-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,HÃ¸je Taastrup,2017-06-30,2016-07-01,true,2017-11-07,BrÃ¸nderslev,,,+45 27 22 33 44,,urn:ofk:oid:24706676,indberetninger-20180424,2.5097417999999996,31627672.0,,2018-03-27T17:57:30.679Z,2017-11-17T09:12:47.235Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BG-02-BP,2017-11-17T09:12:47.360Z,,,,,,,,,,,,,,,,,,,,,,,,,
