entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InvestmentsGross,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,RelatedEntityLegalForm,RelatedEntityName,RelatedEntityRegisteredOffice,ReportingPeriodEndDate,ReportingPeriodStartDate,ShareHeldByEntityOrConsolidatedEnterprisesInRelatedEntity,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossResult,IncomeFromInvestmentsInAssociates,OtherExternalExpenses,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,LongtermInvestmentsAndReceivables,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables
32070639,2015-10-01,2015-10-01,c235,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,404000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,,,,,,,,,,,,,,,,,,,,,,
32070639,2015-10-01,2016-09-30,c106,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,103000.0,,,,,,,,,,,,,,,,,,,,,
32070639,2015-10-01,2016-09-30,c120,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,82000.0,,,,,,,,,,,,,,,,,,,,,
32070639,2015-10-01,2016-09-30,c3,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,185000.0,-5000.0,190000.0,5000.0,0.0,185000.0,-5000.0,,,,,,,,,,,,,,,
32070639,2016-09-30,2016-09-30,c237,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,404000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,,,,,,,,404000.0,,,,,,,,,,,,,,
32070639,2016-09-30,2016-09-30,c4,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,,,,,,,,404000.0,512000.0,108000.0,125000.0,108000.0,503000.0,512000.0,9000.0,404000.0,404000.0,6000.0,103000.0,275000.0,9000.0,3000.0
32070639,2016-10-01,2016-10-01,c232,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,404000.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,,,,,,,,,,,,,,,,,,,,,,
32070639,2016-10-01,2017-09-30,c1,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,243786.0,-4813.0,249000.0,4813.0,401.0,243786.0,-4813.0,,,,,,,,,,,,,,,
32070639,2016-10-01,2017-09-30,c105,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,105800.0,,,,,,,,,,,,,,,,,,,,,
32070639,2016-10-01,2017-09-30,c119,,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzJjLzI1LzRjLzc4LzYxNmYtNDQwYy1hYmQ1LTc3NjkzNjA5YmUzMw.pdf,http://regnskaber.virk.dk/93607023/ZG9rdW1lbnRsYWdlcjovLzAzLzM4LzZhLzI4LzM5L2QwZjItNDFiMy04MTFjLWVkOTMyYmMyMWY5OA.xml,Danmark,Roskilde,4000.0,70.0,Himmelev Bygade,Jyllinge,4040.0,34.0,KlÃ¸vervej,"4000, Roskilde","Himmelev Bygade, 70",ledelsen,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2016 - 30. september 2017.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2016/17 for opfyldt.,2018-01-17,2018-01-17,2009-03-01,2018-02-01,statsautoriseret revisor,Egenkapital,33780524.0,32070639.0,33780524.0,mne33210,Direktionen har dags dato aflagt Ã¥rsrapporten for 2016/17 for Lars Dyrholm Bundgaard Holding ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",Dan Rasmus Petersen,Lars Dyrholm Bundgaard,Lars Dyrholm Bundgaard,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Lars Dyrholm Bundgaard Holding ApS,"RIR REVISION, Statsautoriseret Revisionspartnerselskab",Jyllinge,2015-10-01,2016-09-30,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Jyllinge,A/S,Logistikcenteret A/S,HillerÃ¸d,2017-09-30,2016-10-01,50.0,2018-01-17,Roskilde,20 22 29 47,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:25010821,indberetninger-20180424,2.5118417999999996,32070639.0,,2018-04-03T17:58:05.744Z,2018-02-02T12:49:20.669Z,regnskab,0.0,,2017-09-30,2016-10-01,X18-AC-74-FG,2018-02-02T12:49:20.853Z,137986.0,,,,,,,,,,,,,,,,,,,,,
