entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DebtRepaidByManagementCategory,DescriptionOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OutstandingDebtFromManagementCategory,PlaceOfSignatureOfStatement,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,TypeOfBasisForModifiedOpinionOnAuditedFinancialStatements,TypeOfModifiedOpinionOnAuditedFinancialStatements,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,OtherInterestExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,SocialSecurityContributions,TaxExpenseOnOrdinaryActivities,WagesAndSalaries,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermEquityLoan,LongtermLiabilitiesOtherThanProvisions,OtherShorttermPayables,OtherShorttermReceivables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermReceivablesFromOwnersAndManagement,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard
32295606,2013-01-01,2013-01-01,c470,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,500000.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2013-01-01,2013-01-01,c494,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,-553000.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2013-01-01,2013-12-31,c123,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,-240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2013-01-01,2013-12-31,c3,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,-240000.0,1029000.0,705000.0,0.0,3000.0,0.0,-321000.0,-324000.0,4000.0,-81000.0,1025000.0,,,,,,,,,,,,,,,,,,,,
32295606,2013-01-01,2013-12-31,c495,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,-240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2013-12-31,2013-12-31,c4,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,-293000.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,1928000.0,78000.0,500000.0,1928000.0,1928000.0,2221000.0,934000.0,934000.0,166000.0,25000.0,-793000.0,1287000.0,1850000.0,663000.0,90000.0,0.0,84000.0,1121000.0,988000.0,
32295606,2013-12-31,2013-12-31,c472,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,500000.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2013-12-31,2013-12-31,c496,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,-793000.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2014-01-01,2014-01-01,c181,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,500000.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32295606,2014-01-01,2014-01-01,c199,,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzLzI0LzFmLzcyLzQyLzZlM2UtNGQ1NS1iNDU5LWU5YTllYzIwZmJhMA.pdf,http://regnskaber.virk.dk/60659223/ZG9rdW1lbnRsYWdlcjovLzAzL2Y5L2QwL2ZjLzI5L2UzYzgtNDZmNC1hZWJiLThiNWJmNzc4YjM0OA.xml,Danmark,KÃ¸benhavn Ã,2100.0,45.0,Stockholmsgade 45,BrÃ¸ndby,2605.0,351.0,Priorparken,"2100, KÃ¸benhavn Ã","Stockholmsgade 45, 45",kapitalejerne,Regnskabsklasse B,2015-05-21,2015-05-21,2009-07-30,2015-06-02,19308.0,statsautoriseret revisor,-792688.0,34209936.0,32295606.0,34209936.0,Ãrsrapport,1055942.0,0.0,Ole Skou,Kurt Hiroshi Nielsen,Kurt Hiroshi Nielsen,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",Avalue Technology A/S,"Grant Thornton, Statsautoriseret Revisionspartnerselskab",70212.0,BrÃ¸ndby,BrÃ¸ndby,2014-12-31,2014-01-01,2015-05-21,KÃ¸benhavn,RevisionspÃ¥tegning,Grundlag for afkrÃ¦ftende konklusion,AfkrÃ¦ftende konklusion,urn:ofk:oid:5436839,indberetninger-20180424,2.5124297,32295606.0,,2018-03-30T12:09:22.856Z,2015-06-03T13:09:18.480Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AD-08-EP,2015-06-03T13:09:18.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
