entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,IdentificationOfAuditedFinancialStatements,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContractWorkInProgress,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherProvisions,OtherShorttermPayables,Provisions,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard,TitleOfMemberOfExecutiveBoard
32444938,2013-01-01,2013-12-31,ID_10,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",-242547.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2013-01-01,2013-12-31,ID_12,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",-242547.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2013-01-01,2013-12-31,ID_8,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",242547.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,463550.0,824993.0,9637.0,4884.0,356690.0,361443.0,114143.0,,,,,,,,,,,,,,,,,,,,
32444938,2013-12-31,2013-12-31,ID_14,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,1623025.0,799244.0,0.0,200000.0,1623025.0,893121.0,1623025.0,659904.0,70000.0,252536.0,70000.0,693121.0,659904.0,823781.0,44044.0,0.0,363324.0,823781.0,,
32444938,2014-01-01,2014-12-31,ID_0,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2014-01-01,2014-12-31,ID_1,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2014-01-01,2014-12-31,ID_11,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",-37950.0,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2014-01-01,2014-12-31,ID_15,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2014-01-01,2014-12-31,ID_16,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
32444938,2014-01-01,2014-12-31,ID_17,,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzk5L2E0Lzk4LzQ0LzEyNDUtNDQwZi1iMjBkLTBmNzc0MDI2OGY4NQ.pdf,http://regnskaber.virk.dk/83944423/ZG9rdW1lbnRsYWdlcjovLzAzLzc1LzU0L2NiLzI4L2M2YjctNGZlYS1iNjcyLWQxNWJkNzkyYWQ4Yg.xml,"Roskilde, 4000",Ledreborg alle 118,To the shareholders of Arctis ApS,Report on the Financial Statements,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2014 and of the results of the Company's operations for the financial year 1 January 2014 - 31 December 2014.",2015-04-17,2009-09-03,2015-04-17,5. The Company's principal activities,32444938.0,20554401.0,"Today, Management has considered and adopted the Annual Report of Arctis ApS for the financial year 1 January 2014 - 31 December 2014.","We have audited the Financial Statements of Arctis ApS for the financial year 1 January 2014 - 31 December 2014 comprising Accounting Policies, Income Statement, Balance Sheet and Notes. The Annual Report is presented in accordance with the Danish Financial Statements Act.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Anders Dam Jensen,Arctis ApS,"BGR-Revision, statsautoriseret revisionsvirksomhed","KÃ¸ge, 17 April 2015",,We recommend that the Annual Report be adopted at the Annual General Meeting.,"259, KÃ¸ge",2014-12-31,2014-01-01,2015-04-17,Roskilde,RevisionspÃ¥tegning,urn:ofk:oid:5140281,indberetninger-20180424,2.5097342,32444938.0,,2018-03-30T11:11:03.714Z,2015-04-21T12:38:43.666Z,regnskab,0.0,,2014-12-31,2014-01-01,X15-AA-87-PL,2015-04-21T12:38:43.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
