entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TitleOfMemberOfSupervisoryBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RestOfOtherFinanceExpenses,TaxExpenseOnOrdinaryActivities,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,AcquiredOtherSimilarRights,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,FixturesFittingsToolsAndEquipment,IntangibleAssets,Inventories,InvestmentProperty,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,Livestock,LongtermInvestmentsAndReceivables,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherLongtermInvestments,OtherShorttermPayables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,RevaluationReserve,SharePremium,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables,LongtermInvestmentsInGroupEnterprises,ReserveForNetRevaluationAccordingToEquityMethod,ShorttermReceivablesFromGroupEnterprises,IncreaseOfCapital,NameAndSurnameOfMemberOfExecutiveBoard,NameAndSurnameOfMemberOfSupervisoryBoard
32470688,2017-01-01,2017-12-31,ID_14,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,0.0,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2017-01-01,2017-12-31,ID_17,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,21492.0,0.0,752083.0,115826.0,477233.0,613599.0,846417.0,242396.0,136366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2017-01-01,2017-12-31,ID_27,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,-220191.0,477233.0,429041.0,-220191.0,5097.0,-48192.0,654329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2017-01-01,2017-12-31,ID_38,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,517678.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2017-01-01,2017-12-31,ID_40,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,-40445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2017-01-01,2017-12-31,ID_42,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,477233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2017-12-31,2017-12-31,ID_10,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,,,,,,,13432.0,17189094.0,5036032.0,8469256.0,5352376.0,63498.0,22633.0,9932303.0,123575.0,13432.0,212407.0,7882333.0,3817378.0,17189094.0,6910421.0,162396.0,0.0,6714161.0,6714161.0,11836718.0,0.0,27788.0,11823286.0,346370.0,346370.0,50011.0,989616.0,3886.0,469545.0,0.0,196260.0,99311.0,0.0,103937.0,46528.0,40439.0,,,,,,
32470688,2017-12-31,2017-12-31,ID_12,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,,,,,,,,9938759.0,4529429.0,8469256.0,8696407.0,63498.0,,9932303.0,,,,,,9938759.0,6456.0,,1242352.0,,,1242352.0,0.0,6456.0,,,,,-231364.0,3886.0,469545.0,,6456.0,,,4166978.0,,,1242352.0,1220980.0,4103480.0,,,
32470688,2018-01-01,2018-01-01,ID_18,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,,,,,,,,,,,,,,-8469256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32470688,2018-01-01,2018-01-01,ID_19,,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzg2LzNhLzQ1LzAwL2U0ZWEtNDgxNy04ODcyLTNlNzdlZWZlZTlmYQ.pdf,http://regnskaber.virk.dk/88607423/ZG9rdW1lbnRsYWdlcjovLzAzLzc2L2M1L2Q0LzYxLzY3YzYtNDg5MS1iZjg1LWFlMDI2MWNlNTZlMA.xml,true,"4700, NÃ¦stved","Vestre Kaj 2, 1.",To the shareholders of Farm Company A/S,,Regnskabsklasse B,The Annual Report is presented in accordance with the Danish Financial Statements Act.,"In our opinion, the Consolidated Financial Statements and the Financial Statements give a true and fair view of the assets, liabilities and financial position of the Company at 31 December 2018 and of the results of the Group's and the Company's operations and the Group's cash flows for the financial year 1 January 2018 - 31 December 2018.",2019-04-11,2019-04-11,2009-09-18,2019-04-25,20658231.0,32470688.0,20658231.0,mne11683,"Today, the Supervisory Board and the Executive Board have considered and adopted the Annual Report of Farm Company A/S for the financial year1 January 2018 - 31 December 2018.",Ãrsrapport,"In our opinion, the Management's Review includes a true and fair account of the matters addressed in the review.",Lars Engelsted Petersen,Jens Ohnemus,ENGELSTED PETERSEN,Farm Company A/S,"ENGELSTED PETERSEN, Statsaut. revisionsanpartsselskab",Vejen,2017-01-01,2017-12-31,We recommend that the Annual Report is adopted at the Annual General Meeting.,"Vejen, 575",2018-12-31,2018-01-01,false,2019-04-11,NÃ¦stved,Chairman,RevisionspÃ¥tegning,urn:ofk:oid:27056592,indberetninger-20180424,2.5118406,32470688.0,AWpy1C-DRYGX6_YTHR2d,2019-05-01T09:58:30.930Z,2019-05-01T09:57:49.066Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BA-11-HA,2019-05-01T09:57:49.258Z,,,,,,,,,,,,,,,,,,-469545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
