entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorCountry,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfEquity,DescriptionOfMethodsOfRecognitionAndMeasurementBasisOfExternalExpenses,EmailOfAuditor,Equity,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RecognisedButNotOwnedAssets,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfAuditor,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,GrossProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,Dividend,DividendPaid,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,OtherShorttermPayables,ProposedDividendRecognisedInEquity,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermTradePayables
32666841,2017-01-01,2017-01-01,c704,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,125000.0,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,,,,,,,,,,,,,,,,,
32666841,2017-01-01,2017-01-01,c725,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,632604.0,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,,,,,,,,,,,,,,,,,
32666841,2017-01-01,2017-01-01,c728,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,51700.0,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,,,,,,,,,,,,,,,,,
32666841,2017-01-01,2017-12-31,c106,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,52900.0,,,,,,,,,,,,,,,,
32666841,2017-01-01,2017-12-31,c120,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,-66148.0,,,,,,,,,,,,,,,,
32666841,2017-01-01,2017-12-31,c3,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,-13248.0,-13248.0,-13248.0,-13248.0,,,,,,,,,,,,,
32666841,2017-01-01,2017-12-31,c726,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,-66148.0,,,,,,,,,,,,,,,,
32666841,2017-01-01,2017-12-31,c729,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,,,,,52900.0,51700.0,,,,,,,,,,,
32666841,2017-12-31,2017-12-31,c4,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,744356.0,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,,,,,,,810629.0,810629.0,125000.0,810629.0,810629.0,66273.0,59523.0,52900.0,566456.0,66273.0,6750.0
32666841,2017-12-31,2017-12-31,c706,,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzL2JkLzQ2LzhmLzg1L2MxM2QtNGViNS05MzNjLTk3Y2Q2MWI3OGNlNA.pdf,http://regnskaber.virk.dk/14866623/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzEzLzQwLzY2LzM2YTYtNGYzNS05ZjFlLTc2YWNmODIyNjAzYw.xml,Danmark,KÃ¸ge,4600.0,13.0,FÃ¦ndediget,KÃ¸ge,4600.0,74.0,LykkebÃ¦kparken,"4600, KÃ¸ge","FÃ¦ndediget, 13",anpartshaveren,Regnskabsklasse B,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabsloven.,"Jeg anser den valgte regnskabspraksis for hensigtsmÃ¦ssig, og efter min opfattelse giver Ã¥rsregnskabet et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",Direktionen anser betingelserne for at undlade revision af Ã¥rsregnskabet for 2018 for opfyldt.,2019-06-06,2019-06-06,2010-01-04,2019-06-07,statsautoriseret revisor,Egenkapital,Andre eksterne omkostninger omfatter omkostninger til administration.,koege@glb.dk,125000.0,30821963.0,32666841.0,30821963.0,mne9618,Direktionen har dags dato aflagt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Lizzie P. Holding ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, som beretningen omhandler.",SÃ¸ren Windahl,Lizzie Pedersen,Lizzie Ingrid Pedersen,"GLB REVISION, Statsautoriserede Revisorer A/S",Lizzie P. Holding ApS,"GLB REVISION, Statsautoriserede Revisorer A/S",KÃ¸ge,2017-01-01,2017-12-31,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸ge,2018-12-31,2018-01-01,2019-06-06,KÃ¸ge,+45 56 65 52 52,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27533808,indberetninger-20180424,2.5124327999999996,32666841.0,AWtrEf1ejptzAuyFilwW,2019-06-18T14:52:11.433Z,2019-06-18T14:51:08.740Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BP-50-KR,2019-06-18T14:51:09.096Z,,,,,,,,,,,,,,,,,
