entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermInvestments,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermInvestments,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToShareholdersAndManagement,ShorttermReceivables,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables
32770142,2015-07-01,2016-06-30,c2,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",407037.0,740227.0,32770142.0,114771.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,1627.0,22895.0,Slagelse,2015-07-01,2016-06-30,377939.0,469229.0,333190.0,2017-06-30,2016-07-01,false,false,91290.0,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2015-07-01,2016-06-30,c4,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,101200.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2015-07-01,2016-06-30,c6,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,114771.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2015-07-01,2016-06-30,c8,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,161968.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2016-06-30,2016-06-30,c10,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,746930.0,196044.0,125000.0,607159.0,8562.0,436675.0,746930.0,310255.0,139771.0,139771.0,139771.0,316979.0,111051.0,101200.0,114771.0,95704.0,316979.0,310255.0,0.0,94136.0,62500.0,186617.0,12587.0,23074.0
32770142,2016-07-01,2017-06-30,c0,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",397.0,90313.0,32770142.0,86619.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,934.0,36822.0,Slagelse,2015-07-01,2016-06-30,184462.0,212423.0,89916.0,2017-06-30,2016-07-01,false,false,27961.0,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2016-07-01,2017-06-30,c1,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2016-07-01,2017-06-30,c3,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,103400.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2016-07-01,2017-06-30,c5,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,86619.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
32770142,2016-07-01,2017-06-30,c7,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzVjLzcxLzQ2L2E2L2UyYjgtNGRhOS1iYTRkLWFiOWYxYjI3MGE5Mg.xhtml,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzJjL2U2Lzc5LzA0LzMxNjMtNGIwOC1iZjQxLThhM2JjMTMyYTM0Mg.pdf,http://regnskaber.virk.dk/24107723/ZG9rdW1lbnRsYWdlcjovLzAzLzNkLzY3L2NjL2MzLzNhYzEtNDkwMi05ZjQ1LTgxZWZmMTkzMDBjYg.xml,true,Slagelse,4200.0,11.0,Sct.JÃ¸rgensgade,5600.0,Bjernevej 5,Regnskabsklasse B,2017-11-10,2017-11-10,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,,32770142.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Bruun Madsen,Anders Bruun Madsen,LEAS ApS,Knud Erik Banke Kristensen,,,Slagelse,2015-07-01,2016-06-30,-5557.0,,,2017-06-30,2016-07-01,false,false,,false,false,Ingen bistand,urn:ofk:oid:24686364,indberetninger-20180424,2.5952096,32770142,,2018-03-27T16:50:34.456Z,2017-11-12T16:16:42.464Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BF-32-HV,2017-11-12T16:16:42.656Z,,,,,,,,,,,,,,,,,,,,,,,,
