entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AmortisationOfGoodwillOfInvestments,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DividendPaid,ExternalExpenses,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,RevaluationsOfInvestmentsOfTheYear,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTradePayables,AccumulatedImpairmentLossesAndDepreciationOfInvestments,AccumulatedRevaluationsOfInvestments,InvestmentsGross,NameOfAuditFirm,TypeOfAuditorAssistance
32944361,2016-10-01,2017-09-30,c174,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,7329.0,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,204062.0,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,274.0,6533.0,Skanderborg,2016-10-01,2017-09-30,202992.0,202992.0,196733.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,0.0,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,,,,,,,,,,,,,,,,,,,
32944361,2016-10-01,2017-09-30,c177,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,105800.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,,,,,,,,,,,,,,,,,,,
32944361,2016-10-01,2017-09-30,c185,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,-187938.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,,,,,,,,,,,,,,,,,,,
32944361,2016-10-01,2017-09-30,c195,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,285130.0,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,,,,,,,,,,,,,,,,,,,
32944361,2017-09-30,2017-09-30,c172,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,1105729.0,51693.0,80000.0,1101129.0,1105729.0,4600.0,845332.0,845332.0,845332.0,600.0,105800.0,338332.0,576997.0,4600.0,208704.0,208704.0,4000.0,,,,,
32944361,2017-10-01,2017-10-01,c226,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,80000.0,,,,,,,,,,,,,,,,,,
32944361,2017-10-01,2017-10-01,c235,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,338332.0,,,,,,,,,,,,,,,,,,
32944361,2017-10-01,2017-10-01,c253,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,576997.0,,,,,,,,,,,,,,,,,,
32944361,2017-10-01,2017-10-01,c257,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,105800.0,,,,,,,,,,,,,,,,,,
32944361,2017-10-01,2017-10-01,c567,,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzEzLzMxLzg3L2FmLzQyMDUtNGYyZi04NWYxLTkyM2ZjMTkxNjA2YQ.pdf,http://regnskaber.virk.dk/16344923/ZG9rdW1lbnRsYWdlcjovLzAzLzNhL2MwLzY0LzJjLzgzOTMtNDYwNC1iNzAwLWE0YzQzODE0MDU4ZA.xml,true,Aarhus C,8000.0,29.0,Kystvejen,8660 Skanderborg,Virringvej 74,DK-8000 Aarhus C,Kystvejen 29,Til kapitalejeren i Mads Svendsen Holding ApS,65274.0,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30. september 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018.",2018-12-10,2010-05-26,2019-01-08,Statsautoriseret revisor,-105800.0,,20222670.0,32944361.0,20222670.0,mne27792,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. oktober 2017 - 30. september 2018 for Mads Svendsen Holding ApS.,,Ãrsrapport,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Gert Malmkvist,Mads Svendsen,Mads Algren Svendsen,Mads Svendsen Holding ApS,BDO Statsautoriseret revisionsaktieselskab,,,Skanderborg,2016-10-01,2017-09-30,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Skanderborg,2018-09-30,2017-10-01,382479.0,true,2018-12-10,Aarhus,,urn:ofk:oid:26568243,indberetninger-20180424,2.509544,32944361.0,AWhVvcAQet7j816DxwYQ,2019-01-16T08:19:00.739Z,2019-01-16T08:18:42.671Z,regnskab,0.0,,2018-09-30,2017-10-01,X19-AD-82-EB,2019-01-16T08:18:42.833Z,,,,,,,,,,,,,,,,,,195822.0,534154.0,507000.0,,
