entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnExtendedReviewOfFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,EmailOfReportingEntity,FaxNumberOfReportingEntity,HomepageOfReportingEntity,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,ProfitLoss,Assets,Equity,LiabilitiesAndEquity,IdentificationNumberCvrOfAuditFirm,NameAndSurnameOfAuditor,NameOfAuditFirm,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard
33034253,2016-05-01,2017-04-30,ID_13,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,9.0,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,,,,,
33034253,2016-05-01,2017-04-30,ID_14,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,0.0,,,,,,,,
33034253,2017-04-30,2017-04-30,ID_11,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,0.0,0.0,0.0,,,,,
33034253,2017-05-01,2018-04-30,ID_0,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,0.0,,,,,,,,
33034253,2017-05-01,2018-04-30,ID_1,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,26632315.0,Torben Eskildsen,,,
33034253,2017-05-01,2018-04-30,ID_12,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,16.0,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,,,,,
33034253,2017-05-01,2018-04-30,ID_2,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,26632315.0,RenÃ© JÃ¼rgensen,,,
33034253,2017-05-01,2018-04-30,ID_3,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,,,Intension,,
33034253,2017-05-01,2018-04-30,ID_4,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,,,,,
33034253,2017-05-01,2018-04-30,ID_5,,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzL2EzL2NmLzlmL2VmL2M3ZmItNDQ2YS1hMmViLWE1Mzc5OTQ3YzY4Mw.pdf,http://regnskaber.virk.dk/35243033/ZG9rdW1lbnRsYWdlcjovLzAzLzNmLzA5LzdhLzRmLzQ0NzMtNGU1Zi1iOGUyLTRlZWJkYjFkZjRmNg.xml,false,"Aabenraa, 6200",NÃ¦stmark 25,Til kapitalejerne i DanlÃ¸ft Vest A/S,,Regnskabsklasse B,2018-06-27,2018-06-27,2010-06-02,2018-08-14,info@danloeft.dk,73 62 88 09,www.danloeft.dk,33034253.0,26632315.0,mne35789,Ãrsrapport,Thomas Westergaard,Thomas Westergaard,Jyske Bank,Advokatfirmaet Fink,DanlÃ¸ft Vest A/S,"Intension, Statsautoriseret Revisionsaktieselskab",Aabenraa,2016-05-01,2017-04-30,"Aabenraa, 580",2018-04-30,2017-05-01,false,2018-07-03,Aabenraa,73 62 88 00,DirektÃ¸r,ErklÃ¦ring om udvidet gennemgang,urn:ofk:oid:26050953,indberetninger-20180424,2.5097342,33034253.0,AWVmvoqaKQjPMJ1Hu1CU,2018-08-23T12:25:24.327Z,2018-08-23T12:24:44.994Z,regnskab,0.0,,2018-04-30,2017-05-01,X18-AV-43-MP,2018-08-23T12:24:45.175Z,,,,,,,,Thomas Westergaard,Bestyrelsesmedlem
