entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfAuditorCountry,AddressOfAuditorCountryIdentificationCode,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfContingentLiabilities,DisclosureOfMortgagesAndCollaterals,IdentificationNumberCvrOfReportingEntity,IdentificationNumberOfAuditor,IdentificationNumberPnrOfAuditFirm,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromOtherLongtermInvestmentsAndReceivables,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpense,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermTaxPayables,ShorttermTradePayables,IdentificationNumberCvrOfAuditFirm,NameOfAuditFirm
33152396,2017-01-01,2017-12-31,c10,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,-31973.0,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152396,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,125895.0,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,592293.0,-52645.0,808901.0,426.0,163537.0,-644938.0,37642.0,,,,,,,,,,,,,,,,,,,,,,,
33152396,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,50000.0,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152396,2017-01-01,2017-12-31,c8,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,107868.0,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152396,2017-12-31,2017-12-31,c12,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,477336.0,114709.0,80000.0,180662.0,410369.0,477336.0,66967.0,296674.0,296674.0,296674.0,16152.0,6743.0,50000.0,171674.0,108695.0,66967.0,9173.0,65953.0,59210.0,31642.0,10000.0,,
33152396,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,119548.0,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,584020.0,-28862.0,769089.0,1019.0,155188.0,-612882.0,35640.0,,,,,,,,,,,,,,,,,,,,,,,
33152396,2018-01-01,2018-12-31,c1,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13835640.0,KORSGAARD REVISION A/S
33152396,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33152396,2018-01-01,2018-12-31,c3,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13835640.0,KORSGAARD REVISION A/S
33152396,2018-01-01,2018-12-31,c5,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzgyLzQ1L2FlL2UzLzBkZmItNDFhNy05MTFiLWU0MzUxMDA4ZGFhZg.xhtml,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzL2IxL2ZhL2NlL2IyL2E2MjMtNGY4My1iMjY2LWEwZWZjN2JlMzEzZg.pdf,http://regnskaber.virk.dk/69325133/ZG9rdW1lbnRsYWdlcjovLzAzLzI4LzFlLzcxLzdkLzIzYzItNDlhOS1hZDY1LWFiMWNhZDZmZmZlMg.xml,true,Danmark,DK,Ringe,5750.0,2.0,Algade,Svendborg,5700.0,105.0,MÃ¸llergade,5750 Ringe,Algade 2,Til den daglige ledelse i Hvass Arkitekter ApS,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-30,2019-05-30,Registreret Revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",33152396.0,mne17139,1000633584.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Anders Korsgaard,Kristian Hvass,Kristian Hvass,HVASS ARKITEKTER ApS,Korsgaard Revision A/S,Svendborg,2017-01-01,2017-12-31,56426.0,2018-12-31,2018-01-01,false,2019-05-30,Ringe,41619176.0,false,false,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:27310478,indberetninger-20180424,2.5949402000000004,33152396.0,AWsKAIrsRYGX6_YTINl5,2019-05-30T18:29:13.648Z,2019-05-30T18:28:55.706Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BB-80-PT,2019-05-30T18:28:55.945Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
