entity,start_date,end_date,context,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DescriptionOfAuditor,DescriptionOfOtherEngagement,GrossResult,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,LongtermLiabilitiesOtherThanProvisionsDueAfterFiveYearsAndMore,LongtermLiabilitiesOtherThanProvisionsDueInOneYear,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceIncome,PlaceOfSignatureOfStatement,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,PropertyPlantAndEquipmentGross,NameOfAuditFirm
33253893,2012-01-01,2012-12-31,c1,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",-401000.0,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,-401000.0,9000.0,KÃ¸benhavn,-392000.0,-392000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,,,,,,,,,,,
33253893,2012-01-01,2012-12-31,c30,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,-392000.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,,,,,,,,,,,
33253893,2012-12-31,2012-12-31,c4,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,10823000.0,80000.0,10000.0,-796000.0,10813000.0,10823000.0,11619000.0,11604000.0,11604000.0,10813000.0,15000.0,10000.0,10813000.0,-876000.0,15000.0,10000.0,,
33253893,2013-01-01,2013-01-01,c137,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,80000.0,,,,,,,,,,,,,,
33253893,2013-01-01,2013-01-01,c158,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,-875714.0,,,,,,,,,,,,,,
33253893,2013-01-01,2013-01-01,c179,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,11604473.0,,,,,,,,,,
33253893,2013-01-01,2013-01-01,c76,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,,,,,,,,,,10813174.0,
33253893,2013-01-01,2013-12-31,c0,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",-394663.0,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,-394663.0,0.0,KÃ¸benhavn,-394663.0,-394663.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,0.0,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab
33253893,2013-01-01,2013-12-31,c159,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,-394663.0,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,,,,,,,,,,,
33253893,2013-01-01,2013-12-31,c199,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8vcGRmcy8zMzI1Mzg5MztBcFM0ODI1NzE7MjAxMzAxMDE7MjAxMzEyMzE7UjtS.pdf,http://regnskaber.virk.dk/39835233/Y3ZyLmRrOi8veGJybHMvWC1GNzhFQzg0RC0yMDE0MDMwNF8xMzM5MDJfNjU0.xml,KÃ¸benhavn V,1561.0,29.0,Havneholmen,1058  KÃ¸benhavn K,Havnegade 39,DK-1561 KÃ¸benhavn V,Havneholmen 29,Til kapitalejeren i L & D Real Estate Holdings ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er min opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2013 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2013.",Direktionen anser fortsat at betingelserne for at undlade revision er opfyldt.,2014-02-28,2010-10-20,2014-02-28,Statsautoriseret revisor,"Da en opgave om opstilling af finansielle oplysninger ikke er en erklÃ¦ringsopgave med sikkerhed, er vi ikke forpligtet til at verificere nÃ¸jagtigheden eller fuldstÃ¦ndigheden af de oplysninger, ledelsen har givet os til brug for at opstille Ã¥rsregnskabet. Vi udtrykker derfor ingen revisions- eller reviewkonklusion om, hvorvidt Ã¥rsregnskabet er udarbejdet i overensstemmelse med Ã¥rsregnskabsloven.",,33253893.0,20222670.0,Direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for L & D Real Estate Holdings ApS for L & D Real Estate Holdings ApS.,Ãrsrapport,0.0,0.0,"Ledelsesberetningen indeholder efter min opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Ole C. K. Nielsen,Lloyd W. Talbert,Lloyd W. Talbert,L & D Real Estate Holdings ApS,BDO Statsautoriseret revisionsaktieselskab,,,KÃ¸benhavn,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,KÃ¸benhavn,2013-12-31,3.0,2013-01-01,2014-02-28,KÃ¸benhavn,,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:13838399,indberetninger-20180424,2.5124316,33253893.0,,2018-03-31T23:27:21.236Z,2014-03-04T23:00:00.000Z,regnskab,0.0,,2013-12-31,2013-01-01,14-157.097,2014-03-04T23:00:00.000Z,,,,,,,,,,,,,,,,,,
