entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,AverageNumberOfEmployees,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,OtherFinanceExpenses,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,Goodwill,IntangibleAssets,Inventories,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,PlantAndMachinery,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RawMaterialsAndConsumables,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfExecutiveBoard
33773889,2017-01-01,2017-12-31,ID_10,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,1004818.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2017-01-01,2017-12-31,ID_12,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,105800.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2017-01-01,2017-12-31,ID_8,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2017-01-01,2017-12-31,ID_9,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,1110618.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,154991.0,1109347.0,2702546.0,14465.0,1423743.0,1438208.0,313125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2017-12-31,2017-12-31,ID_6,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,5719538.0,2838941.0,81000.0,3892129.0,0.0,4764398.0,122857.0,122857.0,917200.0,1564378.0,5719538.0,928081.0,1827409.0,553838.0,140174.0,1704552.0,105800.0,27059.0,27059.0,917200.0,4577598.0,928081.0,135988.0,246618.0,127625.0,135988.0,
33773889,2018-01-01,2018-12-31,ID_0,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,1181515.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,177666.0,1122851.0,2823378.0,5366.0,1517495.0,1522861.0,335980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2018-01-01,2018-12-31,ID_1,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2018-01-01,2018-12-31,ID_11,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,108000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2018-01-01,2018-12-31,ID_13,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,1073515.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33773889,2018-01-01,2018-12-31,ID_2,,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2IxLzM0LzZjLzM0Lzc0MTAtNGZhMy1hZDVkLTc3YjFjMWQwMWYyMQ.pdf,http://regnskaber.virk.dk/98837733/ZG9rdW1lbnRsYWdlcjovLzAzL2EwLzgxL2U4L2YwL2MwMjktNDQ4ZS05ZWIyLTQyNzg3NmFiYjc2Yg.xml,true,"HolbÃ¦k, 4300",Gl. Ringstedvej 61,Til den daglige ledelse i Toys Auto ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018.",Betingelserne for at undlade revision af Ã¥rsregnskabet anses som opfyldt.,2019-03-23,2019-03-23,2019-04-04,33771177.0,33773889.0,33771177.0,mne28752,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar 2018 - 31. december 2018 for Toys Auto ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Vibeke Hundevad,Ercan Toy,Revision & RÃ¥dgivningsgruppen,Toys Auto ApS,"Revision & RÃ¥dgivningsgruppen, Registreret revisionspartnerselskab",VipperÃ¸d,2017-01-01,2017-12-31,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,2018-12-31,2018-01-01,false,2019-03-23,HolbÃ¦k,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:26986616,indberetninger-20180424,2.5118406,33773889.0,AWoRw7qCRYGX6_YTG1vy,2019-04-12T13:37:18.910Z,2019-04-12T13:36:40.607Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AX-87-KH,2019-04-12T13:36:40.818Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
