entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AuditorsReportOnFinancialStatements,CashAndCashEquivalentsConcerningCashflowStatement,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,ManagementsStatementAboutManagementsReview,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,AcquisitionOfOtherCompany,AdjustmentsForDeferredTaxCashFlow,CashFlowFromOrdinaryOperatingActivities,CashFlowsFromUsedInFinancingActivities,CashFlowsFromUsedInInvestingActivities,CashFlowsFromUsedInOperatingActivities,DecreaseIncreaseInInventories,DecreaseIncreaseInReceivables,DecreaseIncreaseInTradePayables,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssets,DividendPaidCashFlow,Dividends,IncomeTaxesPaidRefundClassifiedAsOperatingActivities,NetIncreaseDecreaseInCashAndCashEquivalents,ProfitOnRealisationsOfFixedAssets,PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities,SaleOfOtherCompany,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,DeferredIncomeAssets,Goodwill,IntangibleAssets,Inventories,LongtermInvestmentsInAssociates,ManufacturedGoodsAndGoodsForResale,OtherShorttermReceivables,Provisions,ProvisionsForDeferredTax,RevaluationReserve,ShorttermPrepaymentsReceivedFromCustomers,ShorttermReceivables,ShorttermTaxReceivables,ShorttermTradePayables,ShorttermTradeReceivables,NameAndSurnameOfMemberOfSupervisoryBoard,TitleOfMemberOfSupervisoryBoard,NameAndSurnameOfMemberOfExecutiveBoard
34581088,2013-05-01,2013-05-01,ID_9,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,17053193.0,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_17,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,33333.0,952590.0,-307231.0,-1060109.0,79351.0,0.0,-2432614.0,-2432614.0,-1293154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_19,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,-900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_21,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,1060109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_23,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,2272505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_25,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,2432614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_29,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,2007059.0,26854389.0,26864233.0,,736254.0,168424.0,-2432614.0,-2565045.0,-1997215.0,-132431.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_31,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,-900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_33,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,3332614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581088,2013-05-01,2014-04-30,ID_35,,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzLzQzLzE3LzQxL2FhL2Q4YzgtNDUzNi05NmVkLTBkNTczMmIzN2M1Mw.pdf,http://regnskaber.virk.dk/88018543/ZG9rdW1lbnRsYWdlcjovLzAzL2YxLzNiL2EwLzQyLzBlMDQtNDg0MC05ZTIwLThlYjUyODQ2ODk1YQ.xml,"Hellerup, 2900",Strandvejen 114A,Til kapitalejerne i TECNOMERC ApS,PÃ¥tegning pÃ¥ koncernregnskabet og Ã¥rsregnskabet,,"Regnskabsklasse C, mellemstor virksomhed",Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at koncernregnskabet og Ã¥rsregnskabet giver et retvisende billede af koncernens og selskabets aktiver, passiver og finansielle stilling pr. 30. april 2015 samt af resultatet af koncernens og selskabets aktiviteter samt af koncernens pengestrÃ¸mme for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015.",2015-08-20,2012-06-20,2015-08-26,34581088.0,88248228.0,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. maj 2014 - 30. april 2015 for TECNOMERC ApS.,Ãrsrapport,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Jan Ranners,Nordea Bank Danmark A/S,TECNOMERC ApS,"Egon Pedersen Revision, Statsautoriseret Revisionsaktieselskab","Klampenborg, den 20. august 2015",Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"157, Gentofte",2015-04-30,2014-05-01,2015-08-20,Hellerup,RevisionspÃ¥tegning,urn:ofk:oid:21497981,indberetninger-20180424,2.5118417999999996,34581088,,2018-03-30T08:26:06.446Z,2015-10-07T11:53:44.314Z,regnskab,0.0,,2015-04-30,2014-05-01,X15-AH-37-DV,2015-10-07T11:53:44.470Z,,,,,,,2432614.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
