entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfGeneralMeeting,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromInvestmentsInGroupEnterprises,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherExternalExpenses,OtherFinanceIncome,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutAccountingPolicies,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutCertainSpecialItems,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutLiabilitiesDueForPaymentMoreThanFiveYearsAfterTheBalanceSheetDate,TheMicroUndertakingAppliesTheExceptionConcerningFilingInformationAboutNumberOfEmployees,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,ProposedDividendRecognisedInEquity,ReserveForNetRevaluationAccordingToEquityMethod,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxReceivables
34721556,2017-01-01,2017-12-31,c1,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,83003.0,34721556.0,83503.0,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',500.0,0.0,2017-01-01,2017-12-31,83113.0,83003.0,83003.0,2018-12-31,2018-01-01,false,-110.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2017-01-01,2017-12-31,c3,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,60000.0,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2017-01-01,2017-12-31,c5,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,23503.0,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2017-01-01,2017-12-31,c7,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,-390.0,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2017-12-31,2017-12-31,c9,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,298304.0,80000.0,175522.0,188970.0,298304.0,109334.0,122782.0,16666.0,106116.0,122782.0,1185.0,7722.0,60000.0,26166.0,22804.0,109334.0,108149.0,175522.0,94800.0,60000.0,13000.0
34721556,2018-01-01,2018-12-31,c0,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,31854.0,34721556.0,38391.0,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',6537.0,0.0,2017-01-01,2017-12-31,33285.0,31854.0,31854.0,2018-12-31,2018-01-01,false,-1431.0,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2018-01-01,2018-12-31,c2,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,0.0,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2018-01-01,2018-12-31,c4,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,38391.0,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2018-01-01,2018-12-31,c6,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,-5106.0,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,,,,,,,,,,,,,,,,,,,,,
34721556,2018-12-31,2018-12-31,c8,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzLzI0L2M2L2IzL2RiLzNlNjEtNGY0MS05OGU4LTYwMzYyZjg1YzU0YQ.xhtml,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2MwL2U2L2RiL2UxL2QwYTAtNDljZC1iNTJkLThiM2U3YzU4NzY1Yg.pdf,http://regnskaber.virk.dk/65512743/ZG9rdW1lbnRsYWdlcjovLzAzL2Y0LzczLzJhLzg1L2U5NTUtNDkzMy05ZTY2LTIxZWYwZDJmZWI4Ng.xml,true,MÃ¥rslet,8320.0,40.0,Bedervej,8320.0,Mustrupvej 81,"Regnskabsklasse B, mikrovirksomhed",Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-05-31,,34721556.0,,Ãrsrapport,Michael Gereon Haas,GEREON HOLDING ApS,Michael Gereon Haas',,,2017-01-01,2017-12-31,,,,2018-12-31,2018-01-01,false,,false,true,false,false,true,true,Ingen bistand,urn:ofk:oid:27484781,indberetninger-20180424,2.5949414,34721556.0,AWtMP5ReGQc-fA3G3HTf,2019-06-12T15:13:36.150Z,2019-06-12T15:12:43.034Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-BM-54-UX,2019-06-12T15:12:43.209Z,270461.0,80000.0,109238.0,162255.0,270461.0,108206.0,161223.0,16666.0,144557.0,161223.0,57.0,0.0,0.0,64557.0,17698.0,108206.0,108149.0,109238.0,94800.0,0.0,14438.0
