entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfGeneralMeeting,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises
34881839,2015-01-01,2015-12-31,c1,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,34881839.0,183035.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,183035.0,183035.0,0.0,2016-12-31,2016-01-01,false,false,0.0,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2015-01-01,2015-12-31,c3,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2015-01-01,2015-12-31,c5,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2015-01-01,2015-12-31,c7,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,183035.0,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2015-12-31,2015-12-31,c9,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,451639.0,66246.0,80000.0,66246.0,385393.0,451639.0,66246.0,385393.0,385393.0,385393.0,305393.0,66246.0,66246.0
34881839,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,34881839.0,94137.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,94137.0,94137.0,0.0,2016-12-31,2016-01-01,false,false,0.0,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2016-01-01,2016-12-31,c2,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2016-01-01,2016-12-31,c4,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,0.0,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2016-01-01,2016-12-31,c6,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,94137.0,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,,,,,,,,,,,,,
34881839,2016-12-31,2016-12-31,c8,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2JmLzViLzZjLzQxLzAwYTQtNGE4ZS1iZWEyLWU4OWUwMjhmYTgxMQ.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzdlLzhmLzY1LzkyLzBhNmEtNGM5OC04MDczLTNiNGUyOTA3ZjAyYw.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzgxLzJkLzJhLzQwL2E2ZDgtNGNlNy04MzZjLWIwZjdhNDJiMTExMw.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2730.0,HÃ¸rkÃ¦r 1 A,Regnskabsklasse B,2017-05-03,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2015-01-01,2015-12-31,,,,2016-12-31,2016-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:23801739,indberetninger-20180424,2.5949402000000004,34881839,,2018-03-27T19:21:50.040Z,2017-05-03T09:54:47.121Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AB-90-ZF,2017-05-03T09:54:47.305Z,378330.0,204193.0,80000.0,204193.0,378330.0,378330.0,0.0,174137.0,174137.0,174137.0,298330.0,0.0,0.0
