entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,ClassOfReportingEntity,DateOfGeneralMeeting,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,DisclosureOfContingentLiabilities,DisclosureOfMainActivitiesAndAccountingAndFinancialMatters,DisclosureOfMortgagesAndCollaterals,GrossResult,IdentificationNumberCvrOfReportingEntity,IncomeFromOtherLongtermInvestmentsAndReceivables,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfReportingEntity,NameOfSubmittingEnterprise,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LiabilitiesAndEquity,LongtermInvestmentsAndReceivables,LongtermInvestmentsInGroupEnterprises,NoncurrentAssets,ReserveForNetRevaluationAccordingToEquityMethod
34881839,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,34881839.0,94137.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,94137.0,94137.0,0.0,2017-12-31,2017-01-01,false,false,0.0,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2016-01-01,2016-12-31,c3,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2016-01-01,2016-12-31,c5,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2016-01-01,2016-12-31,c7,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,94137.0,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2016-12-31,2016-12-31,c9,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,378330.0,204193.0,80000.0,204193.0,378330.0,378330.0,174137.0,174137.0,174137.0,298330.0
34881839,2017-01-01,2017-12-31,c0,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",0.0,34881839.0,303659.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,303659.0,303659.0,0.0,2017-12-31,2017-01-01,false,false,0.0,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2017-01-01,2017-12-31,c2,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2017-01-01,2017-12-31,c4,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,0.0,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2017-01-01,2017-12-31,c6,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,303659.0,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,,,,,,,,,,
34881839,2017-12-31,2017-12-31,c8,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzJhLzRhL2U2LzE1L2Q1MDAtNDE5OS1iM2ZkLWYwNmQ2ZTlmMmE0Ng.xhtml,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzLzQ4L2EzL2MwLzUzLzllNWYtNGI4OC1hMDBhLWMzZWJmMmZkOTMwNQ.pdf,http://regnskaber.virk.dk/93818843/ZG9rdW1lbnRsYWdlcjovLzAzL2NjLzkwL2FkL2QyLzBhMDctNDdmYy1hMDZiLWM4ZmIzNjk2NzZkNA.xml,true,Ãlstykke,3650.0,10.0,Krakasvej,2600.0,"Ãstervej 9C, st. th.",Regnskabsklasse B,2018-05-21,"<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Selskabets vÃ¦sentligste aktivitet bestÃ¥r i at drive holding virksomhed.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Ingen.</p>",,34881839.0,,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Malene Girsel,MALENE GIRSEL HOLDING ApS,Lokalrevisorerne ApS,2016-01-01,2016-12-31,,,,2017-12-31,2017-01-01,false,false,,false,true,Ingen bistand,urn:ofk:oid:25498608,indberetninger-20180424,2.5955619999999997,34881839.0,AWOCMiYLx8uVRSOdgrp3,2018-05-21T10:15:57.813Z,2018-05-21T10:15:13.421Z,regnskab,0.0,,2017-12-31,2017-01-01,X18-AD-12-MX,2018-05-21T10:15:13.609Z,589356.0,203455.0,80000.0,203455.0,589356.0,589356.0,385901.0,385901.0,385901.0,509356.0
