entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfApprovalOfReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,GainsLossesFromCurrentValueAdjustmentsOfInvestmentAssets,GrossProfitLoss,IncomeFromInvestmentsInGroupEnterprisesAndAssociates,OtherFinanceExpenses,OtherFinanceIncome,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,TaxExpenseOnOrdinaryActivities,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,DepositsShorttermLiabilitiesOtherThanProvisions,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermInvestmentsAndReceivables,LongtermInvestmentsInAssociates,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,ProposedDividendRecognisedInEquity,Provisions,ProvisionsForDeferredTax,RetainedEarnings,RevaluationReserve,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermPartOfLongtermLiabilitiesOtherThanProvisions,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermReceivablesFromAssociates,ShorttermReceivablesFromGroupEnterprises,ShorttermTaxPayables,ShorttermTradePayables,NameAndSurnameOfMemberOfExecutiveBoard
35041133,2015-07-01,2016-06-30,ID_10,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,0.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2015-07-01,2016-06-30,ID_12,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,-621883.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2015-07-01,2016-06-30,ID_6,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,646883.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,1166232.0,94363.0,0.0,537613.0,132688.0,855670.0,1260595.0,208787.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2015-07-01,2016-06-30,ID_8,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,-25000.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2016-06-30,2016-06-30,ID_5,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,10111899.0,122699.0,80000.0,4148899.0,0.0,2656781.0,5938000.0,10111899.0,7255628.0,25000.0,25000.0,0.0,0.0,5963000.0,4013972.0,3963700.0,5938000.0,25000.0,199490.0,199490.0,2551781.0,0.0,426160.0,7255628.0,0.0,2410298.0,0.0,4026200.0,0.0,62500.0,291249.0,113949.0,
35041133,2016-07-01,2017-06-30,ID_0,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,1682317.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,492488.0,803108.0,684059.0,175523.0,30817.0,1834949.0,1295596.0,152632.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2016-07-01,2017-06-30,ID_1,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2016-07-01,2017-06-30,ID_11,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,-973258.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35041133,2016-07-01,2017-06-30,ID_2,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raza Danial Ahmed
35041133,2016-07-01,2017-06-30,ID_3,,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzQ5LzQ0LzE1L2MwLzQxYTMtNDU3MS1hOGQ3LTg4MzlhZjAxMGY1OQ.pdf,http://regnskaber.virk.dk/33114053/ZG9rdW1lbnRsYWdlcjovLzAzLzU0LzAxLzRhLzk0LzllNjYtNGUwMC1hM2E2LTYxYTY1NTU0MmVlOA.xml,true,"1864, Frederiksberg C",Grundvigsvej 27,Til kapitalejerne i Gross Invest ApS,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 30-06-2017 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 01-07-2016 - 30-06-2017.",2017-12-08,2017-12-08,2013-02-13,2017-12-08,33359128.0,35041133.0,33359128.0,Ledelsen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 01-07-2016 - 30-06-2017 for Gross Invest ApS.,Ãrsrapport,JÃ¸rgen Roager,Flemming Jensen,Exacta Gruppen ApS,Gross Invest ApS,Regnskab & BogfÃ¸ring ApS,Frederiksberg,2015-07-01,2016-06-30,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,"Frederiksberg, 147",2017-06-30,2016-07-01,false,2017-12-08,Kastrup,"Der trÃ¦ffes pÃ¥ generalforsamlingen beslutning om, at Ã¥rsregnskabet for det kommende regnskabsÃ¥r og fremover ikke skal revideres. Direktionen anser betingelserne for at undlade revision for opfyldt.",DirektÃ¸r,RevisionspÃ¥tegning,urn:ofk:oid:24830175,indberetninger-20180424,2.5124277999999998,35041133.0,,2018-03-28T03:13:50.907Z,2017-12-12T16:03:20.663Z,regnskab,0.0,,2017-06-30,2016-07-01,X17-BK-76-KM,2017-12-12T16:03:20.941Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
