entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AdministrativeExpenses,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DisclosureOfAnyUnusualMatters,DisclosureOfMortgagesAndCollaterals,DisclosureOfUncertaintiesRelatingToGoingConcern,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,ShorttermTaxReceivables,TaxExpense,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,CurrentDeferredTaxAssets,Equity,FixturesFittingsToolsAndEquipment,Goodwill,IntangibleAssets,Inventories,LeaseholdImprovements,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,NoncurrentAssets,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,RawMaterialsAndConsumables,RetainedEarnings,ShorttermDebtToBanks,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTradePayables,ShorttermTradeReceivables
35045147,2015-06-01,2016-05-31,c2,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,578580.0,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",-154844.0,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,1625.0,Slagelse,2015-06-01,2016-05-31,-579678.0,-735049.0,-733424.0,2017-05-31,2016-06-01,false,false,5000.0,-155371.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,,,,,,,,,,,,,,,,,,,
35045147,2015-06-01,2016-05-31,c4,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,-579678.0,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,,,,,,,,,,,,,,,,,,,
35045147,2016-05-31,2016-05-31,c6,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,587935.0,21.0,80000.0,285272.0,155371.0,-615383.0,212687.0,28574.0,28574.0,50000.0,61402.0,587935.0,1203318.0,302663.0,1179908.0,65718.0,274089.0,50000.0,-695383.0,5600.0,1203318.0,235251.0,17810.0,14162.0
35045147,2016-06-01,2016-06-01,c7,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,80000.0,,,,,,,,,,,,,,,,,,
35045147,2016-06-01,2016-06-01,c8,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,-695382.0,,,,,,,,,,,,,,,,,,
35045147,2016-06-01,2016-06-01,c9,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,-615382.0,,,,,,,,,,,,,,,,,,
35045147,2016-06-01,2017-05-31,c0,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,308315.0,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",-32632.0,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,162.0,Slagelse,2015-06-01,2016-05-31,-283103.0,-341109.0,-340947.0,2017-05-31,2016-06-01,false,false,5000.0,-58006.0,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,,,,,,,,,,,,,,,,,,,
35045147,2016-06-01,2017-05-31,c1,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,,,,,,,,,,,,,,,,,,,
35045147,2016-06-01,2017-05-31,c10,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,-283103.0,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,,,,,,,,,,,,,,,,,,,
35045147,2016-06-01,2017-05-31,c3,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzllL2FkL2Y5LzJiLzVlYzQtNGZlNS04ODQ0LWVjNTMyNTQyZjc3NA.xhtml,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzVmLzBhLzIxLzQ2NmYtNGY3Mi05MjkxLWY3ZTNhMDViMGY1OA.pdf,http://regnskaber.virk.dk/74154053/ZG9rdW1lbnRsYWdlcjovLzAzL2U3LzZlL2IwL2Y4LzE3NWEtNDQzNS04NGZkLWE5Y2Y3NzVjMGM2YQ.xml,true,Slagelse,4200.0,8.0,Smedegade,Slagelse,4200.0,"31, st tv",Bredegade,4880 Nysted,Jernbanegade 10,,Regnskabsklasse B,2017-10-31,2017-10-31,"<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ingen usÃ¦dvanelig forhold i regnskabet som har pÃ¥virket selskabets Ã¸konomiske resultat</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Der er ikke stillet nogen form for pantsÃ¦tning eller sikkerhedsstillelseÂ i indevÃ¦rende Ã¥r.</p>","<p xmlns=""http://www.w3.org/1999/xhtml"">Det er usikkerhed omÂ virksomheden er en going concern, men firmaet forventer det, da hovedparten af den samlede gÃ¦lden pÃ¥ kr.Â  1.459.551 udgÃ¸r mellemregning med ledelsen. Mellemregningen er pÃ¥ kr. 1.173.846 og frrentes ikke.</p>",,35045147.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohammad Sharif Karimi,Mohammad Sharif Karimi,Nordea Bank,DEN VARME GRYDE ApS,Revision Nysted ApS,,Slagelse,2015-06-01,2016-05-31,-283103.0,,,2017-05-31,2016-06-01,false,false,5000.0,,false,false,direktÃ¸r,Ingen bistand,urn:ofk:oid:24646132,indberetninger-20180424,2.59278,35045147.0,,2018-03-27T14:46:04.184Z,2017-10-31T12:15:42.518Z,regnskab,0.0,,2017-05-31,2016-06-01,X17-BD-92-KN,2017-10-31T12:15:42.748Z,,,,,,,,,,,,,,,,,,,,,,,,
