entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AdditionsToPropertyPlantAndEquipment,AddressOfAuditorDistrictName,AddressOfAuditorPostCodeIdentifier,AddressOfAuditorStreetBuildingIdentifier,AddressOfAuditorStreetName,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfLawFirmDistrictName,AddressOfLawFirmPostCodeIdentifier,AddressOfLawFirmStreetBuildingIdentifier,AddressOfLawFirmStreetName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnAuditedFinancialStatements,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatAnnualReportIsPresentedInAccordanceWithRequirementsProvidedForByLegislationAnyStandardsAndRequirementsProvidedByArticlesOfAssociationOrByAgreement,ConfirmationThatFinancialStatementGivesTrueAndFairViewOfAssetsLiabilitiesEquityFinancialPositionAndResults,DateOfApprovalOfAnnualReport,DateOfFoundationOfReportingEntity,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,DepreciationOfPropertyPlantAndEquipment,DescriptionOfAuditor,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,IdentificationNumberCvrOfSubmittingEnterprise,IdentificationNumberOfAuditor,IdentificationOfApprovedAnnualReport,InformationOnTypeOfSubmittedReport,InterestExpenseAssignedToGroupEnterprises,ManagementsStatementAboutManagementsReview,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfLawFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,OtherFinanceExpenses,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,RecommendationForApprovalOfAnnualReportByGeneralMeeting,RegisteredOfficeOfReportingEntity,ReportingPeriodEndDate,ReportingPeriodNumber,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,TaxExpenseOnOrdinaryActivities,TitleOfMemberOfSupervisoryBoard,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermPayablesToGroupEnterprises,NoncurrentAssets,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermPayablesToGroupEnterprises,AccumulatedImpairmentLossesAndDepreciationOfPropertyPlantAndEquipment,PropertyPlantAndEquipmentGross,NameOfAuditFirm,TypeOfAuditorAssistance,NameAndSurnameOfMemberOfSupervisoryBoard
35633731,2017-01-01,2017-12-31,c174,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,1061227.0,1059561.0,Statsautoriseret revisor,1460682.0,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,399455.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,399455.0,Skagen,2017-01-01,2017-12-31,0.0,0.0,399455.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,0.0,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,,,,,
35633731,2017-12-31,2017-12-31,c172,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,108830413.0,671.0,100000.0,80080000.0,108829742.0,108830413.0,28750413.0,21450000.0,21450000.0,108829742.0,108829742.0,79980000.0,7300413.0,6956552.0,,,,,
35633731,2018-01-01,2018-01-01,c230,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,100000.0,,,,,,,,,,,,,,,
35633731,2018-01-01,2018-01-01,c248,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,79980000.0,,,,,,,,,,,,,,,
35633731,2018-01-01,2018-01-01,c505,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,2206937.0,111036678.0,,,
35633731,2018-01-01,2018-12-31,c173,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,1.0,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,1059561.0,1059561.0,Statsautoriseret revisor,1448719.0,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,389158.0,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,389158.0,Skagen,2017-01-01,2017-12-31,0.0,0.0,389158.0,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,0.0,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,RevisionspÃ¥tegning,
35633731,2018-01-01,2018-12-31,c306,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,,,BDO Statsautoriseret revisionsaktieselskab,,
35633731,2018-01-01,2018-12-31,c503,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,,,,,
35633731,2018-01-01,2018-12-31,c606,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,,,,,Bjarne Kvist
35633731,2018-01-01,2018-12-31,c617,,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzUxL2JhLzI0L2NkL2RkNzAtNDI1YS05ZTBiLTdkYzgzMmM3ZGMzYw.pdf,http://regnskaber.virk.dk/13733653/ZG9rdW1lbnRsYWdlcjovLzAzLzhhL2Y1L2RmLzYyLzZjNTMtNDYyMi1iZDcyLTE0YzdlNzRiZmVhYg.xml,true,127174.0,Skagen,9990.0,"25 A, Box 170",Spliidsvej,Skagen,9990.0,36.0,Sct. Laurentii Vej,Frederikshavn,9900.0,7.0,Havnepladsen,9990 Skagen,BrÃ¸ndumsvej 4,DK-9990 Skagen,"Spliidsvej 25 A, Box 170",Til kapitalejeren i Skagens Museums Ejendomsselskab ApS,,Regnskabsklasse B,Ãrsrapporten aflÃ¦gges i overensstemmelse med Ã¥rsregnskabsloven.,"Det er vores opfattelse, at Ã¥rsregnskabet giver et retvisende billede af selskabets aktiver, passiver og finansielle stilling pr. 31. december 2018 samt af resultatet af selskabets aktiviteter for regnskabsÃ¥ret 1. januar - 31. december 2018.",2019-03-28,2014-01-03,2019-03-28,,1059561.0,Statsautoriseret revisor,,20222670.0,35633731.0,20222670.0,mne31387,Bestyrelsen og direktionen har dags dato behandlet og godkendt Ã¥rsrapporten for regnskabsÃ¥ret 1. januar - 31. december 2018 for Skagens Museums Ejendomsselskab ApS.,Ãrsrapport,,"Ledelsesberetningen indeholder efter vores opfattelse en retvisende redegÃ¸relse for de forhold, beretningen omhandler.",Allan Andersen,Bjarne Kvist,Lisette Vind Ebbesen,Spar Nord Bank A/S,HjulmandKaptain,Skagens Museums Ejendomsselskab ApS,BDO Statsautoriseret revisionsaktieselskab,,Skagen,2017-01-01,2017-12-31,,,,Ãrsrapporten indstilles til generalforsamlingens godkendelse.,Frederikshavn,2018-12-31,5.0,2018-01-01,true,2019-03-28,Skagen,,Formand,urn:ofk:oid:26903944,indberetninger-20180424,2.5097342,35633731.0,AWnJgnkHRYGX6_YTGWYk,2019-03-29T12:52:47.973Z,2019-03-29T12:52:44.250Z,regnskab,0.0,,2018-12-31,2018-01-01,X19-AV-17-BU,2019-03-29T12:52:44.405Z,,,,,,,,,,,,,,,,,,,Peter SÃ¸rensen
