entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfFinancialCountry,AddressOfFinancialCountryIdentificationCode,AddressOfFinancialDistrictName,AddressOfFinancialPostCodeIdentifier,AddressOfFinancialStreetBuildingIdentifier,AddressOfFinancialStreetName,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AverageNumberOfEmployees,ClassOfReportingEntity,ConfirmationThatFinancialStatementsAreExemptedFromAuditing,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DepreciationAmortisationExpenseAndImpairmentLossesOfPropertyPlantAndEquipmentAndIntangibleAssetsRecognisedInProfitOrLoss,EmployeeBenefitsExpense,GrossResult,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfFinancialInstitution,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,SelectedElementsFromReportingClassC,StatementOfChangesInEquity,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,FixturesFittingsToolsAndEquipment,Inventories,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermTaxPayables,ManufacturedGoodsAndGoodsForResale,OtherShorttermPayables,OtherShorttermReceivables,PropertyPlantAndEquipment,Provisions,ProvisionsForDeferredTax,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,DecreaseOfCapital
35852816,2017-05-05,2018-05-04,c2,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,0.0,0.0,17107.0,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,13216.0,17107.0,17107.0,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",-3891.0,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,,,,,,,,,,,,,,,,,,,
35852816,2017-05-05,2018-05-04,c4,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,13216.0,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,,,,,,,,,,,,,,,,,,,
35852816,2018-05-04,2018-05-04,c6,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,220955.0,124092.0,100000.0,220955.0,121888.0,0.0,96863.0,220955.0,99067.0,3891.0,3891.0,96863.0,77112.0,0.0,0.0,0.0,0.0,21888.0,95176.0,0.0,8064.0,10000.0,
35852816,2018-05-05,2018-05-05,c7,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,100000.0,,,,,,,,,,,,,,,,,,
35852816,2018-05-05,2018-05-05,c8,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,21888.0,,,,,,,,,,,,,,,,,,
35852816,2018-05-05,2018-05-05,c9,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,121888.0,,,,,,,,,,,,,,,,,,
35852816,2018-05-05,2019-05-04,c0,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,-2313.0,73825.0,91593.0,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,11448.0,15455.0,15455.0,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",-4007.0,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,,,,,,,,,,,,,,,,,,,-50000.0
35852816,2018-05-05,2019-05-04,c1,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,,,,,,,,,,,,,,,,,,,
35852816,2018-05-05,2019-05-04,c10,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,0.0,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,,,,,,,,,,,,,,,,,,,-50000.0
35852816,2018-05-05,2019-05-04,c11,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzlkLzg3LzBmLzdkLzdiYmMtNGM2Zi05NWIyLTkwNmQ2ZGViYmZiZQ.xhtml,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzL2IzLzc3L2FhLzkyLzlkNmUtNGQ0NC04YjhkLTM5NTBkNmVmYWY4MA.pdf,http://regnskaber.virk.dk/61825853/ZG9rdW1lbnRsYWdlcjovLzAzLzdiLzFlLzAzL2NiLzJkODAtNDUxYy04NTkzLTM0MzMzOTY3MDNjMw.xml,true,Danmark,DK,kÃ¸benhavn,1092.0,2-12,holmens kanal,GÃ¸rlÃ¸se,3330.0,2.0,Hovedvejen,3550.0,BanevÃ¦nget 1,1.0,Regnskabsklasse B,Ledelsen anser betingelserne for at udelade revision for opfyldt.,2019-07-25,2019-07-25,,,,35852816.0,Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.,Ãrsrapport,Mohsen Khaled,Mohsen Khaled Naji,danskebank,CHERRIES ApS,Mohsen Khaled,Slangerup,2017-05-05,2018-05-04,11448.0,,,2019-05-04,2018-05-05,false,"<p xmlns=""http://www.w3.org/1999/xhtml"">KapitalnedsÃ¦ttelsen er gennemfÃ¸rt 7. januar 2019.</p>",,50494291.0,false,false,Ingen bistand,urn:ofk:oid:27699743,indberetninger-20180424,2.5924468,35852816,AWwpIyKvIXJRhhXBMR9q,2019-07-25T12:38:37.536Z,2019-07-25T12:37:43.525Z,regnskab,0.0,,2019-05-04,2018-05-05,X19-CA-48-QX,2019-07-25T12:37:43.762Z,,,,,,,,,,,,,,,,,,,,,,,0.0
