entity,start_date,end_date,context,AARSRAPPORT_html,AARSRAPPORT_pdf,AARSRAPPORT_xml,AccountingPoliciesAreUnchangedFromPreviousPeriod,AddressOfReportingEntityDistrictName,AddressOfReportingEntityPostCodeIdentifier,AddressOfReportingEntityStreetBuildingIdentifier,AddressOfReportingEntityStreetName,AddressOfSubmittingEnterprisePostcodeAndTown,AddressOfSubmittingEnterpriseStreetAndNumber,AddresseeOfAuditorsReportOnOtherReport,AuditorsReportsOtherReports,ClassOfReportingEntity,DateOfApprovalOfAnnualReport,DateOfGeneralMeeting,DescriptionOfAuditor,DisclosureOfCollateralsAndAssetsPledgesAsSecurity,EmployeeBenefitsExpense,FinanceExpensesArisingFromGroupEnterprises,GrossProfitLoss,IdentificationNumberCvrOfAuditFirm,IdentificationNumberCvrOfReportingEntity,InformationOnReportingClassOfEntity,InformationOnTypeOfSubmittedReport,NameAndSurnameOfAuditor,NameAndSurnameOfChairmanOfGeneralMeeting,NameAndSurnameOfMemberOfExecutiveBoard,NameOfAuditFirm,NameOfReportingEntity,NameOfSubmittingEnterprise,PlaceOfSignatureOfStatement,PrecedingReportingPeriodStartDate,PredingReportingPeriodEndDate,ProfitLoss,ProfitLossFromOrdinaryActivitiesBeforeTax,ProfitLossFromOrdinaryOperatingActivities,ReportingPeriodEndDate,ReportingPeriodStartDate,RestOfOtherFinanceExpenses,SelectedElementsFromReportingClassC,SelectedElementsFromReportingClassD,SignatureOfAuditorsDate,SignatureOfAuditorsPlace,StatementOnOptingOutOfAuditingFinancialStatementsInNextReportingPeriodDueToExemption,TaxExpense,TelephoneNumberOfReportingEntity,TheCompanyHasPresentedTheAnnualReportEtcWithReferenceToTheDanishFinancialStatementsAct78aConcerningTheExceptionForReportingClassCMediumsizeSubsidiariesWhichChoosesToPresentTheAnnualReportEtcAccordingToReportingClassB,TheReportingEntityAppliesTheExceptionConcerningOptingOutOfTheStatementByManagementEtc,TitleOfMemberOfExecutiveBoard,TypeOfAuditorAssistance,_id,_index,_score,cvrNummer,indlaesningsId,indlaesningsTidspunkt,offentliggoerelsesTidspunkt,offentliggoerelsestype,omgoerelse,regNummer,regnskabsperiode_slutDato,regnskabsperiode_startDato,sagsNummer,sidstOpdateret,Assets,CashAndCashEquivalents,ContributedCapital,CurrentAssets,Equity,LandAndBuildings,LiabilitiesAndEquity,LiabilitiesOtherThanProvisions,LongtermLiabilitiesOtherThanProvisions,LongtermMortgageDebt,NoncurrentAssets,OtherShorttermPayables,PropertyPlantAndEquipment,RetainedEarnings,ShorttermLiabilitiesOtherThanProvisions,ShorttermMortgageDebt,ShorttermPayablesToAssociates,ShorttermPayablesToGroupEnterprises,ShorttermReceivables,ShorttermTaxPayables,ShorttermTradePayables,ShorttermTradeReceivables,DividendPaid,NameAndSurnameOfMemberOfSupervisoryBoard
36433221,2014-11-10,2015-12-31,c6,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",60000.0,13000.0,837375.0,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,54669.0,95593.0,777375.0,2016-12-31,2016-01-01,668782.0,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",40924.0,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,,,,,,,,,,,,,,,,,,,,
36433221,2014-11-10,2015-12-31,c8,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,54669.0,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,,,,,,,,,,,,,,,,,,,,
36433221,2015-12-31,2015-12-31,c10,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,22465150.0,272769.0,600000.0,283491.0,654669.0,22181659.0,22465150.0,21810481.0,16615508.0,16615508.0,22181659.0,437556.0,22181659.0,54669.0,5194973.0,408842.0,2706200.0,1383000.0,10722.0,40924.0,218451.0,10722.0,,
36433221,2016-01-01,2016-01-01,c11,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,600000.0,,,,,,,,,,,,,,,,,,,
36433221,2016-01-01,2016-01-01,c12,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,54669.0,,,,,,,,,,,,,,,,,,,
36433221,2016-01-01,2016-01-01,c13,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,0.0,,,,,,,,,,,,,,,,,,,
36433221,2016-01-01,2016-01-01,c14,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,654669.0,,,,,,,,,,,,,,,,,,,
36433221,2016-01-01,2016-12-31,c0,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",60000.0,30000.0,819396.0,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,110021.0,138423.0,759396.0,2016-12-31,2016-01-01,590973.0,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",28402.0,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,,,,,,,,,,,,,,,,,,,0.0,
36433221,2016-01-01,2016-12-31,c1,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,,,,,,,,,,,,,,,,,,,,
36433221,2016-01-01,2016-12-31,c15,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzLzYxLzUwLzA5LzQ4LzRkN2EtNDYxYi05MmZkLTg5Y2U0YmYyNzk5Yw.xhtml,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2RlL2IwLzc0LzM3LzAyZjEtNDM3Ni05ZDhkLTEzNWQzZDI4Yzc5NA.pdf,http://regnskaber.virk.dk/12233463/ZG9rdW1lbnRsYWdlcjovLzAzL2EyL2M1LzRhLzJlLzc0NTUtNDc2Mi05M2RiLTc3ZmZmYjI1ZTUzMg.xml,true,Vejle Ãst,7120.0,103.0,EnggÃ¥rdstoften,7120 Vejle Ã.,EnggÃ¥rdstoften 103,Til den daglige ledelse for ElkÃ¦r-invest A/S.,Revisors erklÃ¦ring om opstilling af finansielle oplysninger,Regnskabsklasse B,2017-04-19,2017-05-30,Statsaut. revisor,"<p xmlns=""http://www.w3.org/1999/xhtml"">I sagens natur har realkreditinstituttet pant i selskabets faste ejendom. Herudover er der udstedt ejerpantebreve pÃ¥ i alt 4 millioner kroner med pant i de fleste af ejerlejlighederne.</p>",,,,18619407.0,36433221.0,"Ãrsrapporten er aflagt i overensstemmelse med Ã¥rsregnskabslovens bestemmelser for Regnskabsklasse B.<br xmlns=""http://www.w3.org/1999/xhtml""/>Der er foretaget tilvalg af enkelte regler i regnskabsklasse C.<br xmlns=""http://www.w3.org/1999/xhtml""/>",Ãrsrapport,JÃ¸rgen Gilling,ElkÃ¦r Mathiassen,Brian ElkÃ¦r Mathiassen,Revisionsfirmaet JÃ¸rgen Gilling,ELKÃR-INVEST A/S,ElkÃ¦r-Invest A/S,Vejle,2014-11-10,2015-12-31,0.0,,,2016-12-31,2016-01-01,,true,false,2017-04-19,Vejle,"Det indstilles til generalforsamlingen, at selskabets Ã¥rsregnskaber fremover fortsat ikke skal revideres.",,28874001.0,false,false,DirektÃ¸r,Andre erklÃ¦ringer uden sikkerhed,urn:ofk:oid:24015614,indberetninger-20180424,2.5955529999999998,36433221.0,,2018-03-28T15:10:00.267Z,2017-05-31T15:09:38.072Z,regnskab,0.0,,2016-12-31,2016-01-01,X17-AG-42-KY,2017-05-31T15:09:38.294Z,,,,,,,,,,,,,,,,,,,,,,,0.0,
